username,display_name,description,location,followers_count,following_count,statuses_count,profile_image_url,predicted_label,confidence_diaspora,confidence_local,uncertainty,locals_vs_diaspora
afintlarabic,أفغانستان إنترناشيونال - عربي,لمتابعة آخر الأخبار والتحليلات السياسية حول أفغانستان لحظة بلحظة,"London, UK",3268.0,8.0,2083.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
abbasiniho,Abbasinihoo,زنده باد ایران,,1654.0,1816.0,7755.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
aidin_og,آیـدیـنـم یا شاید یه انسان غمگین ؛,خسته ام ؛,,0.0,8.0,27.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
afshin_46,Afshin,نام من سید محمد حاجی سید جوادی است و مسئولیت حقوقی  نوشته هایم بر عهده من است.  #جمهوری‌خواه  #سوسیال‌دموکرات,,1318.0,2948.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
afshinagin62,Afshin Agin,افشین آگین | دانش‌آموخته مهندسی برق کنترل | معمار، متخصص و مدیر سابق پروژه های اقتصاد مقاومتی در سطح ملی تا آخرین نفس مدافع انقلاب و حقوق ملت ایران,جمهوری اسلامی ایران,2330.0,7152.0,5197.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
afshin_rasa,Afshin Rasa,"Civil Engineer                                                                 Deep Leaning, Image Processing",,3.0,17.0,31.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
aghamiri_hosein,سیدحسین آقامیری,تو که یک گوشه ی چشمت غم عالم ببرد،                                 حیف باشد که تو باشی و مرا غم ببرد,,,161.0,523.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.49329939057304195,0.5067006094269579,0.9998704471086506,
7khaiiam,خیام,کنده از مرز زمان,52 hertz,341.0,31.0,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5074179819198371,0.4925820180801629,0.9998412210967849,
afrasyabia,Afrasyabi.alireza,کارشناس مکانیک طراح قطعات  متخصص در زمینه خودرو,ahwaz,36.0,322.0,137.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5074179819198371,0.4925820180801629,0.9998412210967849,
alihoseini692,Ali Hoseini,اخلاق نیک ؛ کردار نیک ؛ پندار نیک,مشهد مقدس ایران,6.0,107.0,4.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4898104181861442,0.5101895818138558,0.999700395908907,
alinezhadi5,Ali Nezhadi,,,64.0,1021.0,0.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4898104181861442,0.5101895818138558,0.999700395908907,
aliiiiinaderi8,🌋Ali Naderi,,,18.0,645.0,0.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4898104181861442,0.5101895818138558,0.999700395908907,
ahimsaaaa,Ahimsa آهیمسا,,,12.0,61.0,128.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.48979368505717813,0.5102063149428219,0.999699411025706,
alisakhravi80,Alisakhravi,لغتي هويتي الاحواز,Spain,18.0,333.0,4.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5105676447030147,0.4894323552969852,0.9996777494494439,
aasangari,Ali A. Sangari,,,200.0,5518.0,36.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5158486534636952,0.48415134653630476,0.9992751265490569,
ahmadsamadi1974,Ahmad Samadi,"Senior Journalist  @IranInternational  TV  iranintl.com/en  @IranIntl_En  interested in EU, Germany, international&Iran affaires, Iaea, Iran nuclear",,5188.0,973.0,1979.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.47805876323206303,0.521941236767937,0.9986104751997074,
alimokhtari102,Ali Mokhtari,Almost Architect. بندهء چای(به جز چای کیسه‌ای.),,82.0,148.0,1401.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5258957594090775,0.4741042405909225,0.998064218998223,
abehtarin,سیروس,هیچ صیادی از جویی حقیر که به گودالی می ریزد مرواریدی صید نخواهد کرد,,6.0,93.0,513.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4726136751057697,0.5273863248942303,0.9978348426602803,
2x0x2x4,KolKa,جمهوری اسلامی در دریای خونی که به راه انداخته، غرق خواهد شد...  #زن_زندگی_آزادی #مهسا_امینی,,133.0,95.0,987.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
1pezeshk_plus,«یک پزشک» پلاس,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,Islamic Republic of Iran,233.0,740.0,4.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
agha_xavier2,خاویر پرز دکوئیار R.I.P,همواره مشروطه‌خواه. وفادار به: شاه، میهن، آزادی,روی در دیوار هجران,5940.0,665.0,1303.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
aghmamrez,آق‌ممرض,در آغوش کسشر برای دست‌به‌سرکردن اندوه,,3095.0,335.0,1307.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
3eyedamir,SeyedAmir Sayyah,دغدغه محیط‌کسب‌وکار، کارآفرینی، شفافیت، عدالت رقابت، حقوق‌مالکیت، حاکمیت‌قانون و تنظیمگری فجازی در ایران. توئیتهام به هیچ شورا و مرکزی ربطی نَ  دا  رَد,,,438.0,5587.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
agha_mohamad1_,آقــا مــحــمـــد ☕,ورود همه آزاد جز بی ادب ها | اللهم عجل لولیک الفرج... آواتار تزئینی است و این صفحه ارتباطی به آقای وحید رهبانی بازیگر گاندو ندارد!,جمهوری اسلامی ایران حرم است,,4645.0,1303.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
ajibzade,عجیب زاده,از خودم که می گذشتم بالغ بودم. از آن پس را به خاطر ندارم,دار العجائب,,575.0,1356.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5293750659135874,0.47062493408641265,0.9975087782233805,
ali_noorani_teh,Ali Noorani,"Product designer and change maker. Formerly: UX Designer in Tokyo. Reporter, Editor at Japan's NHK, and AFP journalist in Tehran.","Toronto, ON",3781.0,1259.0,1332.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.46461315722085333,0.5353868427791466,0.9963838092066424,
7continentnewss,کمونیست کُش👺,The fastest and most accurate news of the day in the worldخدا آزادی خوانواده میهن -حق مالکیت فردی,United States,74.0,778.0,1654.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,diaspora,0.5362817965974915,0.46371820340250847,0.9961984220405042,
_ali_najjar_,علی نجار,او از پیروان م ح م د بن حسن بود,کهکشان راه شیری ، دست چپ,770.0,890.0,4161.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4558898959532544,0.5441101040467456,0.994378587523036,
ali_hedielou,علی هدیه لو,دکوراتور، نجار، شاعر، طنزنویس، شیفته موسیقی و شعر، طراحی‌صنعتی خونده در دانشگاه تهران، کمی بی‌ادب، گرگ‌دهن‌آلوده‌ی یوسف‌ندریده instagram.com/hedielou,ناف تهرون، دوسانت به چپ,,2978.0,1332.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4558898959532544,0.5441101040467456,0.994378587523036,
ali_rajabi,علی رجبی Ali Rajabi 🇮🇷,فكأن الدنيا لم تكن وكأن الأخرة لم تزل | خبرنگار و سیاست‌پژوه | دانش‌آموخته سیاستگذاری عمومی,Islamic Republic of Iran,,998.0,1332.0,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,local,0.4558898959532544,0.5441101040467456,0.994378587523036,
