username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,manual_locals_vs_diaspora
alisakhravi80,Alisakhravi,لغتي هويتي الاحواز,18.0,333.0,4.0,False,May 2024,Spain,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,لغتي هويتي الاحواز,Alisakhravi,0
abdeekalantari,Abdee Kalantari,عبدی کلانتری --- abdee-kalantari.blogspot.com nilgoon.org vimeo.com/user5224333,5015.0,1583.0,1290.0,False,October 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,عبدی کلانتری --- abdee-kalantari.blogspot.com nilgoon.org vimeo.com/user5224333,Abdee Kalantari,1
allhamjdy48220,ذبیح‌الله امجدی,,0.0,2.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ذبیح‌الله امجدی,2
aliahmadolfati,AliAhmad olfati,معلم و مدرس دانشگاه,197.0,2519.0,27.0,False,September 2014,تهران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,معلم و مدرس دانشگاه,AliAhmad olfati,1
alijannatpour,Ali Jannatpour,,35.0,249.0,1280.0,False,December 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Jannatpour,0
alikarimdoost91,علی کریمدوست پهمدانی,پیج اصلی علی کریمدوست پهمدانی,554.0,7490.0,4649.0,False,September 2025,"Irani, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,پیج اصلی علی کریمدوست پهمدانی,علی کریمدوست پهمدانی,0
ab_ganji,عبدالله گنجی,دانش آموخته سیاست(دانشگاه علامه طباطبایی) فَمِنۡهُم مَّن قَضَىٰ نَحۡبَهُۥ وَمِنۡهُم مَّن يَنتَظِرُۖ وَمَا بَدَّلُواْ تَبۡدِيلٗا.تعلق جناحی و دعوای جناحی ندارم.,,199.0,6157.0,False,December 2016,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,دانش آموخته سیاست(دانشگاه علامه طباطبایی) فَمِنۡهُم مَّن قَضَىٰ نَحۡبَهُۥ وَمِنۡهُم مَّن يَنتَظِرُۖ وَمَا بَدَّلُواْ تَبۡدِيلٗا.تعلق جناحی و دعوای جناحی ندارم.,عبدالله گنجی,1
abdul_majid33,عبـدالمـجید خرقـانی 🇮🇷,طلبهٔ پیرو خط ولایت || مُنتَظر || کارشناس ارشد تاریخ تحلیلی اسلام,,4650.0,3757.0,False,May 2020,طِ‌حرٰان,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,طلبهٔ پیرو خط ولایت || مُنتَظر || کارشناس ارشد تاریخ تحلیلی اسلام,عبـدالمـجید خرقـانی 🇮🇷,1
alishariat1380,محمدعلی,Dr.shariati,42.0,293.0,1.0,False,June 2024,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Dr.shariati,محمدعلی,2
alibazdarian,Alibazdarian65,علی بازداریان  خیلی بی ریا و ساده,168.0,1256.0,19.0,False,June 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,علی بازداریان  خیلی بی ریا و ساده,Alibazdarian65,1
ali_ghm1993,Ali Ghiamy,,7.0,669.0,19.0,False,July 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Ghiamy,2
abtinhoveyda,Abtin Hoveyda,روزی در خفا جامعه را ترمیم خواهم کرد با قلم,4.0,18.0,3.0,False,February 2024,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,روزی در خفا جامعه را ترمیم خواهم کرد با قلم,Abtin Hoveyda,1
alsynya1,أرض النفاق,,220.0,1932.0,580.0,False,December 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,أرض النفاق,0
alan1234454,ئالان,,42.0,184.0,435.0,False,April 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,ئالان,1
al3mlaa81,د/العملاق,د / العملاق ..,,167.0,1386.0,False,November 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,د / العملاق ..,د/العملاق,0
alireza_arg,Alireza Ghaffari,به ذهن بی‌خانمان من خوش آمدید. من، زاده‌ی خائوس، فریادهای این ذهن سرگردان را، در تاریکی دالان‌های پیچ در پیچِ تارتاروس نجوا می‌کنم.,700.0,2287.0,3231.0,False,March 2018,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,به ذهن بی‌خانمان من خوش آمدید. من، زاده‌ی خائوس، فریادهای این ذهن سرگردان را، در تاریکی دالان‌های پیچ در پیچِ تارتاروس نجوا می‌کنم.,Alireza Ghaffari,2
ali_albadiri90,ali.albadiri,work .Kar.group. Yo : 25 June. Kar Cement Industry Company.  work ing for Jawharat Balsam Company.  @kar_group_company  . من ذاق حب ألله ارتوئ,2.0,51.0,0.0,False,February 2025,Iraq - Babylon,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,work .Kar.group. Yo : 25 June. Kar Cement Industry Company.  work ing for Jawharat Balsam Company.  @kar_group_company  . من ذاق حب ألله ارتوئ,ali.albadiri,0
alarabytv,التلفزيون العربي,التلفزيون العربي.. الصورة الأوضح تابعوا تغطيتنا للأخبار العاجلة على مدار الساعة  @Alarabytv_BRK,,11.0,1356.0,False,April 2014,"Lusail, Qatar",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,التلفزيون العربي.. الصورة الأوضح تابعوا تغطيتنا للأخبار العاجلة على مدار الساعة  @Alarabytv_BRK,التلفزيون العربي,0
abbasiniho,Abbasinihoo,زنده باد ایران,1654.0,1816.0,7755.0,False,May 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,زنده باد ایران,Abbasinihoo,1
al_ardwi,عبــــاس العـــرداوي,عضو نقابة الصحفيين العراقيين *مستشار اعلامي * كل ما أطرحه من آراء هي تعبر وجهة نظر شخصية مبنية على ما اعتقد به من جهاد التبيين امام حالة الجهل والتضليل .,,2085.0,7773.0,False,April 2019,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,عضو نقابة الصحفيين العراقيين *مستشار اعلامي * كل ما أطرحه من آراء هي تعبر وجهة نظر شخصية مبنية على ما اعتقد به من جهاد التبيين امام حالة الجهل والتضليل .,عبــــاس العـــرداوي,0
aahonarmand,Aliasghar Honarmand | علی اصغر هنرمند,"Editor-in-chief@  UpdateMD.com and  NooshDaroo.ir Co-founder@  Bozorgraah.com Founder  Narenji.ir, ex-prisoner and a Physician!",,288.0,4047.0,False,January 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Editor-in-chief@  UpdateMD.com and  NooshDaroo.ir Co-founder@  Bozorgraah.com Founder  Narenji.ir, ex-prisoner and a Physician!",Aliasghar Honarmand | علی اصغر هنرمند,1
abhishekbhaya,Abhishek G. Bhaya अभिषेक অভিষেক ابھیشک 加冕礼,"Journalist/Humanist/Universalist Int'l Relations, Religion, Conflict & Peace  @harvard  X  @trtworld @cgtn  @timesofindia  @gulf_news  @khaleejtimes  @muscat_daily",3877.0,3098.0,3931.0,False,July 2009,Istanbul/Beijing/Dubai/Muscat,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Journalist/Humanist/Universalist Int'l Relations, Religion, Conflict & Peace  @harvard  X  @trtworld @cgtn  @timesofindia  @gulf_news  @khaleejtimes  @muscat_daily",Abhishek G. Bhaya अभिषेक অভিষেক ابھیشک 加冕礼,0
_atefehshams_,عاطفه شمس,روزنامه‌نگار,4.0,50.0,0.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,روزنامه‌نگار,عاطفه شمس,1
al_bayynat,شبكة البينات الثقافية,الحساب الاحتياطي |  @Al_Bayynat2,,1.0,2377.0,False,July 2024,Yemen,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,الحساب الاحتياطي |  @Al_Bayynat2,شبكة البينات الثقافية,0
2_rebelgirl,Rebel girl,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,1399.0,1004.0,9779.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,Rebel girl,1
0mfahzf4tebztdl,کلول,زندگی نکردم ولی فعلا زنده ام,81.0,53.0,150.0,False,April 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,زندگی نکردم ولی فعلا زنده ام,کلول,1
alimarouf153082,Ali,,241.0,3122.0,2584.0,False,December 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali,2
a9b9e3m1,Ali Erfani,,1.0,83.0,0.0,False,May 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Erfani,2
alirezaami58678,علیرضاامیری☫,متحیرم‌چه‌نامم شَه‌مُلک‌لافتی‌را,1236.0,1994.0,1569.0,False,August 2024,Nakoja Abad,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,متحیرم‌چه‌نامم شَه‌مُلک‌لافتی‌را,علیرضاامیری☫,1
adfiranofficial,Alliance for Democracy and Freedom in Iran,ما به منشور مهسا به عنوان مبنایی برای همکاری باور داریم. هدف سرنگونی رژیم جمهوری اسلامی در فرآیندی خشونت‌پرهیز و رسیدن به حکومتی سکولار دموکراتیک است.,7667.0,0.0,13.0,False,February 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,ما به منشور مهسا به عنوان مبنایی برای همکاری باور داریم. هدف سرنگونی رژیم جمهوری اسلامی در فرآیندی خشونت‌پرهیز و رسیدن به حکومتی سکولار دموکراتیک است.,Alliance for Democracy and Freedom in Iran,1
agha_mohamad1_,آقــا مــحــمـــد ☕,ورود همه آزاد جز بی ادب ها | اللهم عجل لولیک الفرج... آواتار تزئینی است و این صفحه ارتباطی به آقای وحید رهبانی بازیگر گاندو ندارد!,,4645.0,1303.0,False,January 2018,جمهوری اسلامی ایران حرم است,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,ورود همه آزاد جز بی ادب ها | اللهم عجل لولیک الفرج... آواتار تزئینی است و این صفحه ارتباطی به آقای وحید رهبانی بازیگر گاندو ندارد!,آقــا مــحــمـــد ☕,1
aliashtiani12,Ali Ashtiani,,26.0,813.0,0.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Ashtiani,2
alavi2183,علی علوی,اگر اراده ای نباشد عشقی در کار نیست:  انتخاب ایستادگی در مقابل ظلم وبیداد حقی است که هیچ کس نمی تواند از کسی بگیرد.هوادار مجاهدین خلق ایران,5910.0,3195.0,1356.0,False,April 2017,زیر گنبد کبود,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,اگر اراده ای نباشد عشقی در کار نیست:  انتخاب ایستادگی در مقابل ظلم وبیداد حقی است که هیچ کس نمی تواند از کسی بگیرد.هوادار مجاهدین خلق ایران,علی علوی,1
alghadtv,قناة الغد,"أهلا بكم على قناة ""الغد"" في إكس.  التردد: نايل سات HD 11900 - V 27500",,1.0,1381.0,False,December 2011,Egypt مصر,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"أهلا بكم على قناة ""الغد"" في إكس.  التردد: نايل سات HD 11900 - V 27500",قناة الغد,0
aidin_og,آیـدیـنـم یا شاید یه انسان غمگین ؛,خسته ام ؛,0.0,8.0,27.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,خسته ام ؛,آیـدیـنـم یا شاید یه انسان غمگین ؛,1
alijafarifo,علیج,نظاره گر منفعل.روزنامه نگار و برنامه ساز رادیو و منتقد تیاتر.مدرس پاره وقت برخی دانشگاهها.  هرچی ام که می گم به خودم مربوطه نه محل کارم.والله,248.0,193.0,2174.0,False,September 2010,tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,نظاره گر منفعل.روزنامه نگار و برنامه ساز رادیو و منتقد تیاتر.مدرس پاره وقت برخی دانشگاهها.  هرچی ام که می گم به خودم مربوطه نه محل کارم.والله,علیج,1
abdullahhemyari,Abid Ali,مهتم في الاقتصاد,138.0,1332.0,175.0,False,November 2017,اليمن,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,مهتم في الاقتصاد,Abid Ali,0
abas_asgharpour,abas asgharpour,شاعر و نویسنده,65.0,62.0,160.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,شاعر و نویسنده,abas asgharpour,1
adelirani04833,👑Adel-irani0123👑,PahlaviReza@#KingRezaPahlavi#CyrusTheGreat    نیابد زبان جز بدین نکته راه   که همواره جاوید و پاینده شاه,2258.0,5682.0,5022.0,False,September 2024,#PersianGulf,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,PahlaviReza@#KingRezaPahlavi#CyrusTheGreat    نیابد زبان جز بدین نکته راه   که همواره جاوید و پاینده شاه,👑Adel-irani0123👑,1
