username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,predicted_class,prob_0,prob_1,prob_2,confidence_level,uncertainty_score,target_population
_miaswart,Mia Swart,"Former Producer Al Jazeera, Visiting Prof Wits Law School, International Criminal Law, Transitional Justice",1073.0,1084.0,3859.0,False,April 2018,Doha,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Former Producer Al Jazeera, Visiting Prof Wits Law School, International Criminal Law, Transitional Justice",Mia Swart,0,0.3670399424146891,0.3497112258595849,0.283248831725726,0.3670399424146891,0.6329600575853109,0
aalejandrabm,Alejandra Bonilla Mena,Urban and economic geographer. PhD candidate at  @penn_state . Studying real estate markets and finance in Latin America.,126.0,560.0,16.0,False,November 2011,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Urban and economic geographer. PhD candidate at  @penn_state . Studying real estate markets and finance in Latin America.,Alejandra Bonilla Mena,1,0.35718641572437576,0.36735149066195366,0.27546209361367063,0.36735149066195366,0.6326485093380463,0
ainslielab,Kristy Ainslie,Researcher in vaccine & drug delivery infectious & autoimmune diseases & cancer.  Ally. Mom 2 boys. She/her.  @kristy -ainslie-lab.bsky.social. My views.,5695.0,2132.0,3920.0,False,April 2010,"Chapel Hill, NC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Researcher in vaccine & drug delivery infectious & autoimmune diseases & cancer.  Ally. Mom 2 boys. She/her.  @kristy -ainslie-lab.bsky.social. My views.,Kristy Ainslie,0,0.3706461008668335,0.34685876635918717,0.28249513277397936,0.3706461008668335,0.6293538991331664,0
alirezanader,Alireza Nader علیرضا نادر,"Former researcher at RAND, FDD, CNA, US Treasury",,5090.0,1154.0,False,February 2012,"Washington, DC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Former researcher at RAND, FDD, CNA, US Treasury",Alireza Nader علیرضا نادر,0,0.3706461008668335,0.34685876635918717,0.28249513277397936,0.3706461008668335,0.6293538991331664,1
acsyaorg,ACSYA Inc.,Assyrian Cultural & Social Youth Association Inc.,1485.0,335.0,3177.0,False,July 2014,Australia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Assyrian Cultural & Social Youth Association Inc.,ACSYA Inc.,1,0.3524059031496006,0.3748953564540991,0.2726987403963003,0.3748953564540991,0.6251046435459009,0
alzindiana,Alzheimer's Association Greater Indiana Chapter,The Alzheimer's Association Greater Indiana Chapter serves 73 Indiana counties. Free 24/7 Helpline: 800.272.3900. #ENDALZ,2667.0,1168.0,9573.0,False,December 2011,"Indianapolis, IN",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The Alzheimer's Association Greater Indiana Chapter serves 73 Indiana counties. Free 24/7 Helpline: 800.272.3900. #ENDALZ,Alzheimer's Association Greater Indiana Chapter,1,0.3524059031496006,0.3748953564540991,0.2726987403963003,0.3748953564540991,0.6251046435459009,0
2012bb6656,Yves St-Laurent,Avide de vérité et confiant en un avenir meilleur. Hungry for truth and confident in a better future. The best yet to come!,1782.0,2755.0,2335.0,False,October 2011,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Avide de vérité et confiant en un avenir meilleur. Hungry for truth and confident in a better future. The best yet to come!,Yves St-Laurent,2,0.36057491208816944,0.263131263309473,0.3762938246023576,0.3762938246023576,0.6237061753976424,0
abb_abdi,عباس عبدی,"journalist, social researcher, civil activist",,475.0,5780.0,False,August 2017,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"journalist, social researcher, civil activist",عباس عبدی,1,0.35146911939060416,0.3771817416403854,0.2713491389690104,0.3771817416403854,0.6228182583596146,1
adamlawschool,Amsterdam Law School,"Welcome to the Amsterdam Law School!  We draw students worldwide, bringing a truly international atmosphere.  bsky.app/profile/uvalaw …",4154.0,2252.0,4661.0,False,February 2014,Amsterdam,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Welcome to the Amsterdam Law School!  We draw students worldwide, bringing a truly international atmosphere.  bsky.app/profile/uvalaw …",Amsterdam Law School,0,0.37791755753971135,0.33547140568479106,0.2866110367754976,0.37791755753971135,0.6220824424602887,0
alialkhalede,علي الخالدي - Ali al-Khalidi,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",,136.0,3705.0,False,August 2019,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",علي الخالدي - Ali al-Khalidi,0,0.37877264651815096,0.33413645103816997,0.28709090244367913,0.37877264651815096,0.6212273534818491,0
agoldmund,Alex Goldman,Journalist. host of  @hyperfixedpod . ex/  @westernkabuki . Ex/ @replyall . Chill dude with a cool 'tude. alex@hyperfixedpod.com,,3610.0,444.0,False,September 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Journalist. host of  @hyperfixedpod . ex/  @westernkabuki . Ex/ @replyall . Chill dude with a cool 'tude. alex@hyperfixedpod.com,Alex Goldman,0,0.37877264651815096,0.33413645103816997,0.28709090244367913,0.37877264651815096,0.6212273534818491,0
_jkaplan,Josh Kaplan,digital editor  @thefp  kaplan@thefp.com,4856.0,3387.0,,False,March 2009,UK,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,digital editor  @thefp  kaplan@thefp.com,Josh Kaplan,2,0.36140631668901074,0.25977219251811234,0.37882149079287686,0.37882149079287686,0.6211785092071231,0
alexkennedynba,Alex Kennedy,"NFL/NBA Deputy Editor at  @PFSN365  | Past:  @ESPN ,  @USATODAYSports ,  @HoopsHype ,  @NBAalumni ,  @basketbllnews  | AlexKennedyNBA@gmail.com",,4450.0,1376.0,False,March 2009,Florida,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"NFL/NBA Deputy Editor at  @PFSN365  | Past:  @ESPN ,  @USATODAYSports ,  @HoopsHype ,  @NBAalumni ,  @basketbllnews  | AlexKennedyNBA@gmail.com",Alex Kennedy,2,0.36140631668901074,0.25977219251811234,0.37882149079287686,0.37882149079287686,0.6211785092071231,0
aahonarmand,Aliasghar Honarmand | علی اصغر هنرمند,"Editor-in-chief@  UpdateMD.com and  NooshDaroo.ir Co-founder@  Bozorgraah.com Founder  Narenji.ir, ex-prisoner and a Physician!",,288.0,4047.0,False,January 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Editor-in-chief@  UpdateMD.com and  NooshDaroo.ir Co-founder@  Bozorgraah.com Founder  Narenji.ir, ex-prisoner and a Physician!",Aliasghar Honarmand | علی اصغر هنرمند,0,0.3789351697614718,0.271124447358431,0.3499403828800972,0.3789351697614718,0.6210648302385282,1
alexferra,Alex Ferra,Music Video Director/Producer.  alexferra.com  facebook.com/alexferra  youtube.com/alexferraprodu …,555.0,78.0,462.0,False,June 2009,Los Angeles,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Music Video Director/Producer.  alexferra.com  facebook.com/alexferra  youtube.com/alexferraprodu …,Alex Ferra,0,0.37995844234294657,0.2744688746688372,0.3455726829882162,0.37995844234294657,0.6200415576570535,0
aarnapatel68,Aarna Patel 🦋,"As a financial analyst & representative at Stratos Finance Ltd, I believe the right connections build strong finances. If we become friends, it’s not just frien",465.0,7165.0,35.0,False,June 2025,Jakarta Indonesia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"As a financial analyst & representative at Stratos Finance Ltd, I believe the right connections build strong finances. If we become friends, it’s not just frien",Aarna Patel 🦋,1,0.3794605106169149,0.38086058791476507,0.23967890146832,0.38086058791476507,0.6191394120852349,0
alighadimiai,Ali Ghadimi,Data Scientist | Ex-BBC Journalist | OSINT & Forensic Journalism | AI & Python Developer,57.0,86.0,18.0,False,October 2009,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Data Scientist | Ex-BBC Journalist | OSINT & Forensic Journalism | AI & Python Developer,Ali Ghadimi,0,0.38420355242015036,0.3256785688801501,0.29011787869969957,0.38420355242015036,0.6157964475798496,2
ainohuilaja,Aino Huilaja,"Lapin noita maailmalla // Writer, executive producer, host @ Van Life documentary series on YLE",2932.0,902.0,1807.0,False,September 2009,traveling around,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Lapin noita maailmalla // Writer, executive producer, host @ Van Life documentary series on YLE",Aino Huilaja,0,0.3851212947268736,0.27509519515847847,0.3397835101146479,0.3851212947268736,0.6148787052731264,0
alhilal_en,AlHilal Saudi Club,The official English account of #Alhilal Saudi Club - Arabic account :  @Alhilal_FC  - Sports Games account :  @Alhilal_SG,,82.0,1384.0,False,October 2009,Kingdom of Saudi Arabia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The official English account of #Alhilal Saudi Club - Arabic account :  @Alhilal_FC  - Sports Games account :  @Alhilal_SG,AlHilal Saudi Club,0,0.3875948914959306,0.37369550958059167,0.2387095989234778,0.3875948914959306,0.6124051085040694,0
aghomchi,Amirreza Ghomchi,Engineering | Politics | Art,6.0,665.0,2633.0,False,October 2012,Tehran-Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Engineering | Politics | Art,Amirreza Ghomchi,1,0.34463256272712284,0.3876110443314351,0.26775639294144205,0.3876110443314351,0.6123889556685649,1
afghan271,🇮🇷✧صدای سکوت✧🇮🇷🇪🇭🇵🇰🇦🇫,"*In love with the soil, not the politics. Iran is all of us — every culture, every voice.",626.0,5652.0,367.0,False,April 2023,"Tebriz, ایران",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"*In love with the soil, not the politics. Iran is all of us — every culture, every voice.",🇮🇷✧صدای سکوت✧🇮🇷🇪🇭🇵🇰🇦🇫,1,0.34463256272712284,0.3876110443314351,0.26775639294144205,0.3876110443314351,0.6123889556685649,1
afnan_alostaz,Afnan,PhD candidate: ultrafast Terahertz spintronics  @fz_juelich  @physikFUBerlin  |  @cheveningfcdo  awardee 18’ | MSc. Physics and Business Management  @UniversityLeeds,204.0,452.0,518.0,False,February 2017,Germany,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,PhD candidate: ultrafast Terahertz spintronics  @fz_juelich  @physikFUBerlin  |  @cheveningfcdo  awardee 18’ | MSc. Physics and Business Management  @UniversityLeeds,Afnan,1,0.344218769214464,0.3878413666664174,0.2679398641191187,0.3878413666664174,0.6121586333335827,0
afarouk92,Ahmed Farouk,PhD candidate in Persian literature | Iran analyst | Focused on domestic affairs & foreign policy.,1844.0,718.0,,False,August 2010,"CAIRO , EGYPT",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,PhD candidate in Persian literature | Iran analyst | Focused on domestic affairs & foreign policy.,Ahmed Farouk,1,0.344218769214464,0.3878413666664174,0.2679398641191187,0.3878413666664174,0.6121586333335827,0
akhgar_maryam,Maryam Akhgar,PhD candidate at  @unifau,51.0,67.0,11.0,False,August 2021,"Erlangen, Germany",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,PhD candidate at  @unifau,Maryam Akhgar,1,0.344218769214464,0.3878413666664174,0.2679398641191187,0.3878413666664174,0.6121586333335827,2
ahmadinejad1956,Mahmoud Ahmadinejad,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian  t.me/fpahmadinejad",,49.0,349.0,False,January 2017,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian  t.me/fpahmadinejad",Mahmoud Ahmadinejad,1,0.3274155661145274,0.3883759028287341,0.2842085310567385,0.3883759028287341,0.6116240971712659,1
aaronjmate,Aaron Maté,Journalist w/  @TheGrayzoneNews  / Writing:  mate.substack.com / Co-host:  @UsefulIdiotpod . Email: aaronmate@protonmail.com,,4004.0,6157.0,False,June 2010,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Journalist w/  @TheGrayzoneNews  / Writing:  mate.substack.com / Co-host:  @UsefulIdiotpod . Email: aaronmate@protonmail.com,Aaron Maté,0,0.3896018464773779,0.31730771549148157,0.29309043803114054,0.3896018464773779,0.6103981535226222,0
alaki_,Pourya,"Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...",2705.0,1428.0,1347.0,False,October 2010,"Tehran, Iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...",Pourya,0,0.3896782106055286,0.36525464160109694,0.2450671477933745,0.3896782106055286,0.6103217893944715,1
abazarhassan,Abazar Hassan,"Independent, i believe health, free speech and education a fundamental human right.",,807.0,2056.0,False,March 2015,Sudan,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Independent, i believe health, free speech and education a fundamental human right.",Abazar Hassan,1,0.39157355032762536,0.3976165362997556,0.21080991337261912,0.3976165362997556,0.6023834637002444,0
alialahmed_en,Ali AlAhmed,"investigations, opinions, ideas, articles- EMAIL--  @alialahmedx  - @Gmail -",,1374.0,1332.0,False,March 2012,Washington DC,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"investigations, opinions, ideas, articles- EMAIL--  @alialahmedx  - @Gmail -",Ali AlAhmed,0,0.40054261638176486,0.37763351677761375,0.22182386684062125,0.40054261638176486,0.5994573836182351,2
alejandrareyesc,Alejandra Reyes,"PhD & Asst Professor, Wanderer Immigrant, Partner, Writer, Houser...",803.0,884.0,7815.0,False,January 2011,"Irvine, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"PhD & Asst Professor, Wanderer Immigrant, Partner, Writer, Houser...",Alejandra Reyes,0,0.40167532329755073,0.29423934148698383,0.30408533521546555,0.40167532329755073,0.5983246767024493,0
alihamedanii,Ali Hamedani,Director  @persianmixradio |  @manotonews | Ex-senior Journalist  @BBCNews  | Film Maker | Doctor of Veterinary Medicine |,,3947.0,1364.0,False,May 2007,"London,United kingdom",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Director  @persianmixradio |  @manotonews | Ex-senior Journalist  @BBCNews  | Film Maker | Doctor of Veterinary Medicine |,Ali Hamedani,2,0.3090438471502005,0.28880834764675806,0.40214780520304144,0.40214780520304144,0.5978521947969586,1
abhijitmajumder,Abhijit Majumder,"Editor, journalist, media entrepreneur. Author of India’s New Right.",,624.0,3933.0,False,July 2009,"New Delhi, India",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Editor, journalist, media entrepreneur. Author of India’s New Right.",Abhijit Majumder,0,0.4024610427888869,0.32530223881881126,0.2722367183923018,0.4024610427888869,0.5975389572111132,0
afintl_en,Afghanistan International English,The first 24/7 hours Afghanistan News Channel | Official English account of  @AFIntlBrk,,8.0,6754.0,False,June 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The first 24/7 hours Afghanistan News Channel | Official English account of  @AFIntlBrk,Afghanistan International English,1,0.36184772084209715,0.4031393841243257,0.23501289503357717,0.4031393841243257,0.5968606158756743,0
allysonjsmith,Allyson June Smith,"Comedian. Podcaster  @WTB_Podcast , and  @HorrorMotel  All opinions expressed here are truly my own..... because my Mom isn't on twitter.",2842.0,946.0,3890.0,False,August 2010,Toronto/Manchester,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Comedian. Podcaster  @WTB_Podcast , and  @HorrorMotel  All opinions expressed here are truly my own..... because my Mom isn't on twitter.",Allyson June Smith,0,0.40509787311614154,0.34765307563165576,0.2472490512522026,0.40509787311614154,0.5949021268838585,0
0x778899,Parth,Thanks Crypto and Bitcoin,110.0,4666.0,8607.0,False,June 2016,Howrah,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Thanks Crypto and Bitcoin,Parth,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
10190celine,Céline,,96.0,3455.0,2320.0,False,June 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Céline,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
_garrulus,Garrulus,,112.0,475.0,654.0,False,July 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Garrulus,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
_hasanbro,Hasan Bro,Muslim,94.0,249.0,173.0,False,October 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Muslim,Hasan Bro,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,2
_alignments,Alignments,"@__Think_ ,",15.0,13.0,2.0,False,June 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"@__Think_ ,",Alignments,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,2
almirasalsa918,mariaanderson ❥❥❥,be a good one honey,448.0,1710.0,657.0,False,September 2012,USA,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,be a good one honey,mariaanderson ❥❥❥,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
almlkzhyr76434,زهير الملك,,8.0,116.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,زهير الملك,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
almww10,almomo,,19.0,776.0,9.0,False,October 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,almomo,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,2
alokobra1643794,alokobra,,0.0,39.0,10.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,alokobra,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,2
alooupi61211,Alooupi,,88.0,2288.0,0.0,False,April 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Alooupi,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,2
_zelenska_,Zelenska,a linguist,21.0,309.0,746.0,False,March 2020,United Kingdom,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,a linguist,Zelenska,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
06numerosix,komagome,▶︎  ｸｷｰｯ／ｾﾚちゃん,1980.0,200.0,,False,February 2014,のば,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,▶︎  ｸｷｰｯ／ｾﾚちゃん,komagome,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
09escargot1012,クラウス32,楽天イーグルス、AS Roma、Galatasaray 、國學院大學と京都産業大学(駅伝)を応援しています。アマガミ等ラブコメについて話すことも多いです。よろしくお願いします(スパム垢は全て24＆ブロックします),1646.0,5841.0,,False,October 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,楽天イーグルス、AS Roma、Galatasaray 、國學院大學と京都産業大学(駅伝)を応援しています。アマガミ等ラブコメについて話すことも多いです。よろしくお願いします(スパム垢は全て24＆ブロックします),クラウス32,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
altendprod,Alt Ending Productions,,601.0,0.0,2.0,False,June 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Alt Ending Productions,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
alparsai,Ali Parsai,"Soyez réalistes, demandez l'impossible.",377.0,958.0,5809.0,False,November 2016,Planet Earth,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Soyez réalistes, demandez l'impossible.",Ali Parsai,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
alpeeoqiw49588,Kelly Poe,,27.0,1048.0,0.0,False,October 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Kelly Poe,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
alphard1black,Alphard (Taylor's Version),I salute you if you’re much too much to handle.,4211.0,920.0,,False,June 2020,The Tortured Poets Department,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,I salute you if you’re much too much to handle.,Alphard (Taylor's Version),0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,1
alphawings,Luke ✍️ megahertz.sol,Creative Micro-Writer.  I write stories in #SixWords. ©  Web3 | Degen #TheGoonsClub,1855.0,1330.0,,False,June 2007,Malta,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Creative Micro-Writer.  I write stories in #SixWords. ©  Web3 | Degen #TheGoonsClub,Luke ✍️ megahertz.sol,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
alpsina89,Sina alp,,87.0,651.0,40.0,False,April 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Sina alp,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,2
alrfat13271,احمد صالح,,362.0,5657.0,5.0,False,October 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,احمد صالح,0,0.40774902083103826,0.28944559859586505,0.30280538057309664,0.40774902083103826,0.5922509791689617,0
