username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,target_population,locals_vs_diaspora,person_vs_organization,comments
abasinfo,Abas Aslani | عباس اصلانی,عباس اصلانی | صفحه فارسی |خبرنگار و پژوهشگر در حوزه سیاست خارجی و بین‌الملل   | صفحه انگلیسی (English account):  @AbasAslani,1213.0,505.0,2528.0,False,July 2016,تهران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
almghdmi,Ali,"Developer, Gamer",119.0,235.0,,False,April 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
abdolrezakahani,Abdolreza Kahani,"Writer,Director,Producer //  agiff.arkgate.ca",20700.0,299.0,247.0,False,June 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
alanciwanc41267,alanciwan ciwan,,33.0,2281.0,1.0,False,January 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
a_s_v_t_r,حــزامـ,اللَّهُمَّ لَا تَدَع لي أمْراً إِلَّا يَسَّرَتْهُ وَلَا حُلْماً إِلَّا حَقَّقَتَهُ,389.0,943.0,,False,May 2024,ID52159146623,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
ali_tavakoli_28,hopkinz,سر سری رد شو و زندگی کن.دقت دق ات میدهد.,90.0,128.0,1448.0,False,December 2012,shiraz_iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
adryn848,آدرین,,14.0,539.0,0.0,False,May 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
alexmarlow,Alex Marlow,"**BREAKING THE LAW** OUT NOW! 'The Alex Marlow Show,'  @BreitbartNews  EIC, 3x-NYT bestseller. “Alex knows it all.” -President Trump",70000.0,271.0,7396.0,False,January 2009,"Chappaquiddick, MA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
alirezasafarpo7,Alireza Safarpoor,AlirezaSFP,7.0,122.0,77.0,False,August 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
agolp,Armand Golpaygani,,197.0,471.0,162.0,False,November 2009,"Paris, France",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
alimeelad94,Mohammed Ali,,89.0,305.0,1916.0,False,October 2017,The Netherlands,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
allanmau1992,Allan Mau,,27.0,560.0,14.0,False,May 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
4noura,Noura Erakat,"Human Rights attorney | Professor| Author, Justice For Some | Justicia, Paz, Amor",192900.0,2719.0,,False,November 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
ahwaz1925__,عربستان,ليس وطني دائما على حق ولكني لا استطيع ان امارس حقاً حقيقياً الا في وطني,26.0,130.0,210.0,False,September 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
abu_aqeel86,عبدالله الخالدي,,0.0,16.0,4.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
6njeli,اونجلیناجیلی,ماه پشت ابر نمیمونه تو خوب بمون، بلاخره آدم بدا یه جا رسوا میشن,164500.0,,5593.0,False,September 2018,İstanbul-Turkey,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
abwmhdy75844,سجاد ابو مهدي,,0.0,70.0,0.0,False,September 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
a_soleimani_f,عارفه سلیمانی,خبرنگار,14.0,93.0,27.0,False,May 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
al_sharifzadeh,علی شریف زاده اردکانی,وكيل پایه یک دادگستری ،مدرس دانشگاه و عضو کانون وکلای مرکز,4540.0,367.0,847.0,False,March 2020,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
alireza__ziyaei,Alireza Ziaee,,0.0,45.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,name
0l8o0xgtjkorcjb,SaraThoreau,,127.0,4554.0,0.0,False,September 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
ahllam_music,ahllam,artist,6758.0,2.0,45.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,translate
a_alirezabeigi,احمد علیرضابیگی,نماینده دوره دهم و یازدهم مردم تبریز، اسکو و آذرشهر در مجلس شورای اسلامی|استاندار اسبق آذربایجان شرقی t.me/ahmadalirezabe …,3823.0,30.0,427.0,False,December 2019,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
agakeruka71284,あがけるか,,100.0,3464.0,0.0,False,September 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
abu_al_askary,ابو علي العسكري,المسؤول الأمني لكتائب حزب الله في العراق,2697.0,0.0,4.0,False,August 2023,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,0.0,1,
alietamedia,علی اعطا,‌کارشناسی‌ارشد پیوسته و دکتری معماری | عضو هیئت رییسه و سخنگوی شورای پنجم تهران | معمار | روزنامه‌نگار,13600.0,1202.0,4615.0,False,October 2016,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
advisorbecki,"Rebecca Iacopelli, CFP®, MT","Helping women control and maximize their wealth  Senior Advisor at Barron’s Top 25 Firm  CFP®, Masters in Taxation  CFA Level III Candidate",10.0,27.0,56.0,False,June 2025,"Philadelphia, PA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
a2bdullah_,Abdullah_AL lime,,0.0,13.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
a8484aviv,אביב AVIV 🇮🇱,LIVE AND LET LIVE,3028.0,7496.0,,False,June 2014,ישראל,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
_starboy369,Starboy ⭐️,《دنیا همه هیچ و اهل دنیا همه هیچ، ای هیچ برای هیچ بر هیچ مپیچ》,806.0,5214.0,3509.0,False,July 2022,Iran ☼𓃬,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
aliam_es,ایی اِس,صبر   instagram.com/ecutfood/profi …,4324.0,4447.0,1334.0,False,November 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,2.0,1,
akumafeelings,👹 AKUMA 👹,"eu minto muito bastante   (⁠◕⁠ᴗ⁠◕⁠✿⁠) mutual pra mim é irmã    ele/dele  filho do silêncio, da doença e da cura",5372.0,4139.0,1386.0,False,October 2016,"Salvador, Brasil",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,0,,1,
alfirinmag52045,Magol Alfirin,I AM ...,1.0,30.0,0.0,False,December 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
aiyankarimi3312,A_K70,"When you are there, all doors open.",55.0,394.0,1300.0,False,April 2025,کرمانشاه,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
alivrd,Ali Vafaei Razdar,,0.0,2.0,0.0,False,August 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
alishiri272750,Ali Shiri,,0.0,5.0,0.0,False,July 2025,tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,1,1.0,1,
al3mlaa81,د/العملاق,د / العملاق ..,,167.0,1386.0,False,November 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
aishaabbas20560,Abbass Aisha,,59.0,703.0,0.0,False,March 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,2,,1,
