username,display_name,manual_person_vs_organization,predicted_class,uncertainty_score,confidence_level,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en
alhassanhu41917,Alhassan Hussaini,,1,0.4803837835121861,0.5196162164878139,"""Proud Nigerian Technologist  | GIS Expert @ MAU | I love humanity  | Elon Musk is my hero & motive  | Building the future with innovation & heart""",37.0,604.0,158.0,False,May 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"""Proud Nigerian Technologist  | GIS Expert @ MAU | I love humanity  | Elon Musk is my hero & motive  | Building the future with innovation & heart""",Alhassan Hussaini
4sylvestermccoy,Sylvester McCoy,,1,0.4784746263895286,0.5215253736104714,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,,121.0,4831.0,False,August 2012,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Sylvester’s page is run by his manager  @execcer  but also with personal input & photos from him. NB: Personal replies not possible. Manager:  clareeden.com,Sylvester McCoy
adsbynimbus,Nimbus,,0,0.4780293498593662,0.5219706501406338,Get the most out of your mobile & CTV advertising with competitive programmatic auctions and comprehensive reporting. Built by  @Timehop,65.0,69.0,46.0,False,May 2019,"New York, USA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Get the most out of your mobile & CTV advertising with competitive programmatic auctions and comprehensive reporting. Built by  @Timehop,Nimbus
alchemyamerican,Jesse Michels,,1,0.4774661134464993,0.5225338865535006,Exploring the nature of reality @  YouTube.com/jessemichels &  open.spotify.com/show/1WqA0m5xT …,,667.0,2839.0,False,October 2020,"Austin, TX",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Exploring the nature of reality @  YouTube.com/jessemichels &  open.spotify.com/show/1WqA0m5xT …,Jesse Michels
afchine_alavi,Afchine Alavi,,1,0.4771699410362222,0.5228300589637778,Pour une République libre et laïque en Iran. Membre de la commission des affaires étrangères du Conseil national de la Résistance iranienne (CNRI) - Linkedin,,3018.0,1315.0,False,July 2009,France,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Pour une République libre et laïque en Iran. Membre de la commission des affaires étrangères du Conseil national de la Résistance iranienne (CNRI) - Linkedin,Afchine Alavi
adnanaltia,عدنان الطائي,,0,0.4767956260447284,0.5232043739552715,"Host of the ""Tell the Truth"" Program",,469.0,7109.0,False,November 2015,"Istanbul, Turkey",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Host of the ""Tell the Truth"" Program",عدنان الطائي
adhdukcharity,ADHD UK,,0,0.4766328646350842,0.5233671353649157,We are the charity ADHD UK. Helping everyone with ADHD thrive. Find us at:  adhduk.co.uk. Charity Commission registration number 1188365.,,22.0,2113.0,False,November 2019,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,We are the charity ADHD UK. Helping everyone with ADHD thrive. Find us at:  adhduk.co.uk. Charity Commission registration number 1188365.,ADHD UK
ajnlive,Alex Jones Network,,1,0.4756118420699533,0.5243881579300467,Follow for exclusive news + reports from Alex Jones & others. Support:  TheAlexJonesStore.com &  fightforalex.com   @alexjonesstore,,118.0,1348.0,False,September 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Follow for exclusive news + reports from Alex Jones & others. Support:  TheAlexJonesStore.com &  fightforalex.com   @alexjonesstore,Alex Jones Network
ahmedmohammed,Ahmed bin Mohammed,,1,0.4748422063689369,0.5251577936310631,"النائب الثاني لحاكم دبي، رئيس مجلس دبي للإعلام   Second Deputy Ruler of Dubai, Chairman of the Dubai Media Council",,22.0,654.0,False,January 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"النائب الثاني لحاكم دبي، رئيس مجلس دبي للإعلام   Second Deputy Ruler of Dubai, Chairman of the Dubai Media Council",Ahmed bin Mohammed
alexanderklee,Alexander K Lee,,0,0.4737252049552444,0.5262747950447556,the other other man that Cameron Poe trusts --- MMA person  @MMAFighting  --- Centennial College Sports Journalism alum ---,5696.0,613.0,1376.0,False,May 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,the other other man that Cameron Poe trusts --- MMA person  @MMAFighting  --- Centennial College Sports Journalism alum ---,Alexander K Lee
ajatashatru,daniel mabsout,,0,0.4726615468888934,0.5273384531111066,I believe in the presence of a truth behind all appearances and illusions without which these will not even appear to exist .,430.0,497.0,1350.0,False,June 2009,Lebanon,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,I believe in the presence of a truth behind all appearances and illusions without which these will not even appear to exist .,daniel mabsout
ahmedstv1,ahmedstv _احمد سبورت تيفي,,0,0.4676869238202101,0.5323130761797898,Scout كشاف اللاعبين  اعلامي رياضي sports analyst To advertise products Garipadam2015@outlook.com My youtube channel,385.0,41.0,102.0,False,August 2019,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Scout كشاف اللاعبين  اعلامي رياضي sports analyst To advertise products Garipadam2015@outlook.com My youtube channel,ahmedstv _احمد سبورت تيفي
alexholiga,Aleksandar Holiga,,0,0.4666577087537329,0.5333422912462671,"Against the darkness, against the force. Independent football writer - the Guardian, The Blizzard etc.; chief editor  @Telesport_hr",7784.0,492.0,1376.0,False,May 2012,"Zagreb, Croatia",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Against the darkness, against the force. Independent football writer - the Guardian, The Blizzard etc.; chief editor  @Telesport_hr",Aleksandar Holiga
akhbare_fori,خبرفوری,,1,0.4662272514872014,0.5337727485127985,. (خبرفوری) Official account of KhabarFoori . Telegram Channel:  t.me/akhbarefori,,34.0,1378.0,False,July 2017,iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,. (خبرفوری) Official account of KhabarFoori . Telegram Channel:  t.me/akhbarefori,خبرفوری
_agentfootball,Agent Football,,1,0.4660031960863033,0.5339968039136966,OFFICIAL FOOTBALL AGENTS - CORPORATE NETWORK LTD,3.0,75.0,3.0,False,September 2022,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,OFFICIAL FOOTBALL AGENTS - CORPORATE NETWORK LTD,Agent Football
ajmanclub_en,Ajman club - En,,1,0.4645113962011344,0.5354886037988655,Official English account of ajman club,1274.0,3.0,1992.0,False,December 2017,"Ajman, United Arab Emirates",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Official English account of ajman club,Ajman club - En
30for30,30 for 30,,0,0.4633569736703423,0.5366430263296577,"Check out the ENTIRE 30 for 30 collection on  @ESPNPlus , a part of The Disney Bundle.",,1399.0,30.0,False,June 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Check out the ENTIRE 30 for 30 collection on  @ESPNPlus , a part of The Disney Bundle.",30 for 30
afgmboard,Anti-FGM Board Kenya,,0,0.4603800961474764,0.5396199038525236,"Established to spearhead the eradication of FGM and enhance the empowerment of girls and women through the implementation of the Prohibition of FGM Act, 2011.",,1799.0,3544.0,False,January 2015,Nairobi-Kenya,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Established to spearhead the eradication of FGM and enhance the empowerment of girls and women through the implementation of the Prohibition of FGM Act, 2011.",Anti-FGM Board Kenya
alexanderm18395,Alexander McPhail,,1,0.4603388684928577,0.5396611315071422,"He/him. Twin  Woke is an informal adjective that means being aware of and attentive to important issues, especially social and racial injustice.",552.0,1816.0,1376.0,False,June 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"He/him. Twin  Woke is an informal adjective that means being aware of and attentive to important issues, especially social and racial injustice.",Alexander McPhail
alhilal_sg,ألعاب الهلال المختلفة,,1,0.4597355609012388,0.5402644390987612,الحساب الرسمي لألعاب الهلال المختلفة | The official account of Al-Hilal’s Sports Games  @Alhilal_FC  @Alhilal_EN,,6.0,2339.0,False,May 2009,المملكة العربية السعودية,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,الحساب الرسمي لألعاب الهلال المختلفة | The official account of Al-Hilal’s Sports Games  @Alhilal_FC  @Alhilal_EN,ألعاب الهلال المختلفة
4freedominiran,Iran Freedom,,0,0.4583253909597681,0.5416746090402319,"Representing activities & views of the Iranian diaspora, promoting democratic change by the people for #FreeIran Voice of #IranProtests #MaryamRajavi4FreeIran",,698.0,2018.0,False,August 2013,,,https://pbs.twimg.com/profile_images/1427297293242441731/1vPaoNnm_200x200.jpg,,"Representing activities & views of the Iranian diaspora, promoting democratic change by the people for #FreeIran Voice of #IranProtests #MaryamRajavi4FreeIran",Iran Freedom
al3_hacker,AL3,,1,0.4575855915751943,0.5424144084248057,Iranian Anonymous  #OpIran  We do not need donation اگر اکانتی مورد تایید باشد یا همکار باشیم ، فالو میشود,,25.0,247.0,False,June 2013,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Iranian Anonymous  #OpIran  We do not need donation اگر اکانتی مورد تایید باشد یا همکار باشیم ، فالو میشود,AL3
aibuzznews,Patrick's AIBuzzNews,,1,0.4569153925313205,0.5430846074686795,Dive into AI with daily insights!  Trending AI news  IT-Specialist at  @desy  Join our tribe!  DM for collab,,582.0,1348.0,False,May 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Dive into AI with daily insights!  Trending AI news  IT-Specialist at  @desy  Join our tribe!  DM for collab,Patrick's AIBuzzNews
ahaactors,AHA Actors,,1,0.4557874715001277,0.5442125284998722,The Actors Department at AHA Talent.,7853.0,639.0,3922.0,False,May 2011,London,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The Actors Department at AHA Talent.,AHA Actors
alalehkamranlaw,"Alaleh Kamran, Esq.",,0,0.4554371595419069,0.5445628404580931,"State & Fed criminal defense trial attorney, Radio & TV legal analyst. KTLA, People, CBS, NBC, BBC Persia, Guardian, Hollywood Reporter, New York Post",1435.0,1323.0,5636.0,False,March 2009,Los Angeles,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"State & Fed criminal defense trial attorney, Radio & TV legal analyst. KTLA, People, CBS, NBC, BBC Persia, Guardian, Hollywood Reporter, New York Post","Alaleh Kamran, Esq."
alaki_,Pourya,,1,0.4545199674662131,0.5454800325337869,"Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...",2705.0,1428.0,1347.0,False,October 2010,"Tehran, Iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...",Pourya
alisongopnik,Alison Gopnik,,1,0.4542915020841245,0.5457084979158755,"Cognitive scientist, psychologist, philosopher, author of Scientist in the Crib, Philosophical Baby, The Gardener & The Carpenter, WSJ Mind And Matter columnist",,35.0,1845.0,False,September 2011,Berkeley,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Cognitive scientist, psychologist, philosopher, author of Scientist in the Crib, Philosophical Baby, The Gardener & The Carpenter, WSJ Mind And Matter columnist",Alison Gopnik
abdullahmohtadi,Abdullah Mohtadi,,1,0.4539675524541208,0.5460324475458792,Secretary General of the Komala Party of Iranian Kurdistan,,430.0,647.0,False,January 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Secretary General of the Komala Party of Iranian Kurdistan,Abdullah Mohtadi
akbarsahmed,Akbar Shahid Ahmed,,0,0.4478675751258367,0.5521324248741633,Senior Diplomatic Correspondent  @HuffPost . Writing a book on the Biden administration & Gaza  @WWNorton . He/him.   akbar.ahmed@huffpost.com or akbar.58 on Signal,,3880.0,1361.0,False,July 2011,"D.C., via Karachi & New Haven.",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Senior Diplomatic Correspondent  @HuffPost . Writing a book on the Biden administration & Gaza  @WWNorton . He/him.   akbar.ahmed@huffpost.com or akbar.58 on Signal,Akbar Shahid Ahmed
alarabiya_eng,Al Arabiya English,,0,0.4460073292219321,0.5539926707780679,The Arab world’s leading source of global news and opinion.,,53.0,1356.0,False,February 2009,Riyadh,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The Arab world’s leading source of global news and opinion.,Al Arabiya English
abusamiyildiz,Murat C. Yıldız مراد جهان ييلديز,,1,0.4454777665964068,0.5545222334035932,"Historian of sports and intercommunality in the late Ottoman Empire | Associate Professor  @SkidmoreCollege   | ""The Ottoman World of Sports""  @UTexasPress",234.0,2781.0,31.0,False,July 2024,"Niskayuna, NY",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Historian of sports and intercommunality in the late Ottoman Empire | Associate Professor  @SkidmoreCollege   | ""The Ottoman World of Sports""  @UTexasPress",Murat C. Yıldız مراد جهان ييلديز
2dopequeens,2 Dope Queens Podcast,,1,0.4447737311089986,0.5552262688910014,Podcast hosted by Phoebe Robinson  @dopequeenpheebs  & Jessica Williams  @msjwilly  from  @WNYCStudios . New episodes every Tuesday.,,1094.0,2510.0,False,December 2013,"Brooklyn, NY",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Podcast hosted by Phoebe Robinson  @dopequeenpheebs  & Jessica Williams  @msjwilly  from  @WNYCStudios . New episodes every Tuesday.,2 Dope Queens Podcast
agencythebook,Agency The Book,,1,0.4447737311089986,0.5552262688910014,By  @rickwebb . Published by  @palgraveUSA .,104.0,23.0,92.0,False,June 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,By  @rickwebb . Published by  @palgraveUSA .,Agency The Book
1inch,1inch,,1,0.4436301153816803,0.5563698846183197,Simple experience. Smart execution. Trading built to scale. It's time to bring the world onchain. t.me/OneInchNetwork …,,365.0,2327.0,False,June 2019,Cross-Chain,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Simple experience. Smart execution. Trading built to scale. It's time to bring the world onchain. t.me/OneInchNetwork …,1inch
10downingstreet,UK Prime Minister,,1,0.4427506917379634,0.5572493082620366,"Official page for Prime Minister  @Keir_Starmer ’s office, based at 10 Downing Street.",,192.0,2320.0,False,March 2008,"10 Downing Street, London",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Official page for Prime Minister  @Keir_Starmer ’s office, based at 10 Downing Street.",UK Prime Minister
_aespect,ٍ,,1,0.4425624218952869,0.5574375781047131,THIS IS FOR SEEING TWICE FEB. 18 2026  backup:  @__aespect 19 || MLM || he/him ||  Follow to become an aengel,430.0,1802.0,5989.0,False,December 2024,aespect city,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,THIS IS FOR SEEING TWICE FEB. 18 2026  backup:  @__aespect 19 || MLM || he/him ||  Follow to become an aengel,ٍ
acbowen,Andrew Bowen (he/him),,0,0.4419782257696329,0.558021774230367,"KPBS metro reporter. Creator/host of Freeway Exit, a podcast about freeways.  @WeMakeKPBS  steward. Gaily homosexual.  I no longer post here, follow me on Bluesky",7134.0,2760.0,,False,January 2012,"San Diego, CA",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"KPBS metro reporter. Creator/host of Freeway Exit, a podcast about freeways.  @WeMakeKPBS  steward. Gaily homosexual.  I no longer post here, follow me on Bluesky",Andrew Bowen (he/him)
aaravtyagi_x,Aarav Tyagi,,1,0.4400765763947624,0.5599234236052376,"Add $10,000+ to your average client value using our AI Pricing Recommendations and Market Benchmarks.  Generate flawless PDF Quotes that actually CONVERT.",0.0,17.0,0.0,False,July 2025,"London, United Kingdom",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Add $10,000+ to your average client value using our AI Pricing Recommendations and Market Benchmarks.  Generate flawless PDF Quotes that actually CONVERT.",Aarav Tyagi
alijumadaaltha,The Uncovering Journal,,0,0.436657708753733,0.563342291246267,Brings you from the darkness towards the light,47.0,207.0,20.0,False,July 2022,in God's Earth,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Brings you from the darkness towards the light,The Uncovering Journal
alterfutbol,AlterFútbol Podcast,,1,0.4364640760944964,0.5635359239055036,"La casa del otro fútbol. Podcast, transmisiones en vivo, notas y mucho más.  Por  @nahuelzn ,  @fglamas  y  @ienzoduarte Youtube:  youtube.com/alterfutbol",5702.0,58.0,553.0,False,June 2019,Argentina,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"La casa del otro fútbol. Podcast, transmisiones en vivo, notas y mucho más.  Por  @nahuelzn ,  @fglamas  y  @ienzoduarte Youtube:  youtube.com/alterfutbol",AlterFútbol Podcast
alhilal_en,AlHilal Saudi Club,,0,0.4361924281819395,0.5638075718180605,The official English account of #Alhilal Saudi Club - Arabic account :  @Alhilal_FC  - Sports Games account :  @Alhilal_SG,,82.0,1384.0,False,October 2009,Kingdom of Saudi Arabia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The official English account of #Alhilal Saudi Club - Arabic account :  @Alhilal_FC  - Sports Games account :  @Alhilal_SG,AlHilal Saudi Club
alzindiana,Alzheimer's Association Greater Indiana Chapter,,0,0.4323650566807494,0.5676349433192506,The Alzheimer's Association Greater Indiana Chapter serves 73 Indiana counties. Free 24/7 Helpline: 800.272.3900. #ENDALZ,2667.0,1168.0,9573.0,False,December 2011,"Indianapolis, IN",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The Alzheimer's Association Greater Indiana Chapter serves 73 Indiana counties. Free 24/7 Helpline: 800.272.3900. #ENDALZ,Alzheimer's Association Greater Indiana Chapter
acovertcovfefe,The Doctor,,0,0.4317111875442365,0.5682888124557635,"…and then, as the tale goes, there was a Question. The Oldest Question in the Universe: Who are you when there is No Grey Area?",176.0,592.0,2790.0,False,January 2025,United States,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"…and then, as the tale goes, there was a Question. The Oldest Question in the Universe: Who are you when there is No Grey Area?",The Doctor
actorssum,Actors Summit,,0,0.430908483280537,0.569091516719463,"The World’s Largest Online Actors Event Presented by  @actingandvoice   May 20-22, 2022  150+ Speakers  Celebrities  100% Online Tickets",1129.0,1018.0,54.0,False,November 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"The World’s Largest Online Actors Event Presented by  @actingandvoice   May 20-22, 2022  150+ Speakers  Celebrities  100% Online Tickets",Actors Summit
adskulubu,Adana Demirspor,,1,0.4266344882404,0.5733655117595999,Adana Demirspor Kulübü Resmi X Hesabı / Official X Account Of Adana Demirspor Club,,10.0,1315.0,False,June 2012,Adana / TÜRKİYE,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Adana Demirspor Kulübü Resmi X Hesabı / Official X Account Of Adana Demirspor Club,Adana Demirspor
adakuskowski,Ada Kuskowski,,1,0.4253370403012192,0.5746629596987808,"Medievalist, legal historian, French historian  @Penn . Author of Vernacular Law: The Reinvention of Customary Law in Medieval France (Cambridge, 2023)",362.0,480.0,303.0,False,September 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Medievalist, legal historian, French historian  @Penn . Author of Vernacular Law: The Reinvention of Customary Law in Medieval France (Cambridge, 2023)",Ada Kuskowski
acsparta_en,AC Sparta Prague,,1,0.4229462330998867,0.5770537669001132,The most successful Czech club.  Follow  @ACSparta_CZ  for tweets in Czech.,,193.0,9926.0,False,July 2012,Prague,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The most successful Czech club.  Follow  @ACSparta_CZ  for tweets in Czech.,AC Sparta Prague
