username,predicted_class,confidence_level,uncertainty_score,prob_0,prob_1,description,display_name,description_en,display_name_en,followers_count,following_count,statuses_count,verified,location,url,sampling_reason,manual_label_person_vs_organization,created_at,profile_image_url,profile_banner_url,prob_2
abdul_majid33,1,0.9769732347473964,0.0230267652526037,0.0230267652526037,0.9769732347473964,طلبهٔ پیرو خط ولایت || مُنتَظر || کارشناس ارشد تاریخ تحلیلی اسلام,عبـدالمـجید خرقـانی 🇮🇷,Students following the province's line || Expected || Master of Analytical History of Islam,Abdul Majeed Kharqani 🇮🇷,,4650.0,3757.0,False,طِ‌حرٰان,,high_confidence,,May 2020,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aadilsultanx,1,0.97465794748719,0.0253420525128099,0.0253420525128099,0.97465794748719,,A@dil $ultan,,A@dil $ultan,337.0,4781.0,186.0,False,Pakistan,,high_confidence,,November 2018,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
2447mo1789,1,0.974273708333262,0.0257262916667381,0.0257262916667381,0.974273708333262,À quoi bon tweeter encore ?  @i24NEWS_FR,Mo,À quoi bon tweeter encore ?  @i24NEWS_FR,Mo,1177.0,5324.0,29.0,False,מארה נוסטרום,,high_confidence,,October 2023,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alexkennedynba,1,0.9738827785449744,0.0261172214550257,0.0261172214550257,0.9738827785449744,"NFL/NBA Deputy Editor at  @PFSN365  | Past:  @ESPN ,  @USATODAYSports ,  @HoopsHype ,  @NBAalumni ,  @basketbllnews  | AlexKennedyNBA@gmail.com",Alex Kennedy,"NFL/NBA Deputy Editor at  @PFSN365  | Past:  @ESPN ,  @USATODAYSports ,  @HoopsHype ,  @NBAalumni ,  @basketbllnews  | AlexKennedyNBA@gmail.com",Alex Kennedy,,4450.0,1376.0,False,Florida,,high_confidence,,March 2009,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
agoldmund,1,0.9681170582248134,0.0318829417751865,0.0318829417751865,0.9681170582248134,Journalist. host of  @hyperfixedpod . ex/  @westernkabuki . Ex/ @replyall . Chill dude with a cool 'tude. alex@hyperfixedpod.com,Alex Goldman,Journalist. host of  @hyperfixedpod . ex/  @westernkabuki . Ex/ @replyall . Chill dude with a cool 'tude. alex@hyperfixedpod.com,Alex Goldman,,3610.0,444.0,False,,,high_confidence,,September 2012,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alihashemi78849,1,0.9654469348965188,0.0345530651034812,0.0345530651034812,0.9654469348965188,,ali hshemi,,ali hshemi,324.0,3386.0,639.0,False,,,high_confidence,,April 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
ahsana30012,1,0.9653053559714888,0.0346946440285113,0.0346946440285113,0.9653053559714888,امت گرا Internationalism#اللهم_عجل_لولیک_الفرج,أبو محمد🇵🇸,Ummat-oriented Internationalism,Abu Muhammad 🇵🇸,148.0,4060.0,757.0,False,,,high_confidence,,February 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alexpombo489762,1,0.9650081753967624,0.0349918246032374,0.0349918246032374,0.9650081753967624,"Conseiller en communication, Essayiste, Sociologue, Apôtre du numérique, Spécialiste du cinéma, Passionné d'histoire, Entrepreneur, Trader.",Alex Pombo,"Conseiller en communication, Essayiste, Sociologue, Apôtre du numérique, Spécialiste du cinéma, Passionné d'histoire, Entrepreneur, Trader.",Alex Pombo,224.0,4393.0,2385.0,False,,,high_confidence,,February 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
20lincoln20,1,0.9602387411942304,0.0397612588057695,0.0397612588057695,0.9602387411942304,جمهوری خواه-سکولار دموکرات,tohid2001,Republican-Secular Democrat,tohid2001,4085.0,4396.0,2456.0,False,,,high_confidence,,September 2020,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
9122432itw,1,0.6546760134473105,0.3453239865526895,0.3453239865526895,0.6546760134473105,"Für Freiheit und Völkerrecht. Frieden wird nicht durch Krieg erreicht. Fokus auf das, was uns verbindet. Gegen Spaltung.",Amara,"Für Freiheit und Völkerrecht. Frieden wird nicht durch Krieg erreicht. Fokus auf das, was uns verbindet. Gegen Spaltung.",Amara,304.0,396.0,3321.0,False,,,low_confidence,,October 2022,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
alijafarifo,1,0.6527233024615229,0.3472766975384771,0.3472766975384771,0.6527233024615229,نظاره گر منفعل.روزنامه نگار و برنامه ساز رادیو و منتقد تیاتر.مدرس پاره وقت برخی دانشگاهها.  هرچی ام که می گم به خودم مربوطه نه محل کارم.والله,علیج,"Passive observer. Journalist and radio program maker and theater critic. Part-time teacher at some universities.  Whatever I say is related to me, not my workplace",Alij,248.0,193.0,2174.0,False,tehran,,low_confidence,,September 2010,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aghmamrez,1,0.6521994099518477,0.3478005900481523,0.3478005900481523,0.6521994099518477,در آغوش کسشر برای دست‌به‌سرکردن اندوه,آق‌ممرض,In the arms of Kesher to overcome the sadness,A pathogen,3095.0,335.0,1307.0,False,,,low_confidence,,October 2013,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aban_paris,1,0.6412805926046148,0.3587194073953852,0.3587194073953852,0.6412805926046148,چيزى براى گفتن ندارم، ميخوام بشنوم,paris.aban,"I have nothing to say, I want to hear",paris.aban,138.0,264.0,,False,,,low_confidence,,November 2019,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
abdimonireh,1,0.6361423114206104,0.3638576885793896,0.3638576885793896,0.6361423114206104,"Architectural Engineer.Myhusband is Esmaeil Abdi,teacher and activist in theTeachers'Union of Iran.He has been imprisoned by theIranian government more 8 years",Monireh Abdi,"Architectural Engineer.Myhusband is Esmaeil Abdi,teacher and activist in theTeachers'Union of Iran.He has been imprisoned by theIranian government more 8 years",Monireh Abdi,1637.0,209.0,343.0,False,ایران,,low_confidence,,May 2020,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
ala_tre6,1,0.6327174363318155,0.3672825636681844,0.3672825636681844,0.6327174363318155,گاهی آروم گاهی پرشور،حد وسط اینجا معنا ندارد,A.,"Sometimes calm, sometimes passionate, the middle ground has no meaning here",A.,0.0,50.0,8.0,False,,,low_confidence,,May 2024,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
almaaward,0,0.6302834036412385,0.3697165963587615,0.6302834036412385,0.3697165963587615,"The Astrid Lindgren Memorial Award is a global award created in 2002 by the Swedish government, to promote every child’s right to great stories.",Astrid Lindgren Memorial Award,"The Astrid Lindgren Memorial Award is a global award created in 2002 by the Swedish government, to promote every child’s right to great stories.",Astrid Lindgren Memorial Award,2471.0,966.0,1894.0,False,Stockholm,,low_confidence,,August 2013,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
abolie17386,1,0.6297772955385067,0.3702227044614933,0.3702227044614933,0.6297772955385067,انشاالله پایان و نابودی اسرائیل به دست اولاد علی(علیه سلام)  Israel Is a Canserous Gland,abolfazl Esmaili,"God willing, the end and destruction of Israel at the hands of the descendants of Ali (peace be upon him) Israel Is a Cancerous Gland",abolfazl Esmaili,4.0,28.0,164.0,False,Islamic Republic of Iran,,low_confidence,,November 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
al_firas999,1,0.605272715936946,0.394727284063054,0.394727284063054,0.605272715936946,,Firas Al Mashhadani,,Firas Al Mashhadani,26.0,162.0,43.0,False,"Sulaymaniyah, Iraq",,low_confidence,,September 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
adamczarni22933,1,0.5920959861696555,0.4079040138303444,0.4079040138303444,0.5920959861696555,"There are bright stars in this universe, each shines with unique light, here a faint flame glows with tender sheen, fragile and vulnerable, yet gentle caress",Adam Czarniecki,"There are bright stars in this universe, each shines with unique light, here a faint flame glows with tender sheen, fragile and vulnerable, yet gentle caress",Adam Czarniecki,35.0,189.0,7.0,False,"Lesser Poland, Poland",,low_confidence,,November 2023,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
ahmedsaad189151,1,0.5889492217461106,0.4110507782538893,0.4110507782538893,0.5889492217461106,لو كنت تعلم ما يقال في غيابك من أقرب الناس إليك لأصبحت تبتسم للحيوانات فقط . . !,Ahmedsaad,"If you knew what was said in your absence by the people closest to you, you would only smile at animals. . !",Ahmedsaad,1.0,16.0,3.0,False,Iraq,,low_confidence,,September 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
ageofpahlavi,1,0.5880653604541338,0.4119346395458662,0.4119346395458662,0.5880653604541338,@PahlaviReza  ~~ پادشاهی خواه رادیکال ~ باور مند به نظام شاهنشاهی ایران فقط با خاندان ایران ساز پهلوی ~ شاه برای من خط قرمز است ~ آتئیست ~تا ابد #جاویدشاه,M E D U S A 🇮🇱🎗️,@PahlaviReza ~~ a radical monarchist ~ a believer in the imperial system of Iran only with Iransaz Pahlavi family ~ the king is a red line for me ~ an atheist ~ forever #javidshah,M E D U S A 🇮🇱🎗️,2796.0,1148.0,,False,"California, USA",,low_confidence,,April 2011,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
activistrafiey,1,0.5790167861380072,0.4209832138619928,0.4209832138619928,0.5790167861380072,نماینده مردم شریف تهران، ری، شمیرانات، اسلامشهر و پردیس/رئیس فراکسیون محیط زیست/نایب رئیس کمیسیون کشاورزی مجلس/ فعال و سیاست‌پژوه محیط زیست,سمیه رفیعی,"Representative of the Sharif People of Tehran, Ray, Shemiranat, Islamshahr and Pardis/Head of the Environment Fraction/Vice-Chairman of the Parliament Agriculture Commission/Environmental Activist and Politician",Samia Rafiei,5292.0,78.0,757.0,False,,,low_confidence,,July 2019,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
ahmedabdal94,0,0.5779559357179583,0.4220440642820416,0.5779559357179583,0.4220440642820416,لَنَا حَقٌّ فَإِن أُعْطِينَاهُ وَإِلَّا رَكِبْنَا أَعجَازَ الإِبِلِ وَإِن طَالَ السُّرَى الإمام علي ع,Ahmedabdalmohsen,"We have a right, if we give it to it, otherwise we ride on the backs of camels, even if the journey is long. Imam Ali, peace be upon him",Ahmedabdalmohsen,4.0,276.0,4.0,False,,,low_confidence,,November 2025,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
abingdon_arms,0,0.5676161142059484,0.4323838857940516,0.5676161142059484,0.4323838857940516,"A destination village pub in Beckley, Oxford. Serving sensational locally sourced produced at a fair price! Pop in to see us",The Abingdon Arms,"A destination village pub in Beckley, Oxford. Serving sensational locally sourced produced at a fair price! Pop in to see us",The Abingdon Arms,51.0,163.0,63.0,False,"Beckley, Oxford",,low_confidence,,November 2019,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aliceciottolina,1,0.5635705781956576,0.4364294218043424,0.4364294218043424,0.5635705781956576,"Il segreto, cara Alice, è circondarsi di persone che ti facciano sorridere il cuore. È allora, solo allora, che troverai il Paese delle Meraviglie.",_soloalice,"Il segreto, cara Alice, è circondarsi di persone che ti facciano sorridere il cuore. È allora, solo allora, che troverai il Paese delle Meraviglie.",_soloalice,7.0,22.0,1.0,False,,,low_confidence,,August 2011,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aircenteraz,1,0.5602191155612083,0.4397808844387917,0.4397808844387917,0.5602191155612083,"AIR Center is a think-tank based in Baku, Azerbaijan. Beynəlxalq Münasibətlərin Təhlili Mərkəzi Azərbaycanda fəaliyyət göstərən beyin mərkəzidir.",AIR Center,"AIR Center is a think-tank based in Baku, Azerbaijan. Beynəlxalq Münasibətlərin Təhlili Mərkəzi Azərbaycanda fəaliyyət göstərən beyin mərkəzidir.",AIR Center,5016.0,102.0,5675.0,False,Baku,,low_confidence,,August 2019,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
9tantiope,1,0.5459136869181139,0.4540863130818861,0.4540863130818861,0.5459136869181139,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,9T Antiope,@NimaAghiani  & Sara Bideli Shamloo ( @SarrSewZenith ). Electronic / Experimental / Abstract  9tantiope.bandcamp.com - all enquiries: booking@9tantiope.com,9T Antiope,550.0,202.0,927.0,False,Tehran / Paris,,low_confidence,,December 2015,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
abaruleoflaw,0,0.5213130841091005,0.4786869158908995,0.5213130841091005,0.4786869158908994,"Our mission is to promote justice, economic opportunity, and human dignity through the rule of law.",ABA Rule of Law,"Our mission is to promote justice, economic opportunity, and human dignity through the rule of law.",ABA Rule of Law,3539.0,916.0,4745.0,False,"Global | HQ in Washington, DC",,low_confidence,,February 2014,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
aj_torgheh,0,0.5148104870643893,0.4851895129356107,0.5148104870643893,0.4851895129356107,بچه که بودم دوست داشتم فضانورد بشم... بیشترعکاس آسمان شب‌ام. ولی قبل از اینکه از زیبایی‌های آسمون لذت ببریم، یه زمین برای زیستن و یه وطن برای زندگی لازم داریم,Amin Jamshidi,"When I was a child, I wanted to be an astronaut... I am mostly a photographer of the night sky. But before we can enjoy the beauty of the sky, we need a land to live and a homeland to live",Amin Jamshidi,503.0,410.0,1290.0,False,,,low_confidence,,March 2021,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,
