username,display_name,description,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url,description_en,display_name_en,ratio,prob_0_organization,prob_1_person,predicted_class_person_vs_organization,confidence_level_person_vs_organization,uncertainty_score_person_vs_organization,manual_person_vs_organization
ahejlsberg,Anders Hejlsberg,Technical Fellow at Microsoft,,75.0,256.0,False,September 2012,Seattle,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Technical Fellow at Microsoft,Anders Hejlsberg,0.0,0.5166666666666667,0.4833333333333333,0,0.5166666666666667,0.4833333333333333,1
actingandvoice,Acting & Voice Studios,Presenting  @actorssum  Founders  @iamkatmoran  &  @kentmoran   Acting & Voice-Over |  Top Agents & Casting Directors |  Online |NYC & LA,2285.0,951.0,310.0,False,October 2017,"New York, New York",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Presenting  @actorssum  Founders  @iamkatmoran  &  @kentmoran   Acting & Voice-Over |  Top Agents & Casting Directors |  Online |NYC & LA,Acting & Voice Studios,2.40273396424816,0.48,0.52,1,0.52,0.48,0
al_thawaq,احمد الذواق,مهتم بالأخبار السياسية والتطورات العسكرية في العراق . Journalist and writer,,455.0,1400.0,False,December 2012,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Interested in political news and military developments in Iraq. Journalist and writer,Ahmed Al-Zawaq,0.0,0.5233333333333333,0.4766666666666667,0,0.5233333333333333,0.4766666666666667,1
alilarijani_ir,Ali Larijani | علی لاریجانی,بنده‌ی خدا,,2.0,355.0,False,May 2021,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,God's servant,Ali Larijani Ali Larijani,0.0,0.5266666666666666,0.4733333333333333,0,0.5266666666666666,0.4733333333333334,0
ahmadinejad1956,Mahmoud Ahmadinejad,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian  t.me/fpahmadinejad",,49.0,349.0,False,January 2017,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian  t.me/fpahmadinejad",Mahmoud Ahmadinejad,0.0,0.47,0.53,1,0.53,0.47,1
ahoramazda39384,Ahora Mazda,,28.0,308.0,526.0,False,March 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Now Mazda,0.0909090909090909,0.53,0.47,0,0.53,0.47,1
afcasiancup_ar,كأس آسيا,الصفحة الرسمية لكأس آسيا باللغة العربية,,33.0,1315.0,False,April 2014,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,The official page of the Asian Cup in Arabic,Asia Cup,0.0,0.5333333333333333,0.4666666666666667,0,0.5333333333333333,0.4666666666666667,0
afintlarabic,أفغانستان إنترناشيونال - عربي,لمتابعة آخر الأخبار والتحليلات السياسية حول أفغانستان لحظة بلحظة,3268.0,8.0,2083.0,False,June 2021,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"To follow the latest news and political analysis about Afghanistan, moment by moment",Afghanistan International - Arabic,408.5,0.5333333333333333,0.4666666666666667,0,0.5333333333333333,0.4666666666666667,
alotlikebirds,A Lot Like Birds,A Lot Like Birds and Nothing Like Fish,,222.0,1777.0,False,January 2010,Sacramento,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,A Lot Like Birds and Nothing Like Fish,A Lot Like Birds,0.0,0.4666666666666667,0.5333333333333333,1,0.5333333333333333,0.4666666666666667,0
alirezasayeh,علیرضا سایه,ادیتور دیوانهعضو مجمع حقیقتیابی‌ توییتر ‍                              ازمنشنم ناراحت شدی بگوپاک کنم                           اگه‌بک‌ندادم۹۹٪‌هنوز ندیدم,,21.0,1155.0,False,February 2019,"İzmir, Türkiye",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Crazy editor, a member of the truth-finding forum of Twitter, you are upset with my mention, tell me to delete it, if I don't back it, 99% I haven't seen it yet.",Alireza Sayeh,0.0,0.4633333333333333,0.5366666666666666,1,0.5366666666666666,0.4633333333333334,1
abbasmowzoon,Abbas_Mowzoon,Researcher Author Director Producer,,0.0,390.0,False,April 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Researcher Author Director Producer,Abbas_Mowzoon,0.0,0.5433333333333333,0.4566666666666666,0,0.5433333333333333,0.4566666666666666,1
alirabiei_iran,Ali Rabiei,علی ربیعی /  استاد دانشگاه و فعال سیاسی _اجتماعی,7806.0,0.0,548.0,False,March 2021,IRAN,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Ali Rabiei / university professor and political-social activist,Ali Rabiei,7806.0,0.4566666666666666,0.5433333333333333,1,0.5433333333333333,0.4566666666666666,1
adfiranofficial,Alliance for Democracy and Freedom in Iran,ما به منشور مهسا به عنوان مبنایی برای همکاری باور داریم. هدف سرنگونی رژیم جمهوری اسلامی در فرآیندی خشونت‌پرهیز و رسیدن به حکومتی سکولار دموکراتیک است.,7667.0,0.0,13.0,False,February 2023,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,We believe in the Mahsa Charter as a basis for cooperation. The goal is to overthrow the regime of the Islamic Republic in a non-violent process and achieve a secular democratic government.,Alliance for Democracy and Freedom in Iran,7667.0,0.4566666666666666,0.5433333333333333,1,0.5433333333333333,0.4566666666666666,2
adameaval,adameaval,نوشتن کسب‌وکار من است - هنرجوی نقاشی,6194.0,2306.0,4983.0,False,June 2015,tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Writing is my business - student of painting,adameaval,2.686036426712923,0.4533333333333333,0.5466666666666666,1,0.5466666666666666,0.4533333333333333,2
aesmailnazhad,agiri esmailnazhad,"ڕۆژنامەنووس و چالاکی سیاسی"" پرۆسەی دەوڵەتی کوردی بریار نییە، بەڵکوو فراژۆبوونه! ژن،ژیان،ئازادی",9213.0,1609.0,6939.0,False,February 2017,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Journalist and political activist ""the process of the Kurdish state is not a decision, but the expansion!",agiri esmailnazhad,5.72591671845867,0.4533333333333333,0.5466666666666666,1,0.5466666666666666,0.4533333333333333,1
alialkhalede,علي الخالدي - Ali al-Khalidi,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",,136.0,3705.0,False,August 2019,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Iraqi Journalist, TV host/presenter and media personality  instagram.com/alialkalede/",Ali Al-Khalidi - Ali al-Khalidi,0.0,0.4533333333333333,0.5466666666666666,1,0.5466666666666666,0.4533333333333333,1
ajibzade,عجیب زاده,از خودم که می گذشتم بالغ بودم. از آن پس را به خاطر ندارم,,575.0,1356.0,False,April 2016,دار العجائب,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,I was an adult when I passed. I don't remember after that,odd born,0.0,0.4533333333333333,0.5466666666666666,1,0.5466666666666666,0.4533333333333333,2
aframalhameli,Afra Al Hameli,Director of Strategic Communications  @MOFAUAE,,301.0,1939.0,False,October 2020,Abu Dhabi,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Director of Strategic Communications  @MOFAUAE,Afra Al Hameli,0.0,0.4466666666666666,0.5533333333333333,1,0.5533333333333333,0.4466666666666666,0
aa51_ansari,Ali Ansari,Academic but not irrelevant,7637.0,931.0,3221.0,False,November 2017,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Academic but not irrelevant,Ali Ansari,8.203007518796992,0.4466666666666666,0.5533333333333333,1,0.5533333333333333,0.4466666666666666,1
alavi2183,علی علوی,اگر اراده ای نباشد عشقی در کار نیست:  انتخاب ایستادگی در مقابل ظلم وبیداد حقی است که هیچ کس نمی تواند از کسی بگیرد.هوادار مجاهدین خلق ایران,5910.0,3195.0,1356.0,False,April 2017,زیر گنبد کبود,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"If there is no will, there is no love: choosing to stand against oppression and violence is a right that no one can take from anyone. Supporter of the People's Mujahideen of Iran",Ali Alavi,1.8497652582159625,0.4433333333333333,0.5566666666666666,1,0.5566666666666666,0.4433333333333333,0
akhoundiabbas,Abbas Akhoundi | عباس آخوندی,معلم در دانشگاه تهران در پی ایده‌ی ایران هستم.ایده‌ای متضمن توسعه، بالندگی و امنیت برای همه ایرانیان، تحکیم پیوند ملت‌های حوزه تمدنی ایران و صلح پایدار,,565.0,1457.0,False,November 2020,"Tehran, Iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"I am a teacher at the University of Tehran in pursuit of the idea of ​​Iran. An idea that includes development, growth and security for all Iranians, strengthening the ties between the nations of Iran's civilizational sphere and sustainable peace.",Abbas Akhoundi Abbas Akhundi,0.0,0.4433333333333333,0.5566666666666666,1,0.5566666666666666,0.4433333333333333,1
a_baronca,Andrea Baronchelli,I study decentralized networks of humans and machines,5437.0,603.0,4578.0,False,September 2009,"London, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,I study decentralized networks of humans and machines,Andrea Baronchelli,9.016583747927031,0.5566666666666666,0.4433333333333333,0,0.5566666666666666,0.4433333333333333,1
_zelenska_,Zelenska,a linguist,21.0,309.0,746.0,False,March 2020,United Kingdom,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,a linguist,Zelenska,0.0679611650485436,0.5566666666666666,0.4433333333333333,0,0.5566666666666666,0.4433333333333333,1
aiatmeta,AI at Meta,"Together with the AI community, we are pushing the boundaries of what’s possible through open science to create a more connected world.",,290.0,2565.0,False,August 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Together with the AI community, we are pushing the boundaries of what’s possible through open science to create a more connected world.",AI at Meta,0.0,0.56,0.44,0,0.56,0.4399999999999999,0
albionroar,Albion Roar BHAFC,Est 2007. The original Brighton & Hove Albion fans' radio show/podcast. Join Ady & Al every Wed @ 8pm on  @radioreverb  or subscribe to the podcast on AudioBoom.,9733.0,1030.0,,False,May 2010,Brighton,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Est 2007. The original Brighton & Hove Albion fans' radio show/podcast. Join Ady & Al every Wed @ 8pm on  @radioreverb  or subscribe to the podcast on AudioBoom.,Albion Roar BHAFC,9.449514563106796,0.44,0.56,1,0.56,0.4399999999999999,0
adeeb_alomari,اديب العُمري,مخطط مالي معتمد. نائب رئيس الاتحاد السعودي للبلياردو والسنوكر سابقا رئيس الخدمات الخاصه المكلف بساب سابقا تويتر عالم من الاختلاف خاطب المفردات وليس الشخص. عالمي,,1870.0,5047.0,False,September 2011,Riyadh,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Certified financial planner. Vice President of the Saudi Billiards and Snooker Federation, formerly Head of Special Services in charge of SABB, Twitter, A World of Difference, addressed the vocabulary, not the person. worldwide",Adeeb Al-Omari,0.0,0.44,0.56,1,0.56,0.4399999999999999,1
ali_geraei,Mohammad Ali Geraei,"Greco-Roman Wrestler. 77 KG. Fighter Challenger. 2017 World Bronze Medalist. ""To Have Face is to Have Wings"" #Falcon on his way to 2020 Olympics",221.0,18.0,28.0,False,March 2018,"Iran, Shiraz",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Greco-Roman Wrestler. 77 KG. Fighter Challenger. 2017 World Bronze Medalist. ""To Have Face is to Have Wings"" #Falcon on his way to 2020 Olympics",Mohammad Ali Geraei,12.27777777777778,0.44,0.56,1,0.56,0.4399999999999999,1
alikalhamadi,Ali Al-Hamadi,,,27.0,249.0,False,May 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,,Ali Al-Hamadi,0.0,0.4366666666666666,0.5633333333333334,1,0.5633333333333334,0.4366666666666666,0
acegid_igh,ACEGID,"#PathogenHunters  We are using genomics to help Africa and the world beat infectious diseases. @IGHupdates ,  @RedeemersUni .",6649.0,249.0,3537.0,False,December 2018,"Ede, Nigeria",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"#PathogenHunters  We are using genomics to help Africa and the world beat infectious diseases. @IGHupdates ,  @RedeemersUni .",Accent,26.70281124497992,0.4333333333333333,0.5666666666666667,1,0.5666666666666667,0.4333333333333333,0
alexphillips8,Alex Phillips,"Formerly: FIFA advisor, World Football Remission Fund, UEFA/AFC/Deloitte, MESGO/FIMBA, trailing spouse  @lost_food , legacy fan, etc. Personal views, etc.",518.0,2215.0,515.0,False,May 2011,"London, Nyon, KL, Amsterdam",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Formerly: FIFA advisor, World Football Remission Fund, UEFA/AFC/Deloitte, MESGO/FIMBA, trailing spouse  @lost_food , legacy fan, etc. Personal views, etc.",Alex Phillips,0.2338600451467268,0.4333333333333333,0.5666666666666667,1,0.5666666666666667,0.4333333333333333,1
20rapcom,20RAP.com,رسانه‌ی مستقل هیپ‌هاپ/رپ فارسی، تاسیس ۱۳۸۸,,13.0,5214.0,False,March 2011,Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Independent Persian hip-hop/rap media, established in 2008",20RAP.com,0.0,0.5666666666666667,0.4333333333333333,0,0.5666666666666667,0.4333333333333333,0
abearfromsea,Bear,"Football is dead? Nah mate, is been dead since 2007.",2576.0,1243.0,3881.0,False,November 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Football is dead? Nah mate, is been dead since 2007.",Bear,2.0724054706355592,0.4266666666666667,0.5733333333333334,1,0.5733333333333334,0.4266666666666666,1
amalsaad_lb,Amal Saad,"Lecturer in Politics  @cardiffuni . Scholar of Hizbullah and politics of Resistance Axis | Previously,  @LebaneseUni",,1581.0,6163.0,False,October 2017,Cardiff and Beirut,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Lecturer in Politics  @cardiffuni . Scholar of Hizbullah and politics of Resistance Axis | Previously,  @LebaneseUni",Amal Saad,0.0,0.4266666666666667,0.5733333333333334,1,0.5733333333333334,0.4266666666666666,1
afterdinnercon,After Dinner Conversation,"Philosophy | Ethics Short Story Literary Fiction Publisher. Rated ""Most Popular Fiction LitMag 2024"" (#Chillsubs). $ subscriptions (& Patreon) pay writers.",,36.0,7778.0,False,August 2019,"Tempe, Arizona",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Philosophy | Ethics Short Story Literary Fiction Publisher. Rated ""Most Popular Fiction LitMag 2024"" (#Chillsubs). $ subscriptions (& Patreon) pay writers.",After Dinner Conversation,0.0,0.5733333333333334,0.4266666666666667,0,0.5733333333333334,0.4266666666666666,0
adamant_85,AdamAnt,Up yours!,32.0,304.0,1028.0,False,October 2025,United States,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Up yours!,AdamAnt,0.1052631578947368,0.4266666666666667,0.5733333333333334,1,0.5733333333333334,0.4266666666666666,0
alfrewoodard,Alfre Woodard,Good triumphs,,318.0,1119.0,False,August 2012,Present,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Good triumphs,Alfre Woodard,0.0,0.5766666666666667,0.4233333333333333,0,0.5766666666666667,0.4233333333333333,0
ali_khezrian,علی خضریان | Ali Khezrian 🇮🇷,فعال سیاسی و رسانه‌ای/ نماینده مردم عزیز ایران از حوزه انتخابیه تهران، ری، شمیرانات، اسلامشهر و پردیس در دوره‌های یازدهم و دوازدهم مجلس شورای اسلامی,,527.0,5747.0,False,June 2018,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Political and media activist/representative of the dear people of Iran from Tehran, Ray, Shemiranat, Islamshahr and Pardis constituencies in the 11th and 12th terms of the Islamic Council.",Ali Khazarian | Ali Khezrian 🇮🇷,0.0,0.4233333333333333,0.5766666666666667,1,0.5766666666666667,0.4233333333333333,1
a_z_im,Az_im,امنیتی نویس. امیدوار وطنم. ایران.,,1213.0,6145.0,False,March 2015,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,security writer I hope for my homeland. Iran.,Az_im,0.0,0.4233333333333333,0.5766666666666667,1,0.5766666666666667,0.4233333333333333,1
aliaalei,علی عالی🇮🇷,ناسزا شنيدن كسب و كار روزانه ماست/مسئوليتی به‌خاطر نظرات ديگران زير توئيت‌هايم ندارم/ توهین= بلاک,,182.0,4670.0,False,February 2017,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Hearing insults is our daily business/I am not responsible for other people's comments under my tweets/Insult = block,Ali Aali 🇮🇷,0.0,0.5766666666666667,0.4233333333333333,0,0.5766666666666667,0.4233333333333333,0
abdusalamsalah,محمد عبدالسلام,الناطق الرسمي لأنصار الله ورئيس مجلس الإدارة لشبكة المسيرة الإعلامية ورئيس الوفد الوطني .  t.me/abdulsalamsalah,,201.0,4298.0,False,September 2015,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"The official spokesman for Ansar Allah, Chairman of the Board of Directors of the Al Masirah Media Network, and head of the national delegation.  t.me/abdulsalamsalah",Muhammad Abdel Salam,0.0,0.5766666666666667,0.4233333333333333,0,0.5766666666666667,0.4233333333333333,0
ainajkhan,Aina J. Khan,Currently:  @ajplus . Freelance foreign correspondent.  . RT do not = endorsement.,,34.0,1349.0,False,March 2011,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Currently:  @ajplus . Freelance foreign correspondent.  . RT do not = endorsement.,Always J. Khan,0.0,0.58,0.42,0,0.58,0.42,1
abb_abdi,عباس عبدی,"journalist, social researcher, civil activist",,475.0,5780.0,False,August 2017,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"journalist, social researcher, civil activist",Abbas Abdi,0.0,0.42,0.58,1,0.58,0.42,1
alimojtahedzad3,ali mojtahedzadeh,سيد علي مجتهدزاده وكيل دادگستری| آدرس کانال تلگرام  t.me/alimojtahedzade:,,288.0,8483.0,False,July 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Seyed Ali Mojtahedzadeh, attorney of justice Telegram channel address t.me/alimojtahedzade:",ali mojtahedzadeh,0.0,0.58,0.42,0,0.58,0.42,1
7continentnewss,کمونیست کُش👺,The fastest and most accurate news of the day in the worldخدا آزادی خوانواده میهن -حق مالکیت فردی,74.0,778.0,1654.0,False,June 2022,United States,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"The fastest and most accurate news of the day in the world, God's freedom, the family, the homeland - the right to individual property",Kush Communist,0.0951156812339331,0.5833333333333334,0.4166666666666667,0,0.5833333333333334,0.4166666666666666,1
altitudesr,92.5 FM - Denver's Altitude Sports Radio,"Denver's EXCLUSIVE HOME of  @Nuggets ,  @Avalanche ,  @ColoradoRapids  & Primetime NFL Football Games | Twitch:  twitch.tv/altitudesr |  bit.ly/ASR925app",,978.0,92.0,False,March 2016,"Denver, CO",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Denver's EXCLUSIVE HOME of  @Nuggets ,  @Avalanche ,  @ColoradoRapids  & Primetime NFL Football Games | Twitch:  twitch.tv/altitudesr |  bit.ly/ASR925app",92.5 FM - Denver's Altitude Sports Radio,0.0,0.4133333333333333,0.5866666666666667,1,0.5866666666666667,0.4133333333333333,2
alinazarij,Ali Nazari Jouybari,علی نظری جویباری  طرفدار و مدیرعامل باشگاه استقلال ایران,517.0,4.0,7.0,False,May 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Ali Nazari Joybari, fan and CEO of Esteghlal Club of Iran",Ali Nazari Jouybari,129.25,0.4133333333333333,0.5866666666666667,1,0.5866666666666667,0.4133333333333333,1
advanceuk_wales,Advance UK Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿,"Official X account for Advance UK Wales. We stand for nation, freedom, democracy and equality under the law. Account run by Admin.",3939.0,103.0,659.0,False,July 2025,"Wales, United Kingdom",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"Official X account for Advance UK Wales. We stand for nation, freedom, democracy and equality under the law. Account run by Admin.",Advance UK Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿,38.24271844660194,0.5866666666666667,0.4133333333333333,0,0.5866666666666667,0.4133333333333333,0
alirezakiani2,Alireza Kiani,علیرضا کیانی,,480.0,7356.0,False,March 2012,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Alireza Kayani,Alireza Kiani,0.0,0.4133333333333333,0.5866666666666667,1,0.5866666666666667,0.4133333333333333,1
aliziyak,Ali Ziya,علی ضیا,,90.0,6185.0,False,November 2018,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Ali Zia,Ali Ziya,0.0,0.5866666666666667,0.4133333333333333,0,0.5866666666666667,0.4133333333333333,0
a_rnazari,Amirreza Nazari,یک نفر از مردم ایران،امیدوار به آینده ایران،روزنامه نگار در ایران،دانشجوی دکتری مسائل ایران،مسئولیتی در برابر نظرات و کامنت ها ندارم. توییت ها دیدگاه شخصی است.,,3028.0,6145.0,False,December 2017,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"A person of Iranian people, hopeful for the future of Iran, a journalist in Iran, a doctoral student of Iranian issues, I am not responsible for opinions and comments. Tweets are personal opinion.",Amirreza Nazari,0.0,0.41,0.59,1,0.59,0.41,1
1pezeshk_plus,«یک پزشک» پلاس,اکانت توییتر وابسته به سایت «یک پزشک»، برای بازتاب تازه‌ترین اخبار در زمینه دانش، فرهنگ، پزشکی و ورزش.,233.0,740.0,4.0,False,July 2016,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,"A Twitter account affiliated with the site ""Yek Mesikt"", to reflect the latest news in the field of knowledge, culture, medicine and sports.","""A doctor"" Plus",0.3148648648648648,0.41,0.59,1,0.59,0.41,1
alsreaei,Mohammed Alsreaei,Athlete I love football. linkjar.com/Alsreaei,61.0,702.0,2200.0,False,August 2016,Saudi Arabia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,,Athlete I love football. linkjar.com/Alsreaei,Mohammed Alsreaei,0.0868945868945869,0.41,0.59,1,0.59,0.41,2
