username,display_name,manual_target_population,predicted_class,uncertainty_score,confidence_level,description,description_en,display_name_en,followers_count,following_count,statuses_count,verified,created_at,location,url,profile_image_url,profile_banner_url
actforamerica,ACT For America,,0,0.4908325505171593,0.5091674494828407,"The nation’s premier grassroots movement dedicated to preserving America’s culture, sovereignty & security.  SUBSCRIBE:  actforamerica.substack.com","The nation’s premier grassroots movement dedicated to preserving America’s culture, sovereignty & security.  SUBSCRIBE:  actforamerica.substack.com",ACT For America,,508.0,4955.0,False,July 2010,"Washington, DC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abdul_samad_pti,Abdul Samad,,0,0.4896506083030256,0.5103493916969744,"As a fervent supporter of PTI, I passionately advocate for its vision of a corruption-free and prosperous Pakistan under Imran Khan's leadership.","As a fervent supporter of PTI, I passionately advocate for its vision of a corruption-free and prosperous Pakistan under Imran Khan's leadership.",Abdul Samad,1070.0,258.0,1409.0,False,March 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ajik38933950,Ajik,,0,0.4896506083030256,0.5103493916969744,palestine free is a must !!!,palestine free is a must !!!,Ajik,6.0,145.0,4469.0,False,October 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
acpreventiontdl,The Alliance for the Prevention of Atrocity Crimes,,0,0.4879683908697947,0.5120316091302053,Empowering civil society to create change after atrocity.   Email us: preventingac@thedutylegacy.org.uk,Empowering civil society to create change after atrocity.   Email us: preventingac@thedutylegacy.org.uk,The Alliance for the Prevention of Atrocity Crimes,296.0,462.0,546.0,False,March 2024,"England, United Kingdom",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ali_cheshomi,علی چشمی,,1,0.4874540018959261,0.5125459981040739,استادیار گروه اقتصاد دانشگاه فردوسی مشهد,"Assistant Professor, Department of Economics, Ferdowsi University of Mashhad",Ali Chasmi,4919.0,202.0,1651.0,False,September 2016,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alirabiei_iran,Ali Rabiei,,1,0.4874540018959261,0.5125459981040739,علی ربیعی /  استاد دانشگاه و فعال سیاسی _اجتماعی,Ali Rabiei / university professor and political-social activist,Ali Rabiei,7806.0,0.0,548.0,False,March 2021,IRAN,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aliahmadolfati,AliAhmad olfati,,1,0.4874540018959261,0.5125459981040739,معلم و مدرس دانشگاه,University teacher and lecturer,AliAhmad olfati,197.0,2519.0,27.0,False,September 2014,تهران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aaction414,dominika janik,,0,0.486649611026154,0.513350388973846,innovationtechinvest.com the best platform where you can be making steady income from bitcoin       build your own empire so that you will grow,innovationtechinvest.com the best platform where you can be making steady income from bitcoin       build your own empire so that you will grow,dominika janik,700.0,7498.0,553.0,False,October 2024,Poland,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abdelra07745930,عبدالرزاق الحيالي,,1,0.4858369775213612,0.5141630224786388,منشق من منظمة بدر وصاحب قناة على اليوتيوب ( قناة الأسير العراقي )  youtube.com/channel/UCbIAj …,A defector from the Badr Organization and owner of a YouTube channel (The Iraqi Prisoner Channel) youtube.com/channel/UCbIAj…,Abdul Razzaq Al Hayali,,2406.0,1793.0,False,September 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ahmedstv1,ahmedstv _احمد سبورت تيفي,,1,0.48566741323365,0.51433258676635,Scout كشاف اللاعبين  اعلامي رياضي sports analyst To advertise products Garipadam2015@outlook.com My youtube channel,Scout Player scout Sports journalist Sports analyst To advertise products Garipadam2015@outlook.com My youtube channel,ahmedstv _Ahmed Sport TV,385.0,41.0,102.0,False,August 2019,Iraq,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abasaslani,Abas Aslani,,0,0.4854222026883399,0.5145777973116601,Journalist; Senior research fellow at the Center for Middle East Strategic Studies (CMESS). DMs open | Persian account (صفحه فارسی):  @AbasInfo,Journalist; Senior research fellow at the Center for Middle East Strategic Studies (CMESS). DMs open | Persian account (صفحه فارسی):  @AbasInfo,Abas Aslani,,2482.0,6158.0,False,August 2010,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aibaensch,Arne Bänsch,,1,0.4845525142771393,0.5154474857228607,Iran & West Asia Correspondent  @dpa  ••• Views expressed = my own.,Iran & West Asia Correspondent  @dpa  ••• Views expressed = my own.,Arne Bänsch,1210.0,1103.0,1175.0,False,October 2017,"Tehran, Berlin & West Asia",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
7continentnewss,کمونیست کُش👺,,0,0.4840741073527728,0.5159258926472272,The fastest and most accurate news of the day in the worldخدا آزادی خوانواده میهن -حق مالکیت فردی,"The fastest and most accurate news of the day in the world, God's freedom, the family, the homeland - the right to individual property",Kush Communist,74.0,778.0,1654.0,False,June 2022,United States,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
activistrafiey,سمیه رفیعی,,0,0.4840739024188345,0.5159260975811655,نماینده مردم شریف تهران، ری، شمیرانات، اسلامشهر و پردیس/رئیس فراکسیون محیط زیست/نایب رئیس کمیسیون کشاورزی مجلس/ فعال و سیاست‌پژوه محیط زیست,"Representative of the Sharif People of Tehran, Ray, Shemiranat, Islamshahr and Pardis/Head of the Environment Fraction/Vice-Chairman of the Parliament Agriculture Commission/Environmental Activist and Politician",Samia Rafiei,5292.0,78.0,757.0,False,July 2019,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
404arsynotfound,Arsy,,1,0.4831327020384335,0.5168672979615665,Living proof that sleep is optional.,Living proof that sleep is optional.,Arsy,8.0,72.0,35.0,False,June 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alphawings,Luke ✍️ megahertz.sol,,0,0.4826840526999265,0.5173159473000735,Creative Micro-Writer.  I write stories in #SixWords. ©  Web3 | Degen #TheGoonsClub,Creative Micro-Writer.  I write stories in #SixWords. ©  Web3 | Degen #TheGoonsClub,Luke ✍️ megahertz.sol,1855.0,1330.0,,False,June 2007,Malta,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aahassas,PishGoo,,0,0.4824508555031482,0.5175491444968517,....قصه نانوشته....درحال تکمیل...صفحه ۳۶,....unwritten story....in progress...page 36,PishGoo,126.0,225.0,3222.0,False,June 2009,iran-tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
a_nazari99,A Nazari,,0,0.482308420092829,0.517691579907171,"To Achieve Victory, One Must Plan","To Achieve Victory, One Must Plan",A study,21.0,276.0,1.0,False,March 2020,Islamic Republic of Iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ajnlive,Alex Jones Network,,0,0.4816073202278943,0.5183926797721057,Follow for exclusive news + reports from Alex Jones & others. Support:  TheAlexJonesStore.com &  fightforalex.com   @alexjonesstore,Follow for exclusive news + reports from Alex Jones & others. Support:  TheAlexJonesStore.com &  fightforalex.com   @alexjonesstore,Alex Jones Network,,118.0,1348.0,False,September 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_jkaplan,Josh Kaplan,,1,0.4805807255074127,0.5194192744925873,digital editor  @thefp  kaplan@thefp.com,digital editor  @thefp  kaplan@thefp.com,Josh Kaplan,4856.0,3387.0,,False,March 2009,UK,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
adelirani04833,👑Adel-irani0123👑,,0,0.4805257458915859,0.5194742541084141,PahlaviReza@#KingRezaPahlavi#CyrusTheGreat    نیابد زبان جز بدین نکته راه   که همواره جاوید و پاینده شاه,PahlaviReza@#KingRezaPahlavi#CyrusTheGreat should not find a language except for this point of the way that the king is always eternal and eternal.,👑Adel-irani0123👑,2258.0,5682.0,5022.0,False,September 2024,#PersianGulf,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
akbarsahmed,Akbar Shahid Ahmed,,1,0.4803846585818864,0.5196153414181136,Senior Diplomatic Correspondent  @HuffPost . Writing a book on the Biden administration & Gaza  @WWNorton . He/him.   akbar.ahmed@huffpost.com or akbar.58 on Signal,Senior Diplomatic Correspondent  @HuffPost . Writing a book on the Biden administration & Gaza  @WWNorton . He/him.   akbar.ahmed@huffpost.com or akbar.58 on Signal,Akbar Shahid Ahmed,,3880.0,1361.0,False,July 2011,"D.C., via Karachi & New Haven.",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_aj_johnstone,Al Johnstone (AJ),,0,0.4800606350165559,0.5199393649834441,Documentary filmmaker - shooting producer/director |  @BAFTA  Connect |  @NFTSFilmTV,Documentary filmmaker - shooting producer/director |  @BAFTA  Connect |  @NFTSFilmTV,Al Johnstone (AJ),674.0,2787.0,1440.0,False,June 2012,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
afshin_rasa,Afshin Rasa,,0,0.4797654049253953,0.5202345950746047,"Civil Engineer                                                                 Deep Leaning, Image Processing","Civil Engineer                                                                 Deep Leaning, Image Processing",Afshin Rasa,3.0,17.0,31.0,False,March 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
500womensci,500 Women Scientists,,1,0.4792988729690928,0.5207011270309072,"We aim to serve society by making science open, inclusive, and accessible. Also  @500womensci  on Instagram and Facebook.","We aim to serve society by making science open, inclusive, and accessible. Also  @500womensci  on Instagram and Facebook.",500 Women Scientists,,1832.0,500.0,False,November 2016,"Washington, DC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ajamiamin,amin ajami,,0,0.4791306257936178,0.5208693742063821,Likes and retweets not endorsement,Likes and retweets not endorsement,Amin Ajami,30.0,2372.0,20.0,False,March 2015,"London, England",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ainslielab,Kristy Ainslie,,0,0.4760880172767199,0.5239119827232801,Researcher in vaccine & drug delivery infectious & autoimmune diseases & cancer.  Ally. Mom 2 boys. She/her.  @kristy -ainslie-lab.bsky.social. My views.,Researcher in vaccine & drug delivery infectious & autoimmune diseases & cancer.  Ally. Mom 2 boys. She/her.  @kristy -ainslie-lab.bsky.social. My views.,Kristy Ainslie,5695.0,2132.0,3920.0,False,April 2010,"Chapel Hill, NC",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
agnescallamard,Agnes Callamard,,0,0.47582002177652,0.52417997822348,"Secretary General, Amnesty International. Ex UN Special Rapporteur and Columbia Univ. Tweets on human rights. Views my own.  @agnescallamard .bsky.socia","Secretary General, Amnesty International. Ex UN Special Rapporteur and Columbia Univ. Tweets on human rights. Views my own.  @agnescallamard .bsky.socia",Agnes Callamard,,2694.0,1307.0,False,July 2011,London,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ajdemarang,Ajdemarang 🇮🇷 اژدمارنگ,,1,0.4747794355389706,0.5252205644610294,دانشمند، پژوهشگر، روشنفکر، کارآفرین و تحلیلگر امور آسمان‌ها و زمین ساده‌ای بیش نیستم.,"I am nothing more than a simple scientist, researcher, intellectual, entrepreneur and analyst of the affairs of the heavens and the earth.",Ajdemarang 🇮🇷 Ajdemarang,,1139.0,1353.0,False,September 2012,Canada,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
0alwaysdreamer0,khe_alef,,1,0.4747794355389706,0.5252205644610294,با سگ‌ها دونده، با پرنده‌ها پرنده، با گربه‌ها تماشاگر,"Running with dogs, flying with birds, watching with cats",_nache,1853.0,923.0,,False,July 2009,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alzindiana,Alzheimer's Association Greater Indiana Chapter,,0,0.474747153639885,0.5252528463601149,The Alzheimer's Association Greater Indiana Chapter serves 73 Indiana counties. Free 24/7 Helpline: 800.272.3900. #ENDALZ,The Alzheimer's Association Greater Indiana Chapter serves 73 Indiana counties. Free 24/7 Helpline: 800.272.3900. #ENDALZ,Alzheimer's Association Greater Indiana Chapter,2667.0,1168.0,9573.0,False,December 2011,"Indianapolis, IN",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alan_pez_perrie,Alan Perrie 🦁,,1,0.474467259234029,0.525532740765971,"Take a wild guess if you think this shit is the views of my employer... ""Hard, massive and very funny...""","Take a wild guess if you think this shit is the views of my employer... ""Hard, massive and very funny...""",Alan Perrie 🦁,340.0,5662.0,1347.0,False,November 2009,"Birmingham, UK",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alaki_,Pourya,,1,0.4739541826871102,0.5260458173128898,"Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...","Always passionate about discovering new things in the field of software engineering, photography, human-computer interactions and other related goodies...",Pooria,2705.0,1428.0,1347.0,False,October 2010,"Tehran, Iran",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abdimonireh,Monireh Abdi,,1,0.4709948344213416,0.5290051655786584,"Architectural Engineer.Myhusband is Esmaeil Abdi,teacher and activist in theTeachers'Union of Iran.He has been imprisoned by theIranian government more 8 years","Architectural Engineer.Myhusband is Esmaeil Abdi,teacher and activist in theTeachers'Union of Iran.He has been imprisoned by theIranian government more 8 years",Reserves Abs,1637.0,209.0,343.0,False,May 2020,ایران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
aliibeyranvand,Alireza Beyranvand,,1,0.4709948344213416,0.5290051655786584,Iran National goalkeeper  @TeamMelliIran @persepolisfc,Iran National goalkeeper @TeamMelliIran @persepolisfc,Alireza Beyranvand,,28.0,52.0,False,April 2020,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ali_f_alizada,Ali Alizada 🇦🇿,,1,0.4709948344213416,0.5290051655786584,"Ambassador of Azerbaijan to Iran and the Permanent Representative to ECO, served as the Consul General to Tabriz & the Ambassador of Azerbaijan to Pakistan","Ambassador of Azerbaijan to Iran and the Permanent Representative to ECO, served as the Consul General to Tabriz & the Ambassador of Azerbaijan to Pakistan",Ali Alizada 🇦🇿,,182.0,8912.0,False,September 2016,"Baku, Azerbaijan",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alaneyre1,Alan Eyre,,1,0.4709948344213416,0.5290051655786584,MEI Distinguished Diplomatic Fellow; Former State Dept. Iran SME & senior policymaker for Iran/MENA. RTs ≠ endorsements. Fiat justitia ruat caelum.,MEI Distinguished Diplomatic Fellow; Former State Dept. Iran SME & senior policymaker for Iran/MENA. RTs ≠ endorsements. Fiat justitia ruat caelum.,Alan Eyre,1.0,87.0,,False,May 2011,terra nullius,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_____zhang____,Mr. Zhang Wei / credit manager SINOPAC BANK,,0,0.4708775646382681,0.5291224353617319,= 永豐銀行 Bank SinoPac 士東分行 bank.sinopac.com/sinopacBT/en/i …  永丰金控有限公司 惠誉评级中的实体。全球资本市场的信用评级、研究和分析。SinoPac FinancialHoldings Limited,"= Bank SinoPac Shidong Branch bank.sinopac.com/sinopacBT/en/i … SinoPac Financial Holdings Limited An entity rated by Fitch. Credit ratings, research and analysis of global capital markets. SinoPac Financial Holdings Limited",Mr. Zhang Wei / credit manager SINOPAC BANK,5.0,208.0,2.0,False,May 2025,hong kong,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alterfutbol,AlterFútbol Podcast,,0,0.4708775646382681,0.5291224353617319,"La casa del otro fútbol. Podcast, transmisiones en vivo, notas y mucho más.  Por  @nahuelzn ,  @fglamas  y  @ienzoduarte Youtube:  youtube.com/alterfutbol","The house of the other football. Podcast, live broadcasts, notes and much more.  By @nahuelzn, @fglamas and @ienzoduarte Youtube: youtube.com/alterfutbol",AlterFootball Podcast,5702.0,58.0,553.0,False,June 2019,Argentina,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
1364ghazal62816,somaih1363,,0,0.4700367641040233,0.5299632358959767,گل یخ,ice flower,somaih1363,3.0,17.0,1.0,False,April 2023,تهران,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
afghan271,🇮🇷✧صدای سکوت✧🇮🇷🇪🇭🇵🇰🇦🇫,,1,0.468720224211596,0.531279775788404,"*In love with the soil, not the politics. Iran is all of us — every culture, every voice.","*In love with the soil, not the politics. Iran is all of us — every culture, every voice.",🇮🇷✧صدای سکوت✧🇮🇷🇪🇭🇵🇰🇦🇫,626.0,5652.0,367.0,False,April 2023,"Tebriz, ایران",,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alsreaei,Mohammed Alsreaei,,1,0.4683884586615396,0.5316115413384603,Athlete I love football. linkjar.com/Alsreaei,Athlete I love football. linkjar.com/Alsreaei,Mohammed Alsreaei,61.0,702.0,2200.0,False,August 2016,Saudi Arabia,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abdusalamsalah,محمد عبدالسلام,,0,0.467671361746514,0.532328638253486,الناطق الرسمي لأنصار الله ورئيس مجلس الإدارة لشبكة المسيرة الإعلامية ورئيس الوفد الوطني .  t.me/abdulsalamsalah,"The official spokesman for Ansar Allah, Chairman of the Board of Directors of the Al Masirah Media Network, and head of the national delegation.  t.me/abdulsalamsalah",Muhammad Abdel Salam,,201.0,4298.0,False,September 2015,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
a16zcrypto,a16z crypto,,0,0.4665754422433676,0.5334245577566323,We back bold entrepreneurs building the next internet.  Posts are not investment advice or an advertisement for investment services. See  a16z.com/disclosures,We back bold entrepreneurs building the next internet.  Posts are not investment advice or an advertisement for investment services. See  a16z.com/disclosures,a16z crypto,,511.0,7127.0,False,June 2022,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
alikalaei62,Ali Kalaei,,1,0.4658553091011853,0.5341446908988147,همسر- روزنامه نگار - مدافع حقوق بشر Spouse - Journalist - Human Rights Defender peace-mark.org  Retweets ≠ endorsements,Spouse - Journalist - Human Rights Defender peace-mark.org Retweets ≠ endorsements,Ali Kalaei,5599.0,4991.0,1373.0,False,December 2014,Sweden,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ali_ahmadnia,Ali Ahmadnia | علی‌ احمدنیا,,1,0.4645983520460617,0.5354016479539383,Iranian journalist رئیس امور اطلاع رسانی دولت / #Petrochemical #energy,"Iranian journalist, head of government information affairs / #Petrochemical #energy",Ali Ahmadnia Ali Ahmadnia,,1755.0,1332.0,False,January 2013,Tehran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
algroonahmed,أحمد القرون,,0,0.4621779976608525,0.5378220023391475,ما دامَ في السمّاء من يحميك، فَليسَ في الأرض من يكسرك.,"As long as there is someone in heaven to protect you, there is no one on earth to break you.",Ahmed Al-Qurun,,1091.0,1381.0,False,March 2015,Al Khobar,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
ala_tre6,A.,,1,0.4617647269230965,0.5382352730769034,گاهی آروم گاهی پرشور،حد وسط اینجا معنا ندارد,"Sometimes calm, sometimes passionate, the middle ground has no meaning here",A.,0.0,50.0,8.0,False,May 2024,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
abol1159817,ABOL,,1,0.4617647269230965,0.5382352730769034,ɪ ᴄᴀɴ'ᴛ ʙᴇʟɪᴠᴇ ʏᴏᴜ ʟᴇғᴛ,ɪ ᴄᴀɴ'ᴛ ʙᴇʟɪᴠᴇ ʏᴏᴜ ʟᴇġᴛ,ABOL,0.0,8.0,0.0,False,November 2025,iran,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_iwftw,𐰯𐱃𐰢𐰚|فآطِمِ🎋,,1,0.4617647269230965,0.5382352730769034,ایسته‌سن یاندیر یانماغا آلیشاریق کول اولوب یئنیدن دوغولاریق سونرا..,"Istesen, Yandir Yanmagha, Alishariq, Kol Olub, Yeniden, Doghulariq, Sonra..",𐰯𐱃𐰢𐰚|Fatim 🎋,1216.0,819.0,4248.0,False,March 2023,Təbrizli-,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
2_rebelgirl,Rebel girl,,1,0.4617647269230965,0.5382352730769034,« نه سلطنت، نه رهبری، نه ارتجاع رجوی »        لیبرال,"""No monarchy, no leadership, no reaction,"" Rajavi, a liberal",Rebel girl,1399.0,1004.0,9779.0,False,February 2025,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_rezinski,رضینسکی,,1,0.4617647269230965,0.5382352730769034,واسه چشم آفته و واسه گل زینته خار,For the eyes of the plague and for the flower of the thorn,Razinsky,231.0,106.0,5925.0,False,November 2021,,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
_ya_karim_,səs siz,,1,0.4617647269230965,0.5382352730769034,‌یازیرام، دۆزدۆ قاتیل_ قاتیلمییرسان آتیل_یانلیش دی دۆزۆن یاز | بیربئلهروانپریش,"یازیازم, Dosdo killer _ slimmy 'Atil_Janlish de Dosho Yaz | Birbelrwanprish",the voice is you,532.0,436.0,,False,December 2023,Güney Azərbaycan,,https://pbs.twimg.com/profile_images/2001266107307716608/uR5QrmOd_normal.png,
