username,display_name,description,followers_count,following_count,statuses_count,location,profile_image_url,verified,account_status
HassanRouhani,Hassan Rouhani,"7th President of the I.R of Iran  |‌
Persian 
@Rouhani_ir",982100,7,3596,"Tehran, Iran",https://pbs.twimg.com/profile_images/830606478419619840/YzhAGsju_200x200.jpg,False,active
pouriazeraati,Pouria Zeraati,Journalist روزنامه‌نگار,943000,236,18700,"Tel Aviv, Israel",https://pbs.twimg.com/profile_images/1890160105087221760/dwRpiFo2_200x200.jpg,False,active
HichkasOfficial,Hichkas,"Artist

contact@hichkas.me",880900,409,9871,,https://pbs.twimg.com/profile_images/1740632112464605184/JV04V5oO_200x200.jpg,False,active
OfficialToomaj,توماج صالحی,زنــ زنـدگــے آزادے,809000,215,6930,iran,https://pbs.twimg.com/profile_images/1970780271566807040/uQC590sQ_200x200.jpg,False,active
AlinejadMasih,Masih Alinejad,"Iranian Journalist & Activist | President of 
@WLCongress
 | Founder of #WhiteWednesdays, #MyCameraIsMyWeapon, #MyStealthyFreedom Campaigns. | زن زندگی آزادی",753100,2128,36600,,https://pbs.twimg.com/profile_images/1561342827790999552/mgJ4c904_200x200.jpg,False,active
shahinnajafi80,Shahin Najafi 𓃬☼,Musician,709200,271,4789,United States,https://pbs.twimg.com/profile_images/1947146110608252928/OEZwwFEh_200x200.jpg,False,active
ShahbanouFarah,FARAH PAHLAVI - فرح پهلوی,"Farah Pahlavi Official page -   
صفحهٔ رسمی‌ فرح پهلوی",705900,3,812,"Paris, France",https://pbs.twimg.com/profile_images/1973953000126414848/HhB1_7cJ_200x200.jpg,False,active
yashar,Yashar Ali,HuffPost/NY Mag currentyashar@gmail.com Direct Messages Open Text/Call/Signal/Confide/WhatsApp: 310-795-2497. AGENTS: UTA,705900,40200,253000,,https://pbs.twimg.com/profile_images/1815976872192401408/3UVnTUc5_200x200.jpg,False,active
esmaeilion,Hamed Esmaeilion,"Board member of 752AFV, Human Rights Activist",702900,88,1480,,https://pbs.twimg.com/profile_images/1740735809932701696/ZcjH5tL8_200x200.jpg,False,active
AdilAbdAlMahdi,عادل عبدالمهدي,عادل عبد المهدي- رئيس مجلس الوزراء العراقي الأسبق,688200,0,4849,العراق - بغداد,https://pbs.twimg.com/profile_images/1153718440605245446/IgLBFlI5_200x200.jpg,False,active
RghadSaddam,رغد صدام حسين,Raghad Saddam Hussein OFFICIALL Twitter | الحساب الرسمي و الوحيد لـِ رغد صدّام حسين على مواقع التواصل الاجتماعي,682800,2,2765,,https://pbs.twimg.com/profile_images/1344576699007168512/k9sWX4i7_200x200.jpg,False,active
world,WORLD,Explore the world. hello@socialite.media,666100,8,8119,Worldwide,https://pbs.twimg.com/profile_images/587949417577066499/3uCD4xxY_200x200.jpg,False,active
masoud_barzani,Masoud Barzani,President of the Kurdistan Democratic Party and Former President of the Kurdistan Region of Iraq,640200,0,625,"Kurdistan Region, Iraq",https://pbs.twimg.com/profile_images/2271377194/gmiggvkbnhl0vkcuqh9p_200x200.jpeg,False,active
la_Biennale,La Biennale di Venezia,"Official X page of La Biennale di Venezia.
#BiennaleArte2026 #BiennaleTeatro2026 #BiennaleDanza2026 #BiennaleCinema2026 #BiennaleMusica2026 #BiennaleArchivio",638800,4896,36300,"Venice, Italy",https://pbs.twimg.com/profile_images/961898789396197376/4YFTk7Qx_200x200.jpg,False,active
WORLDMUSICAWARD,World Music Awards,The World Music Awards is an international awards ceremony honoring the best-selling most popular recording artists from around the world.,635100,69000,80500,,https://pbs.twimg.com/profile_images/1067055979022422017/DhH2yiFc_200x200.jpg,False,active
the_ironsheik,The Iron Sheik,A TRIBUTE TO THE LEGEND OF THE EARTH. RIP TO THE LEGEND. PAYING HOMAGE TO OUR HERO THE IRON SHEIK.,581600,1932,33200,USA Bubba,https://pbs.twimg.com/profile_images/1320863459953750016/NlmHwu3b_200x200.jpg,False,active
Nouriel,Nouriel Roubini,"NYU Prof; Time100, FT, FP, Forbes, Coindesk Top Mind Awards. New book Megathreats: 
littlebrown.com/titles/nouriel
…",580900,849,25700,"New York, USA",https://pbs.twimg.com/profile_images/1126472830873370624/33dNeSjC_200x200.jpg,False,active
Vahid,Vahid Online,"Netizen, News Lover, Media Watcher, Social Media Observer, #Iran, #ایران, Iranian,Persian,Farsi
وحید آنلاین، شهروند کنجکاو اینترنت",557600,7055,45800,در تلگرام فعال هستم,https://pbs.twimg.com/profile_images/477553911075573760/68_S3x04_200x200.jpeg,False,active
HajipourShervin,Shervin Hajipour,Instagram / Shervinine,454400,75,1212,,https://pbs.twimg.com/profile_images/1257991871046971392/L5zcVzwd_200x200.jpg,False,active
SharghDaily,شرق,"Independent & privately-owned Shargh is one of the most circulated & widely-read reformist newspapers in Iran - روزنامه و شبکه شرق 
t.me/sharghdaily FA | EN | AR",453500,18,89600,ایران,https://pbs.twimg.com/profile_images/1521170481918918657/ixD9DHXX_200x200.jpg,False,active
SportingKC,Sporting Kansas City,Two States. One City. One Club. | #SportingKC,360200,902,74000,The Blue Hell,https://pbs.twimg.com/profile_images/1978664086318501888/tlzao3h7_200x200.jpg,False,active
drdavidsamadi,Dr. David Samadi,"Tweets represent my own views. Follow my Instagram 
@DrDavidSamadi
. #RoboticSurgery. Expert in #prostate 
ProstateCancer911.com, 
roboticoncology.com",354400,3908,18300,"Manhattan, New York",https://pbs.twimg.com/profile_images/1345004936078258176/W5u79dDu_200x200.jpg,False,active
latoyajackson,La Toya Jackson,"Grammy Award-Winning Songwriter, 2X New York Times Best-Selling Author, EP of DANCING IN JAFFA. IG latoyajackson",350900,366,11000,Beverly Hills,https://pbs.twimg.com/profile_images/3456257290/c982f8b0af43489942bb93691ce18fb0_200x200.jpeg,False,active
TheAFCCL,#ACLElite | #ACLTwo,The official home for #ACLElite & #ACLTwo on X,348000,334,38000,Asia,https://pbs.twimg.com/profile_images/1944943931969372160/fiLGcaCR_200x200.jpg,False,active
rezahn56,رضا حقيقت‌نژاد,‌می‌نوشت…                                       دژکرد۱۳۵۶/برلین۱۴۰۱,336300,707,4136,"Prague, Czech Republic",https://pbs.twimg.com/profile_images/1464704975007891459/iJIy4hBN_200x200.jpg,False,active
HosseinRonaghi,Hossein Ronaghi,"Hossein Ronaghi Maleki, Freedom of speech activist.  e-mail: hosseinronaghi@pm.me
telegram.me/hosseinronaghi
hosseinronaghi.blogspot.com",336100,577,11800,IRAN,https://pbs.twimg.com/profile_images/1600165429598572544/eeWanTBd_200x200.jpg,False,active
siamakansarii,Siamak Ansari,سیامک انصاری، بازیگر سینما و تلویزیون,330600,44,998,Tehran,https://pbs.twimg.com/profile_images/961684989753602048/OT2KKW82_200x200.jpg,False,active
raisi_com,سید ابراهیم رئیسی,رئیس جمهوری شهید جمهوری اسلامی ایران | این حساب توسط بنیاد بین‌المللی شهید رئیسی اداره می‌شود.,323700,1,202,,https://pbs.twimg.com/profile_images/1399652437623980033/nxttDIoU_200x200.jpg,False,active
drpezeshkian,Masoud Pezeshkian,"مسعود پزشکیان؛ 

همسر، پدر ، پدربزرگ؛

نهمین رئیس جمهوری اسلامی ایران",305700,20,604,جمهوری اسلامی ایران,https://pbs.twimg.com/profile_images/1845700299782045704/nOuFVGa2_200x200.jpg,False,active
TheSayed,السيد مهدي المدرسي,اجول بحثا عن الكهف الحصين وغياث المضطر المستكين. خادم للحسين وكفى بذلك فخرا,292200,42,11400,كربلاء المقدّسة,https://pbs.twimg.com/profile_images/1292439736070451203/gKuHh2Hd_200x200.jpg,False,active
OAradwinwin,Official.ARADWINWIN,SUBSCRIBE TO SEE EXCLUSIVE VIDEOS .  LV.LA,283600,1029,1251,United States,https://pbs.twimg.com/profile_images/1558732378276651008/4j8yk0iP_200x200.jpg,False,active
IranIntl_En,Iran International English,"The world's leading news network on Iran. Follow us for fearless journalism, firsthand reports and accurate, in-depth coverage",259600,5,63300,"London, UK",https://pbs.twimg.com/profile_images/1380467569275060225/Wa9zjOZI_200x200.jpg,False,active
sorenaofficial,Ali Sorena,"Hip-Hop Artist
t.me/officialsorena
…",250600,71,672,Iran,https://pbs.twimg.com/profile_images/1894302916371988480/yUT7LHpd_200x200.jpg,False,active
snohaalegra,Snoh,,231400,459,3466,,https://pbs.twimg.com/profile_images/1959385950083260416/CBsZL078_200x200.jpg,False,active
HosseinMahini,Hossein Mahini,Football Player | Married,230900,357,1307,Tehran | Iran,https://pbs.twimg.com/profile_images/1674888128685801479/Cc-bqTmt_200x200.jpg,False,active
abb_abdi,عباس عبدی,"journalist, social researcher, civil activist",218500,474,5779,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/1404445627585531912/97ni38J7_200x200.jpg,False,active
jadi,jadi,"Jadi. Into Fun & Freedom. A programmer, POSIXian and techie who enjoys life and defends Human Rights and the Keyboard Freedom.",215500,1391,22400,Canada,https://pbs.twimg.com/profile_images/1363747799586775040/7OyUMSbS_200x200.jpg,False,active
KavehMadani,Kaveh Madani,"Director of 
@UNUniversity
 Institute for Water, Environment & Health (
@UNUINWEH
), Research Professor 
@CityCollegeNY
 & Ex-VP of 
@UN
 Environmental Assembly Bureau",212500,757,21700,,https://pbs.twimg.com/profile_images/912943046840537088/AYJXEyX7_200x200.jpg,False,active
ShappiKhorsandi,Shaparak Khorsandi شاپرک خرسندی,"Stand-up comic, author and all round delight. Trustee 
@sohotheatre
 mgt: Curtis Brown Keynote/host info@speakingoffice.com 
tinyurl.com/comedymudders",212300,2559,40000,london,https://pbs.twimg.com/profile_images/1636294965910204417/40clto1b_200x200.jpg,False,active
issues,ISSUES,,192600,3,2882,"Atlanta, GA",https://pbs.twimg.com/profile_images/1724787675503513600/PgXScu9l_200x200.jpg,False,active
FreemaOfficial,Freema Agyeman,,192500,571,6825,,https://pbs.twimg.com/profile_images/1163820774899310593/pdu3Td9X_200x200.jpg,False,active
CAFCofficial,Charlton Athletic FC,𝐓𝐡𝐞 𝐀𝐝𝐝𝐢𝐜𝐤𝐬 | 𝐸𝓈𝓉. 𝟏𝟗𝟎𝟓 | 𝐒𝐨𝐮𝐭𝐡 𝐄𝐚𝐬𝐭 𝐋𝐨𝐧𝐝𝐨𝐧 | #cafc,189500,267,90000,"Charlton, London",https://pbs.twimg.com/profile_images/1988612600142168064/zj6EoDTn_200x200.jpg,False,active
mahdirasuli_ir,مهدی رسولی,صفحه رسمی مَهدی رسولی,184200,139,604,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/1948457198599700480/k4Nzgzhf_200x200.jpg,False,active
milaniabbas,Abbas Milani,"Director, Hamid & Christina Moghadam Program in Iranian Studies, Stanford University. Research Fellow at Hoover. Opinions are my own. Telegram: 
t.me/MilaniAbbas",180900,48,2968,"Stanford, CA",https://pbs.twimg.com/profile_images/825073943916654592/GebjxH3b_200x200.jpg,False,active
MahdyarAghajani,Mahdyar,,177400,141,1583,,https://pbs.twimg.com/profile_images/1828497184100098048/Oje7m8XL_200x200.jpg,False,active
_iamnaaz_,Elnaaz Norouzi,Let me act and I'll be happy,177000,232,3225,India,https://pbs.twimg.com/profile_images/1379740461322080259/2aB2Ve7r_200x200.jpg,False,active
FIFPRO,FIFPRO,"The global union for professional football players. Defending the rights and interests of 65,000 players via our network of national associations.",174700,1270,17200,,https://pbs.twimg.com/profile_images/1939946442644197376/RVzfI8UP_200x200.jpg,False,active
AshkanFadaei,Fadaei,,174300,4,854,,https://pbs.twimg.com/profile_images/1908261100614770688/nPkMBpnk_200x200.jpg,False,active
BahramRadan,Bahram Radan,"Welcome to my world. Join me as I seek adventure, strive for peace & equality and live life from a humanitarian standpoint. We're all in this together...",170800,80,2219,,https://pbs.twimg.com/profile_images/660364111713329152/pUXGtwwZ_200x200.jpg,False,active
MajidTavakolii,Majid Tavakoli,"دموکراسی‌خواه و پژوهشگر سیاسی
--- در این‌سال‌ها هیچ شرایطِ خاصی برای پایبندنبودن به حقیقت وجود ندارد. majidtavakoliiran@gmail.com",168600,303,3384,Iran-Tehran,https://pbs.twimg.com/profile_images/1694281035263987712/cycxBkH6_200x200.jpg,False,active
SohrabAhmari,Sohrab Ahmari,"US editor, 
@UnHerd
. 

Author of THE UNBROKEN THREAD and TYRANNY, INC., for 
@PenguinRandom
Writing my next book, on THE TRIUMPH OF NORMAL, for 
@HarperCollins",154900,1717,37200,"New York, NY",https://pbs.twimg.com/profile_images/1920561349379104768/1xzHcPpQ_200x200.jpg,False,active
Tavaana,توانا Tavaana,"آموزشکده توانا Tavaana: E-Learning Institute for Iranian Civil Society You can also follow us at 
@TavaanaTech
 تلگرام توانا 
ow.ly/IV6s308dfzm",153200,2,108700,,https://pbs.twimg.com/profile_images/895954997040607232/mPHGRSZh_200x200.jpg,False,active
borhanimohsen1,محسن برهانی,دکترای حقوق جزا و جرم‌شناسی؛ عضو هیأت علمی دانشگاه تهران - دانش‌آموخته و‌ اخراجیِ حوزه علمیه قم - وكیل دادگستری؛ عضو کانون وکلای دادگستری مرکز.,150800,371,3098,,https://pbs.twimg.com/profile_images/1866182927228215296/ZO9Tx6Jd_200x200.jpg,False,active
_Mahdiyar313,علی اکبر رائفی پور,یک انقلابی بی‌زار از چپ و راست /جبهه صبح ایران/ ریتوییت به معنای تایید نیست,149200,1054,13400,۱:۲۰,https://pbs.twimg.com/profile_images/1902659673280724992/_UKLViGA_200x200.jpg,False,active
arash_sobhani,Arash Sobhani آرش سبحانی,instagram.com/arashsobhani retweet≠endorsement,148200,2437,12100,#,https://pbs.twimg.com/profile_images/1966511701227864064/5fqNP843_200x200.jpg,False,active
AmirTaheri4,Amir Taheri,"International columnist and author. Was Executive Editor-in Chief of the daily Kayhan, Iran's main newspaper for seven years. Author of 13 books.",147100,2337,67500,"Paris, France",https://pbs.twimg.com/profile_images/2789325560/dd3967f07de21e251495ac8329039097_200x200.jpeg,False,active
Mfazeli114,محمد فاضلی,همسر، پدر، دانش‌آموز جامعه‌شناسی و امیدوار به بهبود زندگی ایرانیان.,142900,430,5369,"Iran, Tehran",https://pbs.twimg.com/profile_images/1991191198686437376/ZIqGBCbK_200x200.jpg,False,active
Ahmadinejad1956,Mahmoud Ahmadinejad,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian 
t.me/fpahmadinejad",137900,49,349,Tehran,https://pbs.twimg.com/profile_images/838335316935200768/VKJJiFj8_200x200.jpg,False,active
iranwire,ایران وایر,"گزارش‌های خبری، با کمک شهروند خبرنگاران ایرانی
عكس، خبر و فيلم هاى خود را براى ما بفرستيد: 
t.me/shomaIranwire
کانال واتساپ: 
iranwire.org/skoqp",137300,150,99200,,https://pbs.twimg.com/profile_images/1506334088000548864/hMcVWYaD_200x200.jpg,False,active
elinavaltonen,Elina Valtonen,"Minister for Foreign Affairs, MP Finland | Also:",137200,2273,15500,Finland,https://pbs.twimg.com/profile_images/1895023396510908416/UjlrAT_J_200x200.jpg,False,active
Firouz_Naderi,Firouz M. Naderi,"Former Director of Solar System Exploration at NASA's JPL. Currently Consultant, Coach, Public Speaker & Human Rights Activist. Views are my own.",136100,144,3945,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1630044991887405059/TUQj7g0x_200x200.jpg,False,active
ALDERBYSHOW,الديربي / ALDERBY,personal account,134900,3,103400,"The Capital, Kuwait",https://pbs.twimg.com/profile_images/1313048219899834368/F5RF1-eI_200x200.jpg,False,active
BBCKasraNaji,Kasra Naji,Special Correspondent BBC Persian TV & Author of “Ahmedinejad: the Secret History of Iran’s Radical Leader”,132300,4021,35200,London,https://pbs.twimg.com/profile_images/378800000730653601/050f729e17efa90d2a1d40bb8691c5dd_200x200.jpeg,False,active
ArashMarkazi,Arash Markazi,"Founder & CEO: The Sporting Tribune

Host: KIRN 670, The Bet Las Vegas & Hawaii Sports Radio

Prior: ESPN, SI & LA Times

arash.markazi@thesportingtribune.com",122200,2553,112200,Los Angeles-Las Vegas-Hawaii,https://pbs.twimg.com/profile_images/1525284632349921281/Akpsupgx_200x200.jpg,False,active
ColoradoRapids,Colorado Rapids,Colorado Rapids Soccer Club | #Rapids96,121900,963,61300,"Colorado, USA",https://pbs.twimg.com/profile_images/1980000216108412928/r1AnOiKL_200x200.jpg,False,active
Islam,islam,"Welcome to Islam,welcome to Peace.
Retweets may not be endorsements.

Enquiries : amaanathdigital@gmail.com",115900,217,320,,https://pbs.twimg.com/profile_images/476341528906833922/_mS6WWO2_200x200.jpeg,False,active
alilarijani_ir,Ali Larijani | علی لاریجانی,بنده‌ی خدا,114500,2,355,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/1858420078682755072/zHov9LVr_200x200.jpg,False,active
SafaiDarya,Darya Safai MP,Member of the Belgian Parliament / Delegation leader to NATO Parliamentary Assembly/ Women’s rights activist/Dentist,114200,707,5574,Belgium,https://pbs.twimg.com/profile_images/1998439876585267200/qJcLfYqG_200x200.jpg,False,active
raminkarimloo,Ramin Karimloo,Agents - C.A.M. (UK/EUROPE) -GERSH (NORTH AMERICA) Insta: raminkarimloo latehttps://itun.es/us/b2VBdbFSxLjI,114000,44,396,In Transit -,https://pbs.twimg.com/profile_images/1981330207542792194/qlcXrZCf_200x200.jpg,False,active
sardar_pashaei,Sardar Pashaei,قهرمان کشتی جهان،  مربی تیم های ملی کشتی،  #ژن_ژیان_ئازادی،,109700,1290,3892,"Virginia, USA",https://pbs.twimg.com/profile_images/1965397364962738176/cSBdO9aN_200x200.jpg,False,active
HellyLuv,Helly Luv,"Artist/Actress/Humanitarian, Awarded as one of the 100 Global Thinkers by FP 2015 Facebook HellyLuv 3 Milhttp://m.facebook.com/HellyLuvBwYm",108100,437,6865,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1600570264521162771/p2nYyZ-r_200x200.jpg,False,active
LucasFoxNews,Lucas Tomlinson,Fox News correspondent,104400,1598,35300,Washington,https://pbs.twimg.com/profile_images/1037685127273476097/3qbwxkt9_200x200.jpg,False,active
neginsh,Negin Shiraghaei,Founder Azadi Network; Ex BBC; Campaigner; پادکست کوتنا,103100,1306,9078,London,https://pbs.twimg.com/profile_images/1362127928432156672/yolcbRud_200x200.jpg,False,active
Sanjaribaf,Kianoosh Sanjari,Still alive,102600,938,2374,Tehran,https://pbs.twimg.com/profile_images/1770286384911167488/KUQx2YgL_200x200.jpg,False,active
news,NEWS,"NEWS - Menschen, die bewegen. Meinungen, die prägen. Informationen und Hintergründe zu den Themen, über die Österreich spricht.",102400,1118,36800,Österreich/Austria,https://pbs.twimg.com/profile_images/768075575273611264/3IQo-8g3_200x200.jpg,False,active
Zeidabadi_Ahmad,احمد زیدآبادی,اين صفحه توسط يكى از مخاطبان دکتر احمد زیدآبادی و مستقل از ايشان اداره مى‌شود و صرفاً ديدگاه‌ها و يادداشت‌هاى ايشان را بازنشر مى‌نمايد.,97700,1,7763,"Iran, Tehran",https://pbs.twimg.com/profile_images/1825667437666136070/pbMHJqbQ_200x200.jpg,False,active
vali_nasr,Vali Nasr,"Professor Johns Hopkins-SAIS, Fr Sr Advisor, State Dept, author of Iran's Grand Strategy 
a.co/d/egLBCgz",96800,1599,38200,"Washington, DC",https://pbs.twimg.com/profile_images/1727464452235173888/BuQrzyAK_200x200.jpg,False,active
farnazfassihi,Farnaz Fassihi,"Journalist 
@nytimes
 
United Nations Bureau Chief 
Iran Mideast Diplomacy | Author | War correspondent
Ellis Island Medal of Honor 
@Columbia
 & 
@Harvard
 alum",92100,7056,31400,"New York, NY",https://pbs.twimg.com/profile_images/1411233548560916480/wrRVqN1J_200x200.jpg,False,active
ebtekarm,Massoumeh Ebtekar,"Professor of Immunology, Former Vice President on Women and Family Affairs,Former Head of Department of Environment, Iran, UN Champion of The Earth, Mother",91300,88,6028,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/378800000683060461/8142bff0280c4ca413b43a1383500924_200x200.jpeg,False,active
ir_aref,محمدرضا عارف,معاون اول رئیس جمهور,88400,12,365,Islamic Republic of Iran,https://pbs.twimg.com/profile_images/812425939334238208/yGSp9hik_200x200.jpg,False,active
fcesteghlaliran,استقلال,‌ The official account of Esteghlal FC‌‌,87900,14,2050,"Tehran, Iran",https://pbs.twimg.com/profile_images/1461604988388585473/c4pq4DPI_200x200.jpg,False,active
AbdolhamidNet,شیخ الاسلام مولانا عبدالحمید,مدیر دارالعلوم و امام جمعه اهل سنت زاهدان و رئیس شورای هماهنگی مدارس علوم دینی اهل سنت سیستان و بلوچستان,87800,2,3668,iran,https://pbs.twimg.com/profile_images/1596502149168435200/WC1npWBP_200x200.jpg,False,active
MrKheiron,Kheiron,Je suis un utopiste réaliste… je rêve en me pinçant. // contact pro : 60minutesaveckheiron@gmail.com // Insta : kheiron_ // en tournée actuellement,85000,372,9017,Paris,https://pbs.twimg.com/profile_images/1998897208679153664/c6Zxk9dO_200x200.jpg,False,active
monaborzouei,Mona Borzouei,Lyricist,82200,800,33100,"Tehran,Iran",https://pbs.twimg.com/profile_images/1787448818503479296/2ruhVAQW_200x200.jpg,False,active
borzou,Borzou Daragahi,Media professional. Longtime international journalist. DMs open.,81500,1965,58500,Agrabah,https://pbs.twimg.com/profile_images/1640676303912292353/x-TxXSXl_200x200.jpg,False,active
21Sahel,サヘルローズ,"【 Youtube
youtube.com/channel/UCE3h8
…】 【Instagram▶︎
instagram.com/sa_chan_1021/?
…】",80900,367,9342,TED出演の際の演説動画,https://pbs.twimg.com/profile_images/1984204698161991680/C63Q8MI9_200x200.jpg,False,active
BehrouzBoochani,Behrouz Boochani,Writer/ Kurd,78300,2699,5551,"Aotearoa, Wellington",https://pbs.twimg.com/profile_images/1633773675408392192/YTm7xpGS_200x200.jpg,False,active
s,『S』,youresus@protonmail.com,78200,18,840,,https://pbs.twimg.com/profile_images/1852780598785683457/gWM3O2Wm_200x200.jpg,False,active
SAghdashloo,Shohreh Aghdashloo,"Actress, Author, Activist, and Voice-over Artist.",76700,507,8835,"Los Angeles, CA",https://pbs.twimg.com/profile_images/1656730215282769921/1Af7WnzO_200x200.jpg,False,active
PanahianEN,Ali Reza Panahian,"Official Account /
Popular speaker & teacher. Expert in education & ethics. Strategist & theorist. Head of a seminary. Author of: How to Pray a Good Prayer",75500,0,1448,,https://pbs.twimg.com/profile_images/1916102841376108544/f2XWKvzF_200x200.jpg,False,active
nahuelzn,Nahuel Lanzón,"El fútbol que no conocés: De África y Asia al Caribe y Oceanía.
En 
@AlterFutbol
, 
@WebLateral
, #CONTRA y LVST.
Researcher para Football Manager (África).",71300,2601,155800,Buenos Aires,https://pbs.twimg.com/profile_images/1542199812262600706/-2zWwMSs_200x200.jpg,False,active
NazaninNour,Nazanin Nour,Actor | Writer | Producer | Host Mehmooni with Nazanin on YouTube,70400,632,20200,L.A.,https://pbs.twimg.com/profile_images/1941563991136010241/xP4FjV1R_200x200.jpg,False,active
AEK_FC_OFFICIAL,AEK F.C.,"The Official Twitter Page of AEK FC, a Greek professional football club established since 1924 / Η επίσημη σελίδα της ΑΕΚ FC / ΠΑΕ ΑΕΚ στο Twitter",66300,123,25900,"Greece, Athens",https://pbs.twimg.com/profile_images/1911377262961709057/Z0wNUbMI_200x200.jpg,False,active
manizhe,Mandana karimi,,66000,42,5831,mumbai,https://pbs.twimg.com/profile_images/1573308049997307904/FzQJX_fw_200x200.jpg,False,active
TeamMelliIran,Team Melli IRAN,"Official account of Iran National Football Team (AKA #TeamMelli)

Telegram Channel:
t.me/teammelli",65700,17,2487,Iran,https://pbs.twimg.com/profile_images/468665815491829760/51aHcWF4_200x200.jpeg,False,active
