full name,description / bio,followers_count,following_count,statuses_count,created_at,profile_image_url,banner_url,username,external_url,location,verified,protected,language,scraped_at,poi_name,twitter_status,source,error
,,,,,,,,title,,,,,<NA>,2025-11-08T12:52:47+00:00,Phoenix Raei,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
,,,,,,,,poonehhm,,,,,<NA>,2025-11-08T12:52:53+00:00,Pooneh Hajimohammadi,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Pouria Poursorkh,"OFFICIAL TWITTER ACCOUNT

(born on june 25 ,1977) is an Iranian Actor of Cinema & Television Series.
Instagram : PouriaPoursorkh",1892.0,7.0,79.0,2015-10-05 23:39:20+00:00,https://pbs.twimg.com/profile_images/662611480643244032/796oQ-ZW_normal.jpg,,PouriaPoursorkh,http://POURIAPOURSORKH.COM,,False,,English,2025-11-08T12:52:56+00:00,Pouria Poursorkh,active,snscrape,
,,,,,,,,reyparsa,,,,,<NA>,2025-11-08T12:53:00+00:00,Reyhaneh Parsa,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
sahar dolatshahi,,216.0,416.0,75.0,2012-09-18 07:29:43+00:00,https://pbs.twimg.com/profile_images/2622176838/efaf2_normal.jpg,,sahardolatshahi,,,False,,<NA>,2025-11-08T12:53:03+00:00,Sahar Dolatshahi,active,snscrape,
Sahar Valadbeygi,,383.0,26.0,23.0,2011-08-02 10:38:11+00:00,https://pbs.twimg.com/profile_images/1966799573780660224/6cYxyWwV_normal.jpg,,SaharValadbeygi,,,False,,<NA>,2025-11-08T12:53:03+00:00,Sahar Valadbeigi,active,snscrape,
サヘルローズ,【 Youtube▶youtube.com/channel/UCE3h8…】 【Instagram▶︎instagram.com/sa_chan_1021/?…】,81764.0,365.0,9219.0,2012-07-19 08:33:06+00:00,https://pbs.twimg.com/profile_images/1984204698161991680/C63Q8MI9_normal.jpg,,21Sahel,http://youtu.be/lKY9MCBfrq0,TED出演の際の演説動画,False,,English,2025-11-08T12:53:03+00:00,Sahel Rosa,active,snscrape,
Sepideh Moafi,@AppleTV @Hulu @FX @Showtime @HBO + others Ambassador @RESCUEorg,25301.0,939.0,3137.0,2016-03-17 01:39:23+00:00,https://pbs.twimg.com/profile_images/1202037010124296192/0gqB890Z_normal.jpg,,SepidehMoafi,https://linktr.ee/SepidehMoafi,NY/LA,False,,English,2025-11-08T12:53:03+00:00,Sepideh Moafi,active,snscrape,
,,,,,,,,platform,,,,,<NA>,2025-11-08T12:53:07+00:00,Shahab Hosseini,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
shahram haghighat doust,actor,989.0,3.0,294.0,2010-01-09 19:30:06+00:00,https://pbs.twimg.com/profile_images/1732503310077227008/LFlAnt3-_normal.jpg,,shahram_hds,http://Instagram.com/shahram.haghighatdoust,iran,False,,<NA>,2025-11-08T12:53:10+00:00,Shahram Haghighat Doost,active,snscrape,
Shaun Toub,"Actor. IronMan, Homeland, Crash, etc.Love my work, Sports, beach, music. Follow me on Instagram, twitter, FB page facebook.com/ShaunToubOffic…",7558.0,27.0,2535.0,2010-03-03 22:24:06+00:00,https://pbs.twimg.com/profile_images/738842066789142528/CljmEv_x_normal.jpg,,ShaunToub,http://activepitch.com,"Santa Monica, CA",False,,English,2025-11-08T12:53:10+00:00,Shaun Toub,active,snscrape,
Shiva Boloorian,"Shiva Boloorian (Persian: شیوا بلوریان) is an Iranian Actress, Director and Writer, as well as a TV moderator.",7.0,0.0,0.0,2014-08-23 22:07:14+00:00,https://pbs.twimg.com/profile_images/1079883468723630081/4Jz91rU1_normal.jpg,,ShivaBoloorian,https://www.shivaboloorian.com,,False,,English,2025-11-08T12:53:10+00:00,Shiva Boloorian,active,snscrape,
ky,,6.0,82.0,11.0,2016-09-02 16:52:35+00:00,https://pbs.twimg.com/profile_images/771752932500992000/7VE83Utf_normal.jpg,,shivanegar,,,False,,<NA>,2025-11-08T12:53:10+00:00,Shiva Negar,active,snscrape,
Shohreh Aghdashloo,"Actress, Author, Activist, and Voice-over Artist. ❤️",76897.0,508.0,8834.0,2015-08-06 00:17:15+00:00,https://pbs.twimg.com/profile_images/1656730215282769921/1Af7WnzO_normal.jpg,,SAghdashloo,https://linktr.ee/saghdashloo,"Los Angeles, CA",False,,English,2025-11-08T12:53:11+00:00,Shohreh Aghdashloo,active,snscrape,
Tala Ashe,actor/producer • FREE IRAN • she/her,51109.0,544.0,3798.0,2009-07-02 00:50:26+00:00,https://pbs.twimg.com/profile_images/1627884721219706882/6aj6DTeZ_normal.jpg,,talaashe,https://bsky.app/profile/talaashe.bsky.social,"New York, NY",False,,English,2025-11-08T12:53:11+00:00,Tala Ashe,active,snscrape,
IG: @IAmTehran,"#NFT of comedy
1/2 BLACK + 1/2 PERSIAN = SAVAGE AF
@TheLaughFactory every THURS 10pm
SAPIOSEXUAL TOXIC AF
ChatGPT is my Mom",21717.0,715.0,84414.0,2009-03-27 22:19:05+00:00,https://pbs.twimg.com/profile_images/1436029480624005144/kCEF3Viw_normal.jpg,,IAmTehran,http://www.iamtehran.com,"Los Angeles, CA",False,,English,2025-11-08T12:53:17+00:00,Tehran Von Ghasri,active,snscrape,
Yara Shahidi,,252.0,0.0,0.0,2022-07-06 08:42:41+00:00,https://pbs.twimg.com/profile_images/1877540023983288321/d-FKB--B_normal.jpg,,yarashahidi,,,False,,<NA>,2025-11-08T12:53:17+00:00,Yara Shahidi,active,snscrape,
Zar Amir Ebrahimi,,27130.0,338.0,358.0,2009-06-21 12:48:08+00:00,https://pbs.twimg.com/profile_images/920850557501427712/el6o-e2k_normal.jpg,,Zar_Amir,,Paris,False,,<NA>,2025-11-08T12:53:17+00:00,Zar Amir Ebrahimi,active,snscrape,
Iran International English,"The world's leading news network on Iran. Follow us for fearless journalism, firsthand reports and accurate, in-depth coverage",260037.0,5.0,61902.0,2018-08-12 22:29:41+00:00,https://pbs.twimg.com/profile_images/1380467569275060225/Wa9zjOZI_normal.jpg,,IranIntl_En,https://iranintl.com/en,"London, UK",False,,English,2025-11-08T12:53:17+00:00,Abbas Ka'bi,active,snscrape,
Sayed Mahdi Modarresi,"Author, Lecturer, Educator. Books: amazon.co.uk/Sayed-Mahdi-Mo… • Videos: YouTube.com/SayedModarresi",47292.0,168.0,12102.0,2009-05-27 07:54:40+00:00,https://pbs.twimg.com/profile_images/1382005888706224128/DHkXEOCr_normal.jpg,,SayedModarresi,http://Instagram.com/SayedModarresi,The Cave,False,,English,2025-11-08T12:53:25+00:00,Hossein Wahid Khorasani,active,snscrape,
Joseph S Blatter,Football Philosopher,1888835.0,282.0,2533.0,2010-04-29 12:11:15+00:00,https://pbs.twimg.com/profile_images/1478717941826871297/gwYYqN0m_normal.jpg,,SeppBlatter,,Switzerland,False,,English,2025-11-08T12:53:26+00:00,Ali Daei,active,snscrape,
ali karimi,,2157805.0,30.0,622.0,2017-12-27 05:18:43+00:00,https://pbs.twimg.com/profile_images/1526469339267866625/1B9GVkrM_normal.jpg,,alikarimi_ak8,https://instagram.com/aliiiiiiiikarimi8,تهران،ایران,False,,<NA>,2025-11-08T12:53:26+00:00,Ali Karimi,active,snscrape,
AEK F.C.,"The Official Twitter Page of AEK FC, a Greek professional football club established since 1924 / Η επίσημη σελίδα της ΑΕΚ FC / ΠΑΕ ΑΕΚ στο Twitter",67232.0,124.0,25743.0,2011-03-01 13:06:54+00:00,https://pbs.twimg.com/profile_images/1911377262961709057/Z0wNUbMI_normal.jpg,,AEK_FC_OFFICIAL,,"Greece, Athens",False,,English,2025-11-08T12:53:26+00:00,Masoud Shojaei,active,snscrape,
Tajikistan Football,"Official Twitter Account of the Tajikistan Football Federation.

Официальный twitter-аккаунт Федерации футбола Таджикистана.",7797.0,33.0,15184.0,2011-07-24 18:17:30+00:00,https://pbs.twimg.com/profile_images/1214159983945797632/g4f-3QS0_normal.jpg,,fft_official,http://fft.tj/,"Душанбе, Таджикистан",False,,English,2025-11-08T12:53:27+00:00,Reza Parkas,active,snscrape,
Pyman tofighi,من یک (کارگر پرولتر )سوسیالیست هستم⛳کشور من زمین وما شهروند جهان هستیم 🌏مرزهاراکسانی دیگر تعریف کردند,2.0,43.0,60.0,2021-10-01 00:12:31+00:00,https://pbs.twimg.com/profile_images/1443730758816894985/gw31cXUl_normal.jpg,,PTofighi,,,False,,Persian (Farsi),2025-11-08T12:53:27+00:00,Seyed Pendar Toufighi,active,snscrape,
Darya Safai MP,Member of the Belgian Parliament / Delegation leader to NATO Parliamentary Assembly/ Women’s rights activist/Dentist,114448.0,703.0,5555.0,2015-02-24 20:10:01+00:00,https://pbs.twimg.com/profile_images/1917238188659122176/CHzXO5WG_normal.jpg,,SafaiDarya,https://www.daryasafai.be,Belgium,False,,English,2025-11-08T12:53:34+00:00,Darya Safai,active,snscrape,
Elham Youssefian,اینجا بیشتر از تجربیات شخصی خودم می‌نویسم به عنوان یک زن ایرانی نابینا. تحصیلاتم در حقوق بین‌الملل و حقوق بشر است. به لغو مجازات اعدام، شکنجه و تبعیض معتقدم.,6170.0,586.0,3609.0,2018-04-15 01:59:26+00:00,https://pbs.twimg.com/profile_images/1847363001805852672/DBZztnct_normal.jpg,,eyoussefian,,,False,,Persian (Farsi),2025-11-08T12:53:35+00:00,Elham Youssefian,active,snscrape,
mumspr,Mashhad University of Medical Sciences,36.0,11.0,648.0,2017-08-27 08:45:03+00:00,https://pbs.twimg.com/profile_images/1407566157935153152/a_Mdr6iv_normal.jpg,,mumspr,http://www.mums.ac.ir,Islamic Republic of Iran,False,,English,2025-11-08T12:53:50+00:00,Mashhad University of Medical Sciences,active,snscrape,
Nahid Khodakarami,عضو هیئت علمی دانشگاه، فعال اجتماعی حوزه سلامت زنان و خانواده /women right and women health activist,11449.0,133.0,504.0,2017-05-09 23:56:18+00:00,https://pbs.twimg.com/profile_images/1949106019277082624/unV-wwSA_normal.jpg,,N_Khodakarami,,Islamic Republic of Iran,False,,Persian (Farsi),2025-11-08T12:53:50+00:00,Nahid Khodakarami,active,snscrape,
,,,,,,,,IranianArForces,,,,,<NA>,2025-11-08T12:53:54+00:00,Ahmad Vahidi,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
حجت الله عبدالملکی,"اقتصاددان،
کارشناس اقتصاد مقاومتی،
مشاور سرمایه‌گذاری و کسب و کار،
عضو هیئت علمی (دانشیار) دانشگاه امام صادق علیه‌السلام

اَللّهُمَّ عَجِّل لِوَلیِّکَ الفَرَج",120614.0,22.0,3185.0,2017-06-16 13:22:05+00:00,https://pbs.twimg.com/profile_images/875711244082094080/SbwPoBAp_normal.jpg,,dr_abdolmaleki,http://www.drabdolmaleki.ir,,False,,Persian (Farsi),2025-11-08T12:53:58+00:00,Hojjatollah Abdolmaleki,active,snscrape,
Manouchehr Mottaki,Iran former foreign minister منوچهر متکی,603.0,6.0,72.0,2019-02-02 15:50:39+00:00,https://pbs.twimg.com/profile_images/1091788807530315776/vkf-J9BR_normal.jpg,,MnMottaki,http://mottaki.ir,"Tehran, Iran",False,,Danish,2025-11-08T12:53:58+00:00,Manouchehr Mottaki,active,snscrape,
Seyed Mohammad Ali Hosseini,"Ex.Ambassador of I.R. #Iran🇮🇷 to #Italy & #Pakistan🇵🇰
Ex-Deputy FM on  #International_Affairs
Ex- Spokesman of Ministry of #Foreign_Affairs",5038.0,20.0,2306.0,2014-07-14 17:43:57+00:00,https://pbs.twimg.com/profile_images/903854997951193089/2VJFqGW-_normal.jpg,,HossainiSma,,Iran,False,,English,2025-11-08T12:53:59+00:00,Mohammad Ali Hosseini,active,snscrape,
,,,,,,,,rob_steele1,,,,,<NA>,2025-11-08T12:54:04+00:00,Reza Shah,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
توانا Tavaana,آموزشکده توانا Tavaana: E-Learning Institute for Iranian Civil Society You can also follow us at @TavaanaTech تلگرام توانا ow.ly/IV6s308dfzm,156776.0,2.0,107636.0,2010-05-11 18:33:29+00:00,https://pbs.twimg.com/profile_images/895954997040607232/mPHGRSZh_normal.jpg,,Tavaana,http://tavaana.org,,False,,English,2025-11-08T12:54:07+00:00,Rostam Ghasemi,active,snscrape,
Center for Human Rights in Iran,The independent Center for Human Rights in Iran has been amplifying voices in Iran since 2008. Persian account: @ichri_FA media@iranhumanrights.org,52154.0,986.0,22142.0,2009-06-16 14:23:50+00:00,https://pbs.twimg.com/profile_images/877899362713694208/hMEyfhXJ_normal.jpg,,ICHRI,http://www.iranhumanrights.org,New York,False,,English,2025-11-08T12:54:27+00:00,2018 Khuzestan protests,active,snscrape,
Iran News Wire,We are dedicated to honest and reliable reporting on #IranProtests and #Iran's regime's #HumanRights violations.,18748.0,244.0,30270.0,2013-10-05 08:53:45+00:00,https://pbs.twimg.com/profile_images/1072234780874420225/C8eimmEu_normal.jpg,,IranNW,https://irannewswire.org/,Europe,False,,English,2025-11-08T12:54:27+00:00,2022 Iranian food protests,active,snscrape,
Janez Lenarčič,"Former European Commissioner for Crisis Management, in charge of European Civil Protection and Humanitarian Aid. European Emergency Response Coordinator. 🇪🇺",48335.0,130.0,5277.0,2019-09-10 08:08:22+00:00,https://pbs.twimg.com/profile_images/1171334760645496832/MQNWNdV7_normal.jpg,,JanezLenarcic,https://ec.europa.eu/commission/commissioners/2019-2024/lenarcic_en,,False,,English,2025-11-08T12:54:27+00:00,2024 Varzaqan helicopter crash,active,snscrape,
Abolhassan Banisadr,#Iran's first president   | #جمهوری_ایران #جمهوری #ایران #بنی_صدر |   Facebook.com/Banisadr Instagram.com/abanisadr T.me/ABanisadr,7876.0,0.0,353.0,2009-06-15 09:00:18+00:00,https://pbs.twimg.com/profile_images/952697029754523654/0NLWcoAu_normal.jpg,,Banisadr,http://banisadr.org,"Paris, France",False,,Catalan,2025-11-08T12:54:27+00:00,Abolhassan Banisadr,active,snscrape,
,,,,,,,,2017,,,,,<NA>,2025-11-08T12:54:27+00:00,Aftermath of the Joint Comprehensive Plan of Action,suspended,csv_status_only,status_from_manual_csv:suspended
Ali Larijani | علی لاریجانی,بنده‌ی خدا,112440.0,2.0,332.0,2021-05-13 09:00:16+00:00,https://pbs.twimg.com/profile_images/1858420078682755072/zHov9LVr_normal.jpg,,alilarijani_ir,http://t.me/alilarijani_ir,Islamic Republic of Iran,False,,Persian (Farsi),2025-11-08T12:54:28+00:00,Ali Larijani,active,snscrape,
,,,,,,,,2016,,,,,<NA>,2025-11-08T12:54:28+00:00,Criticism of the Joint Comprehensive Plan of Action,suspended,csv_status_only,status_from_manual_csv:suspended
سید ابراهیم رئیسی,رئیس جمهوری شهید جمهوری اسلامی ایران | این حساب توسط بنیاد بین‌المللی شهید رئیسی اداره می‌شود.,324763.0,1.0,202.0,2021-03-01 15:20:36+00:00,https://pbs.twimg.com/profile_images/1399652437623980033/nxttDIoU_normal.jpg,,raisi_com,,,False,,Persian (Farsi),2025-11-08T12:54:28+00:00,Ebrahim Raisi,active,snscrape,
madarandadkhah,,341.0,2.0,21.0,2021-02-17 12:35:32+00:00,https://pbs.twimg.com/profile_images/1365282095149498373/k1TYb-Nj_normal.jpg,,madarandadkhah,https://t.me/madarandadkhah,,False,,<NA>,2025-11-08T12:54:29+00:00,Iranian Complainant Mothers,active,snscrape,
John Kerry,"Teresa's husband, 28 years representing Massachusetts in the U.S. Senate, 68th U.S. Secretary of State, now fighting the climate crisis.",3131859.0,570.0,2818.0,2008-06-04 16:51:10+00:00,https://pbs.twimg.com/profile_images/1205176184906092545/fI6BP6PK_normal.jpg,,JohnKerry,https://twitter.com/ClimateEnvoy,Proud Bostonian,False,True,English,2025-11-08T12:54:29+00:00,Leaked Mohammad Javad Zarif audiotape,active,snscrape,
Mahmoud Ahmadinejad,"Husband, Dad, Grandfather, University Professor, President, Mayor, Governor, Soccer Player, Proud Iranian t.me/fpahmadinejad",138885.0,49.0,349.0,2017-01-04 12:40:56+00:00,https://pbs.twimg.com/profile_images/838335316935200768/VKJJiFj8_normal.jpg,,Ahmadinejad1956,http://instagram.com/drahmadinejad.ir,Tehran,False,,English,2025-11-08T12:54:29+00:00,Mahmoud Ahmadinejad,active,snscrape,
Elina Valtonen,"Minister for Foreign Affairs, MP Finland | Also: 🏀⚽️🎾",136020.0,2249.0,15437.0,2010-08-22 08:12:44+00:00,https://pbs.twimg.com/profile_images/1895023396510908416/UjlrAT_J_normal.jpg,,elinavaltonen,https://www.um.fi,Finland,False,,English,2025-11-08T12:54:30+00:00,October 2024 Iranian strikes on Israel,active,snscrape,
sepideqoliyan,در انتظار خورشید,26798.0,367.0,2891.0,2019-11-05 22:09:03+00:00,https://pbs.twimg.com/profile_images/1945779320166703104/0RfxfxAp_normal.jpg,,sepideqoliyan,https://instagram.com/sepide_qoliyan?igshid=1qxvumcu8ccv2,دزفیل,False,,Persian (Farsi),2025-11-08T12:54:30+00:00,Sepideh Qolian,active,snscrape,
عبدالرضا هلالی,اینستاگرام:  instagram.com/rezahelalioffi… تلگرام:  t.me/helalireza,31689.0,21.0,703.0,2020-12-07 06:02:37+00:00,https://pbs.twimg.com/profile_images/1904214537286647808/esy1ZRpB_normal.jpg,,helalireza,,,False,,Romanian,2025-11-08T12:55:43+00:00,Abdolreza Helali,active,snscrape,
Ali Azimi,youtube.com/@aliazimimusic | aliazimimusic.com,46483.0,812.0,5526.0,2010-04-01 01:52:57+00:00,https://pbs.twimg.com/profile_images/1528447197599105025/qi-4Y1G2_normal.jpg,,AliAzimiMusic,https://www.instagram.com/aliazimiofficial/,"London, UK",False,,Italian,2025-11-08T12:55:43+00:00,Ali Azimi,active,snscrape,
,,,,,,,,Baharmdehkordi,,,,,<NA>,2025-11-08T12:55:49+00:00,Bahar Dehkordi,active,csv_status_only,scrape_failed: AttributeError('XUserScraper missing')
Bahram Radan,"Welcome to my world. Join me as I seek adventure, strive for peace & equality and live life from a humanitarian standpoint. We're all in this together...",180262.0,80.0,2219.0,2010-08-26 02:27:15+00:00,https://pbs.twimg.com/profile_images/660364111713329152/pUXGtwwZ_normal.jpg,,BahramRadan,http://www.BahramRadan.com,,False,,English,2025-11-08T12:55:51+00:00,Bahram Radan,active,snscrape,
کمیته پیگیری وضعیت بازداشت‌شدگان,"این کمیته توسط چندتن از فعالان برای پیگیری وضعیت بازداشت‌شدگان اعتراضات ۱۴۰۱ شکل گرفته است.

ایمیل کمیته:
committee.followupiran@gmail.com",14361.0,0.0,1333.0,2022-09-22 06:51:07+00:00,https://pbs.twimg.com/profile_images/1591934052747059201/DFJWT2cg_normal.jpg,,followupiran,,,False,,Persian (Farsi),2025-11-08T12:55:52+00:00,Behrad Ali Konari,active,snscrape,
Eddie Razaz,Swedish based Recording artist/songwriter/actor signed with Warner Music Group.,1362.0,90.0,2719.0,2009-09-03 20:41:53+00:00,https://pbs.twimg.com/profile_images/378800000219390205/da3410d83e1b4ae856c7c0cf9720ce57_normal.jpeg,,EddieRazaz,http://www.eddierazaz.se,"Stockholm, Sweden",False,,English,2025-11-08T12:55:52+00:00,Eddie Razaz,active,snscrape,
Fadaei,,177976.0,4.0,854.0,2011-11-07 01:14:00+00:00,https://pbs.twimg.com/profile_images/1908261100614770688/nPkMBpnk_normal.jpg,,AshkanFadaei,http://soundcloud.com/mahdyar/tracks,,False,,<NA>,2025-11-08T12:55:52+00:00,Fadaei,active,snscrape,
World Music Awards,The World Music Awards is an international awards ceremony honoring the best-selling most popular recording artists from around the world.,636542.0,68698.0,79750.0,2012-01-12 02:32:50+00:00,https://pbs.twimg.com/profile_images/1067055979022422017/DhH2yiFc_normal.jpg,,WORLDMUSICAWARD,https://www.instagram.com/worldmusicawards/,,False,,English,2025-11-08T12:55:53+00:00,Googoosh,active,snscrape,
