Row_Number,keyword,poi_name,Twitter_username,Twitter_url,source_folder,Twitter_status,Wikipedia_Link
59,Iran candidate,Әлия  Назарбаева,aliyanazarbaeva,https://x.com/aliyanazarbaeva,Candidates,active,
60,Iran candidate,Arash Sobhani آرش سبحانی,arash_sobhani,https://x.com/arash_sobhani,Candidates,active,
61,Iran candidate,Arthur Bullard,art,https://x.com/art,Candidates,active,
62,Iran candidate,asa,asa,https://x.com/asa,Candidates,active,
63,Iran candidate,عصر مجلس,asre_majles,https://x.com/asre_majles,Candidates,active,
64,Iran candidate,behzadbolour,behzadbolour,https://x.com/behzadbolour,Candidates,active,https://en.wikipedia.org/wiki/Behzad_Bolour
65,Iran candidate,,cache,https://x.com/cache,Candidates,active,
66,Iran candidate,ديالا مكي,dialamakki,https://x.com/dialamakki,Candidates,active,
67,Iran candidate,حجت الله عبدالملکی,dr_abdolmaleki,https://x.com/dr_abdolmaleki,Candidates,active,
68,Iran candidate,حسین صمصامی,dr_hsamsami,https://x.com/dr_hsamsami,Candidates,active,
69,Iran candidate,Dr. David Samadi,drdavidsamadi,https://x.com/drdavidsamadi,Candidates,active,https://en.wikipedia.org/wiki/David_B._Samadi
70,Iran candidate,Mohammad Sharif Malekzadeh | محمدشریف ملک زاده,drmalekzadeh2,https://x.com/drmalekzadeh2,Candidates,active,
71,Iran candidate,Massoumeh Ebtekar,ebtekarm,https://x.com/ebtekarm,Candidates,active,https://en.wikipedia.org/wiki/Masoumeh_Ebtekar
72,Iran candidate,Elina Valtonen,elinavaltonen,https://x.com/elinavaltonen,Candidates,active,
73,Iran candidate,enちゃん,en,https://x.com/en,Candidates,active,
74,Iran candidate,Fatemeh Ekhtesari فاطمه اختصاری,fatemeekhtesari,https://x.com/fatemeekhtesari,Candidates,active,
75,Iran candidate,Tajikistan Football,fft_official,https://x.com/fft_official,Candidates,active,
76,Iran candidate,کمیته پیگیری وضعیت بازداشت‌شدگان,followupiran,https://x.com/followupiran,Candidates,active,
77,Iran candidate,mohammadi ziarani,gmziarani,https://x.com/gmziarani,Candidates,active,https://en.wikipedia.org/wiki/Mohammad_Marandi
78,Iran candidate,حمید رسایی,hamidrasaee,https://x.com/hamidrasaee,Candidates,active,
79,Iran candidate,حسن عباسی,hasan_abbasi,https://x.com/hasan_abbasi,Candidates,active,
80,Iran candidate,عبدالرضا هلالی,helalireza,https://x.com/helalireza,Candidates,active,
81,Iran candidate,محمدرضا عارف,ir_aref,https://x.com/ir_aref,Candidates,active,
82,Iran candidate,ایران وایر,iranwire,https://x.com/iranwire,Candidates,active,
83,Iran candidate,ISSUES,issues,https://x.com/issues,Candidates,active,
84,Iran candidate,jadi,jadi,https://x.com/jadi,Candidates,active,https://en.wikipedia.org/wiki/Asjadi
85,Iran candidate,Jila Baniyaghoob ژیلا بنی‌یعقوب,jilabani,https://x.com/jilabani,Candidates,active,
86,Iran candidate,,journal,https://x.com/journal,Candidates,active,
87,Iran candidate,Kris Esfandiari,kngwmn,https://x.com/kngwmn,Candidates,active,https://en.wikipedia.org/wiki/Kristina_Esfandiari
88,Iran candidate,La Biennale di Venezia,la_Biennale,https://x.com/la_Biennale,Candidates,active,
89,Iran candidate,La Toya Jackson,latoyajackson,https://x.com/latoyajackson,Candidates,active,
90,Iran candidate,madarandadkhah,madarandadkhah,https://x.com/madarandadkhah,Candidates,active,
91,Iran candidate,تلویزیون منوتو,manototv,https://x.com/manototv,Candidates,active,
92,Iran candidate,,maroofian,https://x.com/maroofian,Candidates,active,
93,Iran candidate,,masih_alinejad,https://x.com/masih_alinejad,Candidates,active,
94,Iran candidate,masoud.aghaie,masoud,https://x.com/masoud,Candidates,active,https://en.wikipedia.org/wiki/Masoud_Gholami
95,Iran candidate,,meftah,https://x.com/meftah,Candidates,active,
96,Iran candidate,M.H. Ansari,mhhansari,https://x.com/mhhansari,Candidates,active,
97,Iran candidate,MirHossein Mousavi,mousavi1388,https://x.com/mousavi1388,Candidates,active,https://en.wikipedia.org/wiki/Mir-Hossein_Mousavi
98,Iran candidate,mumspr,mumspr,https://x.com/mumspr,Candidates,active,
99,Iran actor,Abbas Amiri Moghaddam,,https://x.com/nan,iranian_actors,missing,https://en.wikipedia.org/wiki/Abbas_Amiri_Moghaddam
100,Iran candidate,nazanin,nazaninarmanian,https://x.com/nazaninarmanian,Candidates,active,
101,Iran candidate,n,nm,https://x.com/nm,Candidates,active,
102,Iran candidate,بیژن نوباوه وطن,nobave34909,https://x.com/nobave34909,Candidates,active,
103,Iran candidate,پیروز حناچی,pirouzhanachi,https://x.com/pirouzhanachi,Candidates,active,
104,Iran candidate,ًًً,rezaaslan,https://x.com/rezaaslan,Candidates,active,
105,Iran candidate,رضا حقيقت‌نژاد,rezahn56,https://x.com/rezahn56,Candidates,active,
106,Iran candidate,Reza Rohani Official,rezjazz,https://x.com/rezjazz,Candidates,active,
107,Iran candidate,,rob_steele1,https://x.com/rob_steele1,Candidates,active,
108,Iran candidate,روح الله جمعه ای,roohallahj,https://x.com/roohallahj,Candidates,active,
109,Iran candidate,『S』,s,https://x.com/s,Candidates,active,
110,Iran candidate,سعید محمد,saeid_mohammad_,https://x.com/saeid_mohammad_,Candidates,active,
111,Iran candidate,,scientist,https://x.com/scientist,Candidates,active,
112,Iran candidate,sepideqoliyan,sepideqoliyan,https://x.com/sepideqoliyan,Candidates,active,https://en.wikipedia.org/wiki/Sepideh_Qolian
113,Iran candidate,شهاب‌الدين طباطبايى,shahabedin76,https://x.com/shahabedin76,Candidates,active,
114,Iran candidate,Shahin Najafi 𓃬☼,shahinnajafi80,https://x.com/shahinnajafi80,Candidates,active,https://en.wikipedia.org/wiki/Shahin_Najafi
115,Iran candidate,شهرک اکباتان | Ekbatan,shahrak_ekbatan,https://x.com/shahrak_ekbatan,Candidates,active,
116,Iran candidate,shahrumkashani,shahrumkashani,https://x.com/shahrumkashani,Candidates,active,https://en.wikipedia.org/wiki/Shahrum_Kashani
117,Iran candidate,,site,https://x.com/site,Candidates,active,
118,Iran candidate,Snoh,snohaalegra,https://x.com/snohaalegra,Candidates,active,
119,Iran candidate,Alireza Soleimanpour,soleimanpour,https://x.com/soleimanpour,Candidates,active,https://en.wikipedia.org/wiki/Alireza_Soleimani
120,Iran candidate,,solmazdaryani,https://x.com/solmazdaryani,Candidates,active,
121,Iran candidate,SorayaSarhaddiNelson,sorayanelson,https://x.com/sorayanelson,Candidates,active,https://en.wikipedia.org/wiki/Soraya_Sarhaddi_Nelson
122,Iran candidate,Stronger,stronger,https://x.com/stronger,Candidates,active,
123,Iran candidate,ТГМУ имени Абуали ибни Сино,tajmedun,https://x.com/tajmedun,Candidates,active,
124,Iran candidate,,the,https://x.com/the,Candidates,active,
125,Iran candidate,thebest,thebest,https://x.com/thebest,Candidates,active,
126,Iran candidate,,university,https://x.com/university,Candidates,active,
127,Iran candidate,,vid,https://x.com/vid,Candidates,active,
128,Iran candidate,Zal,z_al,https://x.com/z_al,Candidates,active,
