Topic,Count,Name,Representation,Representative_Docs
12,242,12_iranmassacre_kingrezapahlavi_iranrevolution2026_hashtag,"['iranmassacre', 'kingrezapahlavi', 'iranrevolution2026', 'hashtag', 'hashtags', 'you', 'trending', 'tweet', 'it', 'don']","['Only the one who spanked KingRezaPahlavi IranMassacre', 'KingRezaPahlavi IranMassacre IranRevolution2026 Where are the hashtags?!! Hooray!!!', 'KingRezaPahlavi IranMassacre IranRevolution2026']"
13,269,13_alarabiya_breaking_ukraine_russia_zelensky,"['alarabiya_breaking', 'ukraine', 'russia', 'zelensky', 'europe', 'rubio', 'america', 'we', 'to', 'russian']","['Trump: Zelensky must act to end the war in Ukraine.', 'Rubio: America and Europe are one civilization AlArabiya_Breaking', 'Rubio: We want a strong Europe AlArabiya_Breaking']"
14,444,14_don_you_eat_it,"['don', 'you', 'eat', 'it', 'bread', 'eating', 'me', 'to', 'want', 'my']","['If after eating every meal, even if it is little and without rice or bread, you end up eating shit, it means that the diet has been institutionalized in you.', ""Don't be ignorant of salt! Don't be ignorant of salt! Don't be ignorant of salt! Don't be ignorant of salt! Don't be ignorant of salt! Don't be ignorant of salt! Don't be ignorant of salt! Don't be ignorant of salt!"", 'It doesn\'t matter why he drank so much tea, the important thing is ""who"" is this person who was able to drink so much tea?!']"
15,486,15_tell_democracy_means_the,"['tell', 'democracy', 'means', 'the', 'to', 'and', 'of', 'you', 'is', 'that']","['Tell me about democracy :))))', 'Tell me about democracy :)', 'Democracy means don\'t tell anyone to ""shut up!"" Tell about_democracy']"
16,185,16_bir_da_atababa_sözü_ki,"['bir', 'da', 'atababa_sözü', 'ki', 'bo', 'dan', 'atababa_sozo', 'ulver', 'olmaz', 'di']","['The Motloluq Qapimi Chalmadi Getadi Dalimda Bir Yapraq Ghormedim Avesta', '. « Besh Barmaghin Besh De Bir Olmaz » "" Beş barmağın beşi də bir olmaz Atababa_Sozo AtaBaba_Sözü .', 'Zahidin Bir Barmaghin Kissen Qachar Haqdn Donr Gor Bo Gerchak Ashqi Sarpa Suyarlar Aghrimaz! Suyun Murdar Sallakhlar, “Nsimi” Nin Tnin Bunja Namrdi Gorun Bir Ar Qinarlar Aghrimaz SyedEmaduldin_Nasimi']"
17,418,17_doctors_the_of_government,"['doctors', 'the', 'of', 'government', 'and', 'health', 'mr', 'in', 'president', 'to']","['for_Iran Doctors Reza_Davari_Ardakani Elections', ""One of the governors of the medical government: I do not believe in chastity and hijab in a hungry society. Our response to the government of doctors: who, other than the government of doctors, has kept the people hungry? Who has destroyed the people's economy other than the government of doctors? Who is destroying people's religion other than the medical government?"", 'for_Iran Doctors']"
18,545,18_islamic_republic_the_of,"['islamic', 'republic', 'the', 'of', 'and', 'is', 'to', 'mullahs', 'mullah', 'regime']","[""Let me tell you clearly. The Islamic Republic of Omri censored us and forced us to show less. If you are doing the same thing today, you are a mullah's staff, whether you want it or not."", 'The reality of the Islamic Republic', 'Then he says: ""The Islamic Republic has turned itself into the ""last"" possible option, maybe something lower than the Islamic Republic is only ISIS."" Now go and destroy both sides, don\'t understand that unity is our most important strength so that the mullah can go to the next stage.']"
19,492,19_twitter_you_tweet_instagram,"['twitter', 'you', 'tweet', 'instagram', 'account', 'my', 'this', 'to', 'and', 'follow']","[""I peed on Twitter For more than two months, under severe nervous pressure, I deactivated all my virtual accounts. Just don't take back the Twitter account. He says that when a month passes, apparently Twitter deletes all your account information from its server."", 'Hello to the Twitter account', ""I'm back on Twitter""]"
20,359,20_water_rain_it_sky,"['water', 'rain', 'it', 'sky', 'weather', 'the', 'is', 'autumn', 'in', 'and']","['The only good thing about these days is that summer is ending and autumn is coming. I hope that if the weather gets cold, they will probably cut off my gas for two hours a day.', ""How nice is the weather after the rain? What a lovely cloudy sky What a pleasant smell of dampness and humidity How pleasant the cold weather is Hugging in this weather is so good It's a romantic atmosphere"", ""After a long time, there were only 4 clouds in the sky, but what's the use when the rain has turned into autumn weather?""]"
21,205,21_ai_intelligence_artificial_models,"['ai', 'intelligence', 'artificial', 'models', 'repository', 'application', 'with', 'and', 'using', 'to']","['ai', 'Ai', 'Ai']"
22,260,22_kurdistan_news_komle_group,"['kurdistan', 'news', 'komle', 'group', 'akam', 'kurdish', 'of', 'the', 'peshmerga', 'in']","['A high-ranking member of the Kurdistan Kurdistan Komle terrorist group threatened Komle Mehtadi to reveal their audio, chat and calls.', 'According to Akam News, it is said that after fleeing to the Kurdistan Region, Zakaria Allah Yari handed himself over to the Kurdistan Freedom Party terrorist group and has now become a member of this group. t.me/akamnews11', 'Newroz Message to the Kurdistan People Women_Life_Freedom My Newroz message is Kurdistan (in Kurdish) Woman_Life_Freedom']"
23,247,23_minister_prime_sudan_al,"['minister', 'prime', 'sudan', 'al', 'support', 'arabiya', 'sudanese', 'arabiya_breaking', 'alarabiya_breaking', 'rapid']","['Urgent | Sudanese Prime Minister to Arab TV: We face mercenaries from 17 countries fighting alongside the Rapid Support Forces', ""Urgent | Prime Minister of Sudan: The government's peace initiative enjoys the support of the majority of Sudanese"", 'Urgent | Sudanese Prime Minister to Arab TV: Countries supporting rapid support must stop their illegal supplies']"
24,278,24_university_students_student_of,"['university', 'students', 'student', 'of', 'the', 'and', 'to', 'in', 'education', 'professor']","['The ceremony of Student_Day at Khajeh Nasir University was reminiscent of the 1401 meeting in this university. Thank you to all the student activists who are working to keep the university alive and move towards a more beautiful future for our beloved Iran. God willing, the culture of discussion will be stronger day by day in the university environment.', 'Kermanshah Azad University was full of serious discussions by students who showed that the future of this country is important to them. With these students, there should be hope for the future of Iran. bright_future', 'Introduction of one of the repressors of the university and the face behind the curtain dealing with professors and students of Ferdowsi University.']"
25,197,25_mehsa_amini_woman_life_of_freedom_opiran_strikes,"['mehsa_amini', 'woman_life_of_freedom', 'opiran', 'strikes', 'woman', 'nationwide', 'we', 'spit', 'of', 'the']","['for .......... Mehsa_Amini OpIran', 'None. Your mother Mehsa_Amini', 'I came now Mehsa_Amini']"
26,267,26_pi_mirror_000_airdrop,"['pi', 'mirror', '000', 'airdrop', 'network', 'your', 'join', 'com', 'on', 'black']","['The launch of the Open Network brings an important new change—external connectivity—to the Pi blockchain, creating an environment where Pi can connect securely with external systems, expanding opportunities for Pioneers and businesses. Open Network launches on 8:00AM UTC on', '4.9 billion Mainnet migrated Pi distributed among 7.7 million Pioneers 7.2 million Wallets have ≤ 100 Pi 0.4 million wallets have 100-1K Pi Just 88K Wallets have > 1K Pi Trust me, if you have 500 Pi; you are set for life, atleast in PiNetwork Mainnet OpenNetwork', 'Pi Network News Section in AZCoiner App Now You can find the latest and most relevant Pi Network insights & Pi Network Airdrop Event 200 members Will receive 5 unlock Pi coin (each) ——————— - Follow - Like+ - Tag 3 Friends - Hashtag AZCoiner PiNetwork Airdrop AZC']"
27,395,27_protests_the_protest_people,"['protests', 'the', 'protest', 'people', 'of', 'and', 'is', 'in', 'to', 'are']","['Protest is a sign of social_life. If there is no authority in the rulers and the goal is repression, the protest movement will turn into a revolutionary movement. The revolution is the way that the rulers, not hearing the voice of protest and incorrigibility, lay before the desperate nation. The oppressed death of Mehsa_Amini only ignited the fire under the ashes.', 'But at least support those who are protesting against you and even more than you. PN: Copy to mainstream media. These are people too. protesting_workers # Nationwide strikes and protests', ""It is not surprising that right-wing friends' reaction to labor strikes and protests is silence, but their lack of reaction to market strikes and protests is surprising and a place for reflection. It seems that the friends are not very interested in protests and prefer to move the chairs behind the curtain and at the foot of the trading table.""]"
28,152,28_giants_shedeur_qb_draft,"['giants', 'shedeur', 'qb', 'draft', 'pick', 'schoen', 'up', 'to', 'guys', 'year']","['Draft day is here! Whether it be Trav, Carter, Shedeur at 3 some fans will be happy some will be upset. I just want to see the Giants win in 2025 and beyond.', 'If Giants draft Trav or Cater at 3 can Shedeur be there at 8 or 10 for potential trade up.', 'Giants “do not like Kayvon”, “JJ McCarthy likely to be the Giants pick at 6”.']"
29,191,29_irgc_terrorist_revolutionary_the,"['irgc', 'terrorist', 'revolutionary', 'the', 'list', 'of', 'france', 'guard', 'european', 'organization']","['GOOD NEWS: France drops opposition to placing IRGC on terror list. From the Elysée: “France supports the designation of Islamic Revolutionary Guard Corps in the European list of terrorist organisations.” Reported by Euronews. Thank you to everyone who suported our campaign.', 'GOOD NEWS: France drops opposition to placing IRGC on terror list. From the Elysée: “France supports the designation of Islamic Revolutionary Guard Corps in the European list of terrorist organisations.” Reported by Euronews. Thank you to everyone who suported our campaign.', 'Then France has also finally changed course and wants to designate the IRGC as a terrorist organization. Tomorrow, the EU’s foreign ministers will meet. I hope the decision to finally put the IRGC on the terrorist list will be made. Remember the link : weapons from Iran to']"
30,195,30_program_life_after_life_mozon_mr,"['program', 'life_after_life', 'mozon', 'mr', 'life', 'the', 'this', 'of', 'god', 'and']","['life_after_life', 'life_after_life', 'How good is this life_after_life program...it is very impressive, you must see it God bless Mr. Mozon and the staff of this program']"
31,323,31_the_case_judicial_of,"['the', 'case', 'judicial', 'of', 'judiciary', 'and', 'is', 'in', 'law', 'to']","['The judiciary is silent about them!! They speak in the name of the judiciary They threaten in the name of the judiciary They issue arrest warrants on behalf of the judiciary!! The legal rule says silence when there is a need for a statement of acceptance!!!', 'According to the spokesman of the judiciary, the hearing of the case of the son and daughter-in-law of Kazem_Sadighi will start next week in Branch 1065 of the Tehran General Court. Earlier, Ishan himself emphasized that he is unrelated to this case and that his son did not abuse his influence for his own corruption. A part of radical fundamentalists also for defense', 'Complementary The property seized in the case of the children of the former first deputy of the Judiciary is related to all 16 convicts in the case/ ""Mossadegh\'s children"" case has 16 convicts. This morning, in response to a question about the latest status of the case of the children of the former first deputy of the Judiciary, the spokesperson of the Judiciary stated: As before']"
32,180,32_flag_sun_lion_the,"['flag', 'sun', 'lion', 'the', 'symbol', 'of', 'and', 'flags', 'is', 'this']","['Your flag is high, Mr. Mahdovian', 'Pashmam, Lindsey Graham also took the lion and sun flag and turned it respectfully. The national flag has a special meaning and respect for an American, this move is not just a show.', ""Iran's lion and sun flag original, official and historical high-quality versions, with standard size and correct coloring, for printing or use. The flag of Iran Lion and Sun Iranian Flag Green color code: 184b3b White color code: ffffff Red color code: ae0e03 Javidshah""]"
33,159,33_afghanistan_taliban_ar_afintl,"['afghanistan', 'taliban', 'ar', 'afintl', 'women', 'afghan', 'com', 'the', 'girls', 'of']","[""The United Nations Security Council unanimously extended the mission of the Taliban sanctions monitoring team for an additional year, in a move that confirms the movement's continued subjection to the international sanctions regime amid continuing concerns about terrorism and human rights in Afghanistan. afintl.com/ar/202602130109"", 'Russia called for continued communication between the UN sanctions monitoring team and the Taliban, stressing that the stability of Afghanistan will have a direct impact on the security of the region and the world. afintl.com/ar/202602136875', 'A recent report by the United Nations Sanctions Monitoring Team stated that the Taliban supports the activities of designated terrorist groups, including Al-Qaeda, the Pakistani Taliban, and the East Turkestan Islamic Movement, inside Afghanistan. afintl.com/ar/202602125610']"
34,322,34_trump_to_president_vote,"['trump', 'to', 'president', 'vote', 'is', 'and', 'for', 'the', 'you', 'he']","['# Democrats, I bet you some Trump followers do not follow Biden,s Covid 19 suggestions so he fails in controlling the pandemic . They think only of the party or blindly follow Trump. Selfishness and lack of concern is not in their nature as their leader!', '# Democrats, you lost !Every court order for a long time will be on the right! Unless you vote vote vote !', 'trump,republicans are cought in their own blaming game , demonizing media,democrats and anyone who did not agree with them!Trump jumped in!']"
35,204,35_uae_and_development_zayed,"['uae', 'and', 'development', 'zayed', 'emirates', 'bin', 'the', 'of', 'our', 'leadership']","['In the city of Dhanna, we witnessed part of the development renaissance that the UAE is witnessing under the vision of His Highness Sheikh Mohammed bin Zayed Al Nahyan, President of the State, “may God protect him.” Abu Dhabi National Oil Company (ADNOC) continues to implement strategic and vital projects that embody its pivotal role in supporting the process of sustainable growth and serving...', 'On the 54th Union Day, the UAE continues to consolidate its global leadership and continue its path of renaissance, thanks to the wisdom and vision of His Highness Sheikh Mohammed bin Zayed Al Nahyan and his fellow rulers of the Emirates, and is moving steadily towards the future, enhancing the role of development, technology and artificial intelligence as major drivers of growth.', 'Our sincere congratulations to the leadership and people of the brothers in the Sultanate of Oman on the occasion of the celebration of the National Day, asking God to grant them prosperity and stability and achieve further progress and development. The UAE and Oman share deep-rooted fraternal relations that enjoy constant patronage from the wise leadership of His Highness Sheikh Mohammed bin Zayed.']"
36,194,36_internet_you_to_the,"['internet', 'you', 'to', 'the', 'for', 'starlink', 'that', 'and', 'have', 'this']","['Disconnecting the internet is a matter of a second It takes time to connect to the Internet How can you unplug the internet for a second, but connect today and tomorrow?', ""Let's make a date together, we have two meanings: 1- Internet 2- Intranet The rest of the concepts and words are completely wrong and wrong: Domestic internet, international internet, global internet, national internet and..."", 'THERE IS STILL NO INTERNET IN THE WHOLE OF IRAN']"
37,94,37_venezuela_oil_america_maduro,"['venezuela', 'oil', 'america', 'maduro', 'cuba', 'venezuelan', 'is', 'the', 'trump', 'president']","[""America's attack on Venezuela; Trump says US forces have 'captured' Maduro and his wife"", 'Trump: We have a good relationship with Venezuela AlArabiya_Breaking', 'What Were Cuban Security Forces Doing in Venezuela? After the election of socialist President Hugo Chávez in 1998, Venezuela quickly became Cuba’s closest ally. Very early in his term, Chávez signed alongside Fidel Castro the Cuba-Venezuela Comprehensive Cooperation Agreement']"
38,188,38_bahman_22_march_day,"['bahman', '22', 'march', 'day', 'of', 'the', 'in', 'on', 'nation', 'revolution']","['Now go to the 22 Bahman march more magnificently than before', 'The 22 Bahman march is so similar to the Arbaeen march!', ""Nation of Iran, your passionate presence in the 22 Bahman march is a symbol of unity and decisive response to enemies. Together, let's usher in a new dawn of authority. 22 Bahman March""]"
