username,year,tweet_count
aa51_ansari,2025.0,58
aa51_ansari,2026.0,39
aaalirz,2024.0,22
aaalirz,2025.0,67
aahassas,2024.0,1
aahassas,2025.0,60
aahonarmand,2024.0,1
aahonarmand,2025.0,100
aahonarmand,2026.0,8
aami_r1385,2025.0,3
aami_r1385,2026.0,58
aanahelll,2022.0,1
aanahelll,2023.0,3
aanahelll,2024.0,2
aanahelll,2025.0,2
aanahelll,2026.0,9
aasangari,2014.0,1
aasangari,2015.0,1
aasangari,2018.0,2
aasangari,2020.0,1
aasangari,2021.0,1
aasangari,2024.0,1
aasangari,2025.0,1
ab_ganji,2026.0,152
abadguy000,2026.0,147
aban_paris,2020.0,1
aban_paris,2026.0,54
abas_asgharpour,2019.0,1
abas_asgharpour,2023.0,6
abas_asgharpour,2024.0,33
abas_asgharpour,2025.0,19
abasaslani,2026.0,96
abasiabbassi,2024.0,5
abasiabbassi,2025.0,37
abasiabbassi,2026.0,82
abb_abdi,2025.0,93
abb_abdi,2026.0,4
abba3pakbin,2022.0,11
abba3pakbin,2023.0,12
abba3pakbin,2024.0,36
abba3pakbin,2025.0,39
abba3pakbin,2026.0,2
abbasalawadi6,2021.0,2
abbasalawadi6,2022.0,2
abbasalawadi6,2023.0,5
abbasalawadi6,2025.0,1
abbasalawadi6,2026.0,1
abbasi_j_5,2026.0,55
abbasi_students,2024.0,17
abbasi_students,2025.0,70
abbasi_students,2026.0,2
abbasiniho,2023.0,1
abbasiniho,2024.0,12
abbasiniho,2025.0,22
abbasiniho,2026.0,43
abbasmehdavi312,2025.0,69
abbasmehdavi312,2026.0,20
abbasmowzoon,2021.0,11
abbasmowzoon,2022.0,130
abdeekalantari,2024.0,39
abdeekalantari,2025.0,85
abdeekalantari,2026.0,8
abdimonireh,2022.0,1
abdimonireh,2023.0,30
abdimonireh,2024.0,8
abdimonireh,2025.0,20
abdimonireh,2026.0,26
abdolhamid_net,2023.0,46
abdolhamid_net,2024.0,89
abdolhamid_net,2025.0,101
abdolhamid_net,2026.0,12
abdolhamidnet,2024.0,64
abdolhamidnet,2025.0,103
abdolhamidnet,2026.0,17
abdolhamidnetar,2023.0,80
abdolhamidnetar,2024.0,90
abdolhamidnetar,2025.0,56
abdolhamidnetar,2026.0,11
abdollahram,2024.0,8
abdollahram,2025.0,160
abdollahram,2026.0,9
abdul_majid33,2021.0,1
abdul_majid33,2026.0,92
abdulbaset22,2012.0,1
abdulbaset22,2021.0,1
abdulbaset22,2025.0,99
abdulbaset22,2026.0,17
abdullahmohtadi,2024.0,41
abdullahmohtadi,2025.0,64
abdullahmohtadi,2026.0,19
abdulwadudkha12,2025.0,9
abed33474966,2022.0,8
abed33474966,2023.0,3
abed33474966,2024.0,31
abed33474966,2025.0,8
abed33474966,2026.0,3
abedimonfared1,2018.0,1
abedimonfared1,2024.0,1
abedimonfared1,2025.0,57
abedimonfared1,2026.0,44
abehtarin,2024.0,70
abfarideh,2018.0,1
abfarideh,2026.0,108
abhaddadii,2023.0,2
abhaddadii,2025.0,17
abhaddadii,2026.0,103
abhishekbhaya,2025.0,42
abhishekbhaya,2026.0,52
ablrchi,2026.0,95
aboarab90547242,2022.0,13
aboarab90547242,2023.0,9
abolie17386,2025.0,27
abolie17386,2026.0,27
aboutmes7,2025.0,36
aboutmes7,2026.0,45
aboyahiaalsgldy,2026.0,98
absmadridista,2026.0,91
abtahi_m,2025.0,115
abtahi_m,2026.0,11
abttaniq,2019.0,1
abttaniq,2025.0,76
abttaniq,2026.0,7
achaharmahaliy,2025.0,7
activistrafiey,2024.0,19
activistrafiey,2025.0,64
activistrafiey,2026.0,2
adameaval,2025.0,3
adameaval,2026.0,168
adarehgharibi,2020.0,1
adarehgharibi,2025.0,31
adfiranofficial,2023.0,10
adnanaltia,2025.0,168
adnanaltia,2026.0,23
adorno_persian,2023.0,1
adorno_persian,2026.0,43
aeeeeeeeeeeen,2025.0,94
aeeeeeeeeeeen,2026.0,44
aesmailnazhad,2026.0,70
afarouk92,2019.0,1
afarouk92,2026.0,149
afcasiancup_ar,2024.0,1
afcasiancup_ar,2025.0,3
afcasiancup_ar,2026.0,48
afghan271,2020.0,1
afghan271,2024.0,1
afghan271,2025.0,13
afghan271,2026.0,4
afintlarabic,2026.0,53
afrasyabia,2019.0,15
afrasyabia,2020.0,12
afrasyabia,2021.0,1
afrasyabia,2024.0,7
afrasyabia,2025.0,3
afrasyabia,2026.0,48
afshin_46,2025.0,22
afshin_46,2026.0,120
afshin_rasa,2021.0,4
afshinagin62,2025.0,2
afshinagin62,2026.0,91
afshinbahrami33,2017.0,4
afshinbahrami33,2018.0,2
afshinbahrami33,2021.0,1
afshinbahrami33,2023.0,3
afshinzare1,2016.0,12
ageofpahlavi,2024.0,1
ageofpahlavi,2026.0,50
agha_mohamad1_,2020.0,1
agha_mohamad1_,2025.0,48
agha_mohamad1_,2026.0,109
agha_xavier2,2019.0,1
agha_xavier2,2026.0,105
aghamiri_hosein,2020.0,2
aghamiri_hosein,2021.0,1
aghamiri_hosein,2023.0,8
aghamiri_hosein,2024.0,81
aghamiri_hosein,2025.0,20
aghamiri_hosein,2026.0,10
aghmamrez,2018.0,2
aghmamrez,2022.0,1
aghmamrez,2025.0,75
aghmamrez,2026.0,48
aghomchi,2022.0,66
aghomchi,2023.0,57
aghomchi,2024.0,32
aghomchi,2025.0,1
aghplt,2025.0,53
aghplt,2026.0,49
ahadsadeghi71,2023.0,15
ahadsadeghi71,2024.0,68
ahadsadeghi71,2025.0,35
ahangevafa,2021.0,1
ahangevafa,2025.0,171
ahangevafa,2026.0,36
ahangparvaz_co,2018.0,4
ahangparvaz_co,2019.0,11
ahangparvaz_co,2020.0,39
ahangparvaz_co,2023.0,9
ahangparvaz_co,2024.0,1
ahangparvaz_co,2025.0,1
ahangparvaz_co,2026.0,2
ahdeaghiq,2012.0,25
ahlebeytmedia,2025.0,16
ahlebeytmedia,2026.0,46
ahmadabdulsada,2022.0,2
ahmadabdulsada,2024.0,3
ahmadabdulsada,2025.0,42
ahmadabdulsada,2026.0,84
ahmadalirezaei,2025.0,51
ahmadalirezaei,2026.0,4
ahmadi_fae83290,2024.0,30
ahmadi_fae83290,2025.0,3
ahmadnaderi_ir,2025.0,68
ahmadnaderi_ir,2026.0,12
ahmadrezagz,2026.0,92
ahmadrezakzmi,2019.0,1
ahmadrezakzmi,2023.0,19
ahmadrezakzmi,2024.0,56
ahmadrezakzmi,2025.0,84
ahmadrezakzmi,2026.0,1
ahmadsamadi1974,2025.0,33
ahmadsamadi1974,2026.0,84
ahmedabdal94,2026.0,1
ahmedalharbi0_,2020.0,1
ahmedalharbi0_,2026.0,109
aibaensch,2025.0,17
aidanajra,2023.0,1
aidanajra,2025.0,1
aidanajra,2026.0,65
aidin_og,2025.0,2
ailar1000,2017.0,11
ailar1000,2018.0,78
ailar1000,2022.0,30
ailar1000,2023.0,22
ajan_iran,2025.0,1
ajan_iran,2026.0,88
ajdemarang,2018.0,1
ajdemarang,2025.0,1
ajdemarang,2026.0,64
ajibzade,2019.0,1
ajibzade,2021.0,1
ajibzade,2022.0,4
ajibzade,2024.0,1
ajibzade,2025.0,6
ajibzade,2026.0,130
ak_rogue_,2020.0,21
ak_rogue_,2021.0,26
ak_rogue_,2022.0,1
ak_rogue_,2024.0,2
ak_rogue_,2025.0,9
ak_rogue_,2026.0,10
akhavanbahar,2026.0,107
akhbare_fori,2026.0,104
akhoundiabbas,2025.0,87
akhoundiabbas,2026.0,12
akramsharifi,2025.0,105
akramsharifi,2026.0,5
al3_hacker,2022.0,52
al_ardwi,2026.0,72
ala_ti_ti,2026.0,125
alaaalwaly1,2026.0,4
alaki_,2023.0,31
alaki_,2024.0,153
alaki_,2025.0,61
alamsooz,2025.0,1
alamsooz,2026.0,85
alamyn39470,2025.0,3
alamyn39470,2026.0,2
alan1234454,2024.0,20
alan1234454,2025.0,108
alan1234454,2026.0,4
alarabiya_brk,2026.0,474
alarabiya_fa,2026.0,89
alarabytv,2026.0,131
alavi2183,2026.0,55
alavibehrang,2019.0,1
alavibehrang,2021.0,61
alavibehrang,2022.0,79
alborznazariz,2022.0,2
alborznazariz,2024.0,33
alborznazariz,2025.0,134
alborznazariz,2026.0,38
aldo369369369,2024.0,2
aldo369369369,2025.0,83
aldo369369369,2026.0,5
alex4380145476,2025.0,1
ali1427_rad,2024.0,3
ali1427_rad,2025.0,6
ali7osain,2019.0,48
ali7osain,2020.0,63
ali7osain,2021.0,25
ali7osain,2022.0,1
ali7osain,2023.0,2
ali94185358,2020.0,1
ali__darghahi,2025.0,1
ali_ahmadnia,2024.0,1
ali_ahmadnia,2025.0,92
ali_ahmadnia,2026.0,12
ali_al_najafy,2025.0,76
ali_al_najafy,2026.0,17
ali_bitarafan5,2025.0,1
ali_bitarafan5,2026.0,58
ali_cheshomi,2022.0,35
ali_cheshomi,2023.0,52
ali_cheshomi,2024.0,56
ali_damghani_84,2024.0,1
ali_damghani_84,2025.0,6
ali_geraei,2018.0,20
ali_geraei,2019.0,2
ali_geraei,2021.0,1
ali_geraei,2023.0,1
ali_hedielou,2022.0,1
ali_hedielou,2025.0,38
ali_hedielou,2026.0,29
ali_khezrian,2025.0,85
ali_khezrian,2026.0,30
ali_noorani_teh,2026.0,113
ali_rajabi,2011.0,1
ali_rajabi,2021.0,1
ali_rajabi,2025.0,26
ali_rajabi,2026.0,48
ali_rezaei_sh,2021.0,1
ali_rezaei_sh,2023.0,1
ali_rezaei_sh,2025.0,128
ali_rezaei_sh,2026.0,8
aliaalei,2018.0,1
aliaalei,2019.0,81
aliabc1500,2025.0,2
aliabc1500,2026.0,3
aliahmadolfati,2019.0,5
aliahmadolfati,2020.0,7
aliahmadolfati,2021.0,5
aliahmadolfati,2022.0,1
aliahmadolfati,2023.0,2
aliahmadolfati,2024.0,1
aliahmadolfati,2025.0,4
alialiraouf2,2017.0,137
alialiraouf2,2018.0,76
alialiraouf2,2019.0,42
alialiraouf2,2020.0,55
alialiraouf2,2021.0,10
alialiraouf2,2022.0,8
alialiraouf2,2023.0,10
alialiraouf2,2024.0,8
alialiraouf2,2025.0,3
alialiraouf2,2026.0,4
alialkhalede,2025.0,116
alialkhalede,2026.0,8
aliazarids,2026.0,1
alibahaadori,2025.0,79
alibahaadori,2026.0,24
alibarghi1,2017.0,10
alibazdarian,2023.0,3
alibazdarian,2024.0,8
aliebrahimzade_,2023.0,1
aliebrahimzade_,2025.0,1
aliebrahimzade_,2026.0,85
alighasemi0011,2025.0,180
alighasemi0011,2026.0,25
alihars6,2022.0,55
alihars6,2023.0,15
alihashemi78849,2025.0,1
alihgh1393,2023.0,32
alihgh1393,2024.0,43
alihgh1393,2025.0,40
alihoseini692,2020.0,2
aliibeyranvand,2020.0,11
aliibeyranvand,2021.0,18
aliibeyranvand,2022.0,11
aliibeyranvand,2023.0,8
aliibeyranvand,2024.0,2
aliidaeii,2022.0,9
aliidaeii,2023.0,10
aliidaeii,2024.0,28
aliidaeii,2025.0,17
aliidaeii,2026.0,3
aliiorgi,2025.0,48
aliiorgi,2026.0,63
alijafarifo,2021.0,8
alijafarifo,2022.0,111
alijafarifo,2023.0,9
alijafarifo,2025.0,3
alijannatpour,2025.0,1
alijannatpour,2026.0,91
alijoonz121,2020.0,1
alijoonz121,2025.0,14
alijoonz121,2026.0,113
alikalaei62,2021.0,1
alikalaei62,2026.0,58
alikarimdoost91,2020.0,1
alikarimdoost91,2025.0,26
alikarimdoost91,2026.0,69
alikarimi_ak8,2025.0,64
alikarimi_ak8,2026.0,50
alilarijani_ir,2025.0,103
alilarijani_ir,2026.0,19
alimajidi65256,2025.0,2
alimarouf153082,2023.0,2
alimarouf153082,2024.0,5
alimarouf153082,2025.0,31
alimarouf153082,2026.0,57
alimir43,2026.0,1
alimojtahedzad3,2021.0,1
alimojtahedzad3,2025.0,109
alimojtahedzad3,2026.0,28
alimokhtari102,2023.0,1
alimokhtari102,2025.0,101
alimokhtari102,2026.0,18
alimoujani,2026.0,72
alinazarij,2025.0,7
alirabiei_iran,2024.0,102
alirabiei_iran,2025.0,65
alirabiei_iran,2026.0,1
alireza4759,2022.0,1
alireza4759,2023.0,19
alireza4759,2024.0,47
alireza4759,2025.0,18
alireza84808379,2025.0,31
alireza84808379,2026.0,32
alireza_arg,2024.0,37
alireza_arg,2025.0,74
alireza_didani,2026.0,89
alireza_kh29320,2025.0,5
alirezaabasi_ir,2024.0,29
alirezaabasi_ir,2025.0,181
alirezaabasi_ir,2026.0,22
alirezaakhondi,2025.0,86
alirezaakhondi,2026.0,26
alirezaami58678,2024.0,1
alirezaami58678,2025.0,37
alirezaami58678,2026.0,21
alirezakiani2,2021.0,1
alirezakiani2,2026.0,68
alirezamm1992,2024.0,1
alirezamm1992,2026.0,87
alirezanader,2026.0,98
alirezasayeh,2024.0,1
alirezasayeh,2025.0,60
alirezashayest1,2017.0,1
alirezashayest1,2024.0,1
alirezashayest1,2025.0,111
alirezashayest1,2026.0,8
alirostami89168,2024.0,1
alirostami89168,2025.0,32
alirostami89168,2026.0,9
alisajed465625,2025.0,71
alisajed465625,2026.0,32
aliscorban,2018.0,1
aliscorban,2025.0,149
aliscorban,2026.0,3
alishakourirad,2021.0,24
alishakourirad,2022.0,154
alishakourirad,2023.0,26
alishakourirad,2025.0,1
alishariat1380,2024.0,1
alisoleymaiii,2023.0,1
alisoleymaiii,2024.0,19
alisoleymaiii,2025.0,23
alisoleymaiii,2026.0,1
alivesali,2023.0,2
alivesali,2024.0,1
alivesali,2025.0,92
alivesali,2026.0,4
alizamaniyan,2015.0,6
alizamaniyan,2016.0,4
alizamaniyan,2020.0,4
alizamaniyan,2021.0,1
alizamaniyan,2023.0,4
alizamaniyan,2024.0,1
alizamaniyan,2025.0,2
alizamaniyan,2026.0,1
aliziyak,2025.0,66
almodarresisays,2021.0,31
almodarresisays,2022.0,30
almodarresisays,2023.0,11
alparsai,2025.0,50
alparsai,2026.0,63
alrthaan21,2023.0,104
alrthaan21,2024.0,86
alrthaan21,2025.0,56
alsynya1,2022.0,125
alsynya1,2023.0,1
alyamaniyeen,2026.0,91
amadei_paola,2022.0,2
amadei_paola,2023.0,1
amalsaad_lb,2022.0,1
amalsaad_lb,2025.0,1
amalsaad_lb,2026.0,110
